,CYP27B1 (1594)
ACH-000004,-0.545077513798
ACH-000007,-0.446166701535
ACH-000009,-0.367639914164
ACH-000011,-0.365642504511
ACH-000012,-0.312132927584
ACH-000013,-0.216345427886
ACH-000014,-0.05367126422019999
ACH-000015,-0.44798737996200005
ACH-000017,-0.447293249075
ACH-000018,-0.178520504353
ACH-000019,-0.0788021903565
ACH-000021,-0.362992512493
ACH-000022,-0.19452321218
ACH-000025,-0.527840522099
ACH-000028,-0.374944733682
ACH-000030,-0.226899674872
ACH-000035,-0.443418121444
ACH-000036,-0.42264893757
ACH-000037,-0.626511219145
ACH-000039,-0.363685671286
ACH-000040,-0.27277689053599996
ACH-000041,-0.35744313067
ACH-000042,-0.208714152241
ACH-000045,-0.218415444225
ACH-000047,-0.33768930627099997
ACH-000052,-0.5042157717069999
ACH-000053,-0.396944837207
ACH-000054,-0.47713008554999997
ACH-000055,-0.76576550152
ACH-000060,-0.280740573567
ACH-000067,-0.477794213445
ACH-000070,-0.284902653146
ACH-000075,-0.703781033322
ACH-000078,-0.238219641306
ACH-000082,-0.586291149567
ACH-000085,-0.17170141192699998
ACH-000086,-0.5214837670660001
ACH-000087,-0.34853353120999997
ACH-000092,-0.284042814081
ACH-000095,-0.33284374731
ACH-000097,-0.5373702537389999
ACH-000098,-0.23062694073000004
ACH-000099,-0.348236299534
ACH-000108,-0.0365273762192
ACH-000113,-0.38480165089199997
ACH-000115,-0.535718211429
ACH-000116,-0.22806269035500001
ACH-000118,-0.352511341736
ACH-000120,-0.49499634735799997
ACH-000123,-0.46289403277400004
ACH-000127,-0.325894199782
ACH-000128,-0.25621022384
ACH-000132,-0.295579085335
ACH-000133,-0.5678756225630001
ACH-000137,-0.681625057779
ACH-000138,-0.313144323734
ACH-000142,-0.0964632553079
ACH-000143,-0.461537152635
ACH-000146,-0.365581153402
ACH-000148,-0.3074299518
ACH-000150,-0.47118959494199997
ACH-000152,-0.395399461725
ACH-000153,0.00842358974197
ACH-000159,-0.24560576013799998
ACH-000160,-0.334760459934
ACH-000163,-0.390288381473
ACH-000167,-0.22304474795600002
ACH-000168,-0.268478679679
ACH-000169,-0.368931481175
ACH-000178,-0.28511716906999995
ACH-000182,-0.222752161739
ACH-000183,-0.399098637133
ACH-000188,-0.217432043539
ACH-000189,-0.4721853141
ACH-000190,-0.403081957755
ACH-000198,-0.259631654146
ACH-000204,-0.506320723482
ACH-000206,-0.19385723469900001
ACH-000207,-0.156876986665
ACH-000211,-0.23046108928000003
ACH-000215,-0.554089413774
ACH-000221,-0.24736078508
ACH-000222,-0.338487238614
ACH-000223,-0.441667884014
ACH-000226,-0.48364839708000007
ACH-000227,-0.14577075585000002
ACH-000228,-0.508586304306
ACH-000231,-0.371399860042
ACH-000232,-0.46843536006399994
ACH-000233,-0.21698785776299997
ACH-000234,-0.564941148907
ACH-000235,-0.446196403089
ACH-000237,-0.377656974647
ACH-000238,-0.228765562418
ACH-000243,-0.25706134560800004
ACH-000244,0.0706965268024
ACH-000246,-0.331855766156
ACH-000248,-0.314982737709
ACH-000250,-0.293980740951
ACH-000251,-0.822462476468
ACH-000253,-0.324132029291
ACH-000255,-0.304035444381
ACH-000256,-0.307258110182
ACH-000257,0.0439232527283
ACH-000258,-0.407205341061
ACH-000259,-0.430456215655
ACH-000260,-0.207720474701
ACH-000261,-0.34259014993299997
ACH-000262,-0.225537749723
ACH-000263,-0.375676947796
ACH-000264,-0.365486153869
ACH-000265,-0.338391861404
ACH-000266,-0.40618874231299995
ACH-000272,-0.117952277931
ACH-000273,-0.483256964236
ACH-000274,-0.370912648317
ACH-000277,-0.09786983745819999
ACH-000278,-0.302653110871
ACH-000279,-0.483545313966
ACH-000280,-0.409853864259
ACH-000281,-0.459375641557
ACH-000288,-0.332022911534
ACH-000291,-0.155898037502
ACH-000293,-0.318864362583
ACH-000294,-0.22821032249200002
ACH-000295,-0.41885928311399995
ACH-000296,-0.5250868305749999
ACH-000302,-0.30208204355
ACH-000304,-0.710399459792
ACH-000307,-0.19782774183600002
ACH-000308,-0.418551744334
ACH-000310,-0.641762829047
ACH-000311,-0.561224757568
ACH-000312,-0.21861859745499998
ACH-000315,-0.151096370426
ACH-000316,-0.6034684139509999
ACH-000317,-0.169740528373
ACH-000318,-0.450628793906
ACH-000319,-0.421548686677
ACH-000320,-0.493895306905
ACH-000322,-0.620572233114
ACH-000323,-0.245174236116
ACH-000324,-0.226675638004
ACH-000329,-0.20613583516399997
ACH-000330,-0.170637314668
ACH-000331,-0.27767669826200003
ACH-000332,-0.346928286995
ACH-000334,-0.286686500101
ACH-000335,-0.5623332285189999
