,AANAT (15)
ACH-000004,-0.27406245912
ACH-000007,0.11098286500099999
ACH-000009,-0.287289296238
ACH-000011,-0.26578001974599996
ACH-000012,-0.176585012014
ACH-000013,-0.147935456966
ACH-000014,-0.0428099413583
ACH-000015,-0.139576529404
ACH-000017,-0.313051372623
ACH-000018,-0.0359075726909
ACH-000019,-0.303327484561
ACH-000021,-0.179500149376
ACH-000022,-0.122601422532
ACH-000025,0.0795149934038
ACH-000028,-0.197916905136
ACH-000030,-0.144957557702
ACH-000035,-0.172182567019
ACH-000036,-0.10732011198699999
ACH-000037,0.0978181863153
ACH-000039,-0.168075097979
ACH-000040,-0.243541206939
ACH-000041,-0.213304494743
ACH-000042,-0.279737536426
ACH-000045,-0.306368104457
ACH-000047,-0.10472182934699999
ACH-000052,-0.172462358116
ACH-000053,-0.243545984373
ACH-000054,-0.163033793292
ACH-000055,-0.169468719212
ACH-000060,-0.32663374085200003
ACH-000067,-0.231175611235
ACH-000070,-0.0653179325933
ACH-000075,-0.0734469802896
ACH-000078,-0.225139478398
ACH-000082,-0.15500134340500002
ACH-000085,-0.17551842093199999
ACH-000086,-0.20862236221799998
ACH-000087,-0.247033042554
ACH-000092,-0.251206239505
ACH-000095,-0.338286994621
ACH-000097,-0.260812723958
ACH-000098,-0.23468611505800002
ACH-000099,-0.393732961853
ACH-000108,-0.44282253448799996
ACH-000113,-0.256743491587
ACH-000115,-0.31886202037300004
ACH-000116,-0.202160673474
ACH-000118,-0.204236634582
ACH-000120,-0.204832095636
ACH-000123,0.00806609484914
ACH-000127,-0.292358400061
ACH-000128,-0.19508764833099998
ACH-000132,-0.28029616488000003
ACH-000133,-0.0637326109218
ACH-000137,-0.107307534043
ACH-000138,-0.17934584768599998
ACH-000142,-0.34115361514200004
ACH-000143,0.0580726786083
ACH-000146,-0.0706822984796
ACH-000148,-0.12100746694299999
ACH-000150,-0.19467053968800002
ACH-000152,-0.24628453870099998
ACH-000153,-0.33684929234899996
ACH-000159,-0.247867042913
ACH-000160,-0.134673362395
ACH-000163,-0.116608264423
ACH-000167,-0.07715649720989999
ACH-000168,-0.223410841974
ACH-000169,-0.219913235667
ACH-000178,-0.217450365949
ACH-000182,-0.22963788812
ACH-000183,-0.327824800841
ACH-000188,-0.201954572735
ACH-000189,-0.13514240344599998
ACH-000190,-0.389175298038
ACH-000198,-0.20088475064
ACH-000204,-0.022046170255800003
ACH-000206,-0.07896394773450001
ACH-000207,-0.14754125718
ACH-000211,-0.30533501206999997
ACH-000215,-0.29376683024
ACH-000221,-0.19432004467500003
ACH-000222,-0.174889165944
ACH-000223,-0.16261380874
ACH-000226,-0.115449908769
ACH-000227,-0.297870823293
ACH-000228,-0.206859824203
ACH-000231,-0.196281271153
ACH-000232,-0.029347488148500002
ACH-000233,-0.18383559976
ACH-000234,-0.13280692850700002
ACH-000235,-0.279560874301
ACH-000237,-0.197261131143
ACH-000238,-0.163220745024
ACH-000243,-0.27007588294
ACH-000244,-0.16138540082900002
ACH-000246,-0.154273423051
ACH-000248,-0.41653277452699994
ACH-000250,-0.233203242837
ACH-000251,-0.283617622542
ACH-000253,-0.100031331539
ACH-000255,-0.24662038487799998
ACH-000256,-0.10871535097999999
ACH-000257,0.0798004887456
ACH-000258,-0.162463252822
ACH-000259,-0.19586406892900002
ACH-000260,-0.324580077294
ACH-000261,-0.223708302894
ACH-000262,-0.139391724989
ACH-000263,-0.131756037434
ACH-000264,-0.239369162302
ACH-000265,-0.175946628297
ACH-000266,-0.337079363773
ACH-000272,-0.005429527774199999
ACH-000273,-0.126207135383
ACH-000274,-0.329885072705
ACH-000277,-0.384719935325
ACH-000278,-0.18366082039700002
ACH-000279,-0.170201319617
ACH-000280,-0.0401858622365
ACH-000281,-0.485410355053
ACH-000288,-0.251865082271
ACH-000291,-0.240628522898
ACH-000293,-0.206248151791
ACH-000294,-0.24157264167599998
ACH-000295,-0.623894033911
ACH-000296,-0.271209945146
ACH-000302,-0.11864073999500001
ACH-000304,-0.28177452274
ACH-000307,-0.066993991842
ACH-000308,-0.0410151794572
ACH-000310,-0.315350809954
ACH-000311,-0.111983831313
ACH-000312,-0.23214154963199998
ACH-000315,-0.35978157375
ACH-000316,-0.459864042054
ACH-000317,-0.09369302650280001
ACH-000318,-0.187693628921
ACH-000319,-0.20487847934
ACH-000320,-0.257122036605
ACH-000322,-0.160082267632
ACH-000323,-0.32468242686500004
ACH-000324,-0.234581605287
ACH-000329,-0.28786933469799997
ACH-000330,-0.08300779427550001
ACH-000331,-0.197849366154
ACH-000332,-0.17969088699000002
ACH-000334,-0.24450798102200003
ACH-000335,0.0561645498005
ACH-000336,-0.20080863192899998
ACH-000337,-0.451140605859
ACH-000339,-0.09926283768300001
ACH-000341,-0.175474682981
ACH-000348,-0.30600940164
ACH-000350,-0.20114751960299998
ACH-000352,-0.426046027899
ACH-000356,0.009047145733290001
ACH-000361,-0.273587070585
ACH-000362,0.029260609238499997
ACH-000363,-0.17708836032000003
ACH-000364,-0.108596318731
ACH-000365,-0.16973892149999997
ACH-000366,-0.068301690031
ACH-000368,-0.00044298485008899995
ACH-000374,-0.09870487385160001
ACH-000375,-0.0277604120089
ACH-000376,-0.309312497678
ACH-000381,-0.24811994848299998
ACH-000383,-0.277720055191
ACH-000387,-0.21631665414700002
ACH-000389,-0.25593537195599997
ACH-000390,-0.14135157482400001
ACH-000393,-0.169789097232
ACH-000395,-0.24338157591600001
ACH-000397,-0.1403676547
ACH-000401,-0.230611650398
ACH-000402,-0.34709472898500005
ACH-000403,-0.16778042701200002
ACH-000404,-0.363690431396
ACH-000406,-0.23769609140200001
ACH-000407,-0.22654867846700003
ACH-000408,-0.12900691905099998
ACH-000410,-0.0610051063985
ACH-000411,-0.312258555097
ACH-000414,-0.181025516312
ACH-000415,-0.16654210084899998
ACH-000416,-0.280601085023
ACH-000420,-0.218054022467
ACH-000421,-0.187387047749
ACH-000424,-0.294327739689
ACH-000425,-0.14353289249
ACH-000426,-0.013700836949799998
ACH-000427,-0.0723890536691
ACH-000433,-0.324877457041
ACH-000436,-0.124549746134
ACH-000444,-0.157997625608
ACH-000445,-0.210179770802
ACH-000448,-0.297142540118
ACH-000450,-0.00155242511544
ACH-000452,-0.14858335009600002
ACH-000454,-0.08465918222239999
ACH-000458,-0.176642880506
ACH-000459,-0.165537733978
ACH-000460,-0.0725517883705
ACH-000461,-0.056909571264
ACH-000463,-0.191137501435
ACH-000464,-0.39130294168499996
ACH-000466,-0.21194908988699998
ACH-000467,-0.05443185788240001
ACH-000468,-0.201771947001
ACH-000469,-0.0934306920008
ACH-000470,-0.142897826665
ACH-000471,-0.058605733731000004
ACH-000472,-0.245334006442
ACH-000473,-0.18962424916200002
ACH-000475,-0.185498637931
ACH-000476,-0.369150437501
ACH-000477,-0.123429730162
ACH-000480,-0.204682911805
ACH-000481,-0.0260491629177
ACH-000483,-0.13779672273600002
ACH-000484,-0.18821290627300002
ACH-000485,-0.307185988222
ACH-000486,-0.0556602374988
ACH-000487,-0.19702958410799998
ACH-000488,-0.303978793342
ACH-000490,-0.085656853571
ACH-000491,-0.0880007132814
ACH-000495,-0.17011847304400002
ACH-000496,-0.116691777774
ACH-000499,-0.15500340865
ACH-000500,0.171136788453
ACH-000502,-0.272690165335
ACH-000503,0.0472129392942
ACH-000505,-0.33231896885400003
ACH-000507,-0.0859965739518
ACH-000510,-0.101857066873
ACH-000511,-0.275034977637
ACH-000512,-0.105060806043
ACH-000516,-0.204274779231
ACH-000517,-0.191946242062
ACH-000518,-0.056699899056900004
ACH-000520,-0.21987793715999998
ACH-000521,-0.36287109984099997
ACH-000522,-0.168556996459
ACH-000524,-0.158349909599
ACH-000527,-0.45906276138999996
ACH-000528,-0.234833970797
ACH-000537,-0.157849768935
ACH-000541,-0.536182354518
ACH-000542,-0.232324136338
ACH-000544,-0.301723030314
ACH-000545,-0.18331105863400002
ACH-000547,-0.08070062279460001
ACH-000548,-0.194953114752
ACH-000549,-0.282865391464
ACH-000550,-0.20895837441799997
ACH-000552,-0.0958364900415
ACH-000556,-0.176173779353
ACH-000557,-0.123960456988
ACH-000570,-0.14362631594
ACH-000571,-0.116343668148
ACH-000573,-0.132186738435
ACH-000576,-0.279942436056
ACH-000580,-0.142009948876
ACH-000584,-0.0856463006143
ACH-000585,-0.150493122552
ACH-000588,-0.0722345488206
ACH-000589,-0.202133609518
ACH-000591,-0.273397266875
ACH-000593,-0.20276377063099998
ACH-000600,-0.27059881213000003
ACH-000601,-0.217246432834
ACH-000604,-0.437396430376
ACH-000605,-0.0910642114491
ACH-000606,-0.33155164689399996
ACH-000608,-0.191562133864
ACH-000614,-0.128337762616
ACH-000616,-0.49172430936899997
ACH-000618,-0.0787074146163
ACH-000619,-0.0885139522899
ACH-000620,-0.0680925338099
ACH-000621,-0.20406920142999999
ACH-000622,-0.34988354932899995
ACH-000623,-0.185408245321
ACH-000624,-0.29092354879500004
ACH-000627,-0.258891629377
ACH-000630,-0.14433974265000002
ACH-000632,-0.15037936821200001
ACH-000633,-0.18815443906100002
ACH-000637,-0.21415907244600002
ACH-000638,-0.164806295327
ACH-000646,-0.381398231613
ACH-000647,-0.359883348735
ACH-000648,-0.0843754699285
ACH-000649,-0.13609420629000002
ACH-000651,-0.209562228748
ACH-000652,-0.278839265532
ACH-000653,-0.225068532131
ACH-000657,-0.0604418815891
ACH-000658,-0.122974607927
ACH-000661,-0.244819226324
ACH-000662,-0.235295990832
ACH-000663,-0.223442555817
ACH-000665,-0.08839914160589998
ACH-000671,-0.290412838369
ACH-000673,-0.253719738169
ACH-000676,-0.288652885927
ACH-000677,-0.0167889934932
ACH-000681,-0.16973934056899997
ACH-000682,-0.171967020704
ACH-000683,-0.108085954282
ACH-000684,-0.0318243431809
ACH-000688,-0.299407191707
ACH-000693,-0.138669872173
ACH-000694,-0.164741664599
ACH-000695,-0.11589978891
ACH-000696,-0.223975507444
ACH-000697,-0.160775912545
ACH-000699,-0.164769310321
ACH-000701,-0.167682726021
ACH-000706,-0.110864431408
ACH-000711,-0.278600531424
ACH-000713,-0.0640990638246
ACH-000714,-0.26072036585
ACH-000718,-0.254439284003
ACH-000720,-0.19935112818700002
ACH-000721,-0.114053940141
ACH-000724,-0.131978293288
ACH-000725,-0.10138881686000001
ACH-000732,-0.0557602497261
ACH-000734,-0.07241473532810001
ACH-000735,-0.181793827405
ACH-000736,0.011866195082200002
ACH-000738,-0.348800903073
ACH-000746,-0.20391463393
ACH-000747,0.0522292561407
ACH-000748,-0.400452719178
ACH-000753,-0.285131575951
ACH-000756,-0.08264228255719999
ACH-000757,0.118294875914
ACH-000758,-0.131784639506
ACH-000760,-0.20466420483
ACH-000763,0.0522714479799
ACH-000764,-0.23738088344799999
ACH-000765,-0.27332999555799997
ACH-000766,-0.23933499440699998
ACH-000767,-0.0849892661453
ACH-000768,-0.126981759686
ACH-000769,-0.25708802874000003
ACH-000770,-0.163422579761
ACH-000771,-0.064553626222
ACH-000773,-0.133407902279
ACH-000776,-0.34772046079999996
ACH-000777,-0.174615012817
ACH-000778,-0.21882864475699998
ACH-000781,-0.242623982714
ACH-000782,-0.181911609584
ACH-000783,-0.220063282887
ACH-000784,-0.25755768418
ACH-000785,-0.18144596119800002
ACH-000787,-0.153790924824
ACH-000788,-0.30418880667599996
ACH-000791,-0.321846381211
ACH-000792,-0.133781511996
ACH-000794,-0.24731338356199997
ACH-000796,-0.225126170216
ACH-000799,-0.25556488133
ACH-000800,-0.0670661441599
ACH-000802,-0.0442204352937
ACH-000804,-0.260898364019
ACH-000805,-0.152149376665
ACH-000809,-0.0753577099798
ACH-000810,-0.194268396051
ACH-000811,-0.201088528045
ACH-000817,-0.212548262907
ACH-000819,-0.296514729469
ACH-000820,-0.249875729381
ACH-000821,-0.000966491370248
ACH-000822,-0.262038525877
ACH-000823,-0.174333061208
ACH-000824,-0.299413113121
ACH-000827,-0.106591818275
ACH-000829,-0.10800614707699999
ACH-000831,-0.126101936872
ACH-000832,-0.08340031713719999
ACH-000833,-0.258980880553
ACH-000834,-0.290551741147
ACH-000835,-0.114003272186
ACH-000836,-0.217162151153
ACH-000837,-0.24252574491300002
ACH-000838,-0.0697117972863
ACH-000839,-0.127516076416
ACH-000840,-0.08198160194630001
ACH-000841,-0.163244670456
ACH-000843,-0.20305173237799998
ACH-000846,-0.0947032827901
ACH-000847,-0.274469982142
ACH-000848,-0.165194172607
ACH-000849,-0.188083488413
ACH-000851,-0.18022120494199997
ACH-000855,0.14437893521
ACH-000856,-0.155365561767
ACH-000858,-0.10628930783900001
ACH-000859,-0.32683810712699995
