,JPH4 (84502)
ACH-000004,-0.00774246759602
ACH-000007,-0.386375794356
ACH-000009,-0.225402854137
ACH-000011,-0.43429968899599997
ACH-000012,-0.262984375589
ACH-000013,-0.24127551357700003
ACH-000014,-0.446092675217
ACH-000015,-0.236850583196
ACH-000017,-0.589375298211
ACH-000018,-0.14679985688799999
ACH-000019,-0.205360657592
ACH-000021,-0.301866502942
ACH-000022,-0.16680764700200001
ACH-000025,-0.214181036078
ACH-000028,-0.21700510440999998
ACH-000030,-0.23935058884399998
ACH-000035,-0.229293193285
ACH-000036,-0.246514255209
ACH-000037,-0.268357338542
ACH-000039,-0.533456976439
ACH-000040,-0.325916457933
ACH-000041,0.034339378812099995
ACH-000042,-0.19447906466899997
ACH-000045,-0.263659669986
ACH-000047,-0.604258582404
ACH-000052,-0.41638626542499996
ACH-000053,-0.362690212715
ACH-000054,-0.302653094788
ACH-000055,-0.224046336186
ACH-000060,-0.219169224311
ACH-000067,-0.20224980369800002
ACH-000070,-0.363073687315
ACH-000075,-0.237794710038
ACH-000078,-0.350785681635
ACH-000082,-0.121615958818
ACH-000085,-0.047825401021999996
ACH-000086,-0.472980280718
ACH-000087,-0.34837368202
ACH-000092,-0.42722587101899995
ACH-000095,-0.33165950158
ACH-000097,-0.30730609318
ACH-000098,-0.218718219501
ACH-000099,-0.462503277028
ACH-000108,-0.176582522807
ACH-000113,-0.21854293058000002
ACH-000115,-0.453601204634
ACH-000116,-0.271824186043
ACH-000118,-0.45736510518
ACH-000120,-0.366098385918
ACH-000123,-0.20467950600600002
ACH-000127,-0.248603526807
ACH-000128,-0.335174426105
ACH-000132,-0.19849872464899998
ACH-000133,-0.320680696791
ACH-000137,-0.249728692293
ACH-000138,-0.187103769856
ACH-000142,-0.21149070883
ACH-000143,-0.17948948910700002
ACH-000146,-0.19187552653999998
ACH-000148,-0.363570258008
ACH-000150,0.275648481875
ACH-000152,-0.445372444004
ACH-000153,-0.262206918579
ACH-000159,-0.357095101913
ACH-000160,-0.610331423042
ACH-000163,-0.256214480717
ACH-000167,-0.33500495033100003
ACH-000168,-0.267919598784
ACH-000169,-0.0947690826911
ACH-000178,-0.438199012966
ACH-000182,-0.19299923923099999
ACH-000183,-0.13358258978
ACH-000188,-0.330240659503
ACH-000189,-0.594438953213
ACH-000190,-0.410266610645
ACH-000198,-0.30162931106199997
ACH-000204,-0.138111532668
ACH-000206,-0.351047387896
ACH-000207,-0.477915372565
ACH-000211,-0.213430489168
ACH-000215,-0.28530717371500003
ACH-000221,-0.245696631824
ACH-000222,-0.36987808385700005
ACH-000223,-0.181256584138
ACH-000226,-0.34251910402900004
ACH-000227,-0.151250984473
ACH-000228,-0.020492323822000003
ACH-000231,-0.322489615985
ACH-000232,-0.291095076531
ACH-000233,-0.31363570232099997
ACH-000234,-0.058135182455599996
ACH-000235,-0.269433125652
ACH-000237,0.031773673662200005
ACH-000238,-0.37619708480400005
ACH-000243,-0.388585204864
ACH-000244,-0.280463623432
ACH-000246,-0.350917553531
ACH-000248,-0.241541399214
ACH-000250,-0.39835935707099995
ACH-000251,0.0995313699747
ACH-000253,-0.238691115493
ACH-000255,-0.13695734078299998
ACH-000256,-0.24124478217099998
ACH-000257,-0.475416942886
ACH-000258,0.039146266645599996
ACH-000259,-0.437508161815
ACH-000260,-0.38465430303000003
ACH-000261,-0.230906460614
ACH-000262,-0.386889997512
ACH-000263,-0.313051816041
ACH-000264,-0.285537006897
ACH-000265,-0.143569025707
ACH-000266,-0.344665048809
ACH-000272,-0.32603243158399997
ACH-000273,-0.204716161727
ACH-000274,-0.260434773459
ACH-000277,-0.36715421825000005
ACH-000278,-0.411842385441
ACH-000279,-0.303337851673
ACH-000280,-0.46102881918000005
ACH-000281,-0.226983640304
ACH-000288,-0.289709341327
ACH-000291,-0.149544186237
ACH-000293,-0.295774064656
ACH-000294,-0.146916717065
ACH-000295,-0.368737352118
ACH-000296,-0.313185542991
ACH-000302,-0.202209648141
ACH-000304,-0.314987437205
ACH-000307,-0.312746852302
ACH-000308,-0.057280568772300006
ACH-000310,-0.525500870982
ACH-000311,-0.5879067810490001
ACH-000312,-0.262018996783
ACH-000315,-0.849034857767
ACH-000316,-0.0769604266863
ACH-000317,-0.09981790261260001
ACH-000318,-0.530600595062
ACH-000319,-0.176071226472
