,CSE1L (1434)
ACH-000004,-1.70953773794
ACH-000007,-1.25798980249
ACH-000009,-1.1713278325
ACH-000011,-1.00114977517
ACH-000012,-1.40139212144
ACH-000013,-1.03515441888
ACH-000014,-0.8097865347959999
ACH-000015,-1.3806678800499999
ACH-000017,-0.937183949341
ACH-000018,-0.959448247947
ACH-000019,-1.49820037072
ACH-000021,-1.4262099801199999
ACH-000022,-1.31187535736
ACH-000025,-1.3796243670299997
ACH-000028,-1.0251565230600002
ACH-000030,-1.16668540952
ACH-000035,-1.04902384551
ACH-000036,-1.2119062232100002
ACH-000037,-1.49328068257
ACH-000039,-1.46138148227
ACH-000040,-1.34481650118
ACH-000041,-1.1517059542499999
ACH-000042,-1.14850602183
ACH-000045,-1.23824985981
ACH-000047,-1.10943389691
ACH-000052,-1.40729153032
ACH-000053,-1.38186403007
ACH-000054,-1.62923268889
ACH-000055,-1.0729136025700001
ACH-000060,-1.17227845167
ACH-000067,-1.12688928468
ACH-000070,-1.54856657551
ACH-000075,-1.3702136087999999
ACH-000078,-1.37893678167
ACH-000082,-1.37198767896
ACH-000085,-0.993918256214
ACH-000086,-1.28281844214
ACH-000087,-1.1154197408700002
ACH-000092,-1.4085597371899998
ACH-000095,-1.53044647215
ACH-000097,-1.3692242649200002
ACH-000098,-1.42691551845
ACH-000099,-1.22448895202
ACH-000108,-1.22973205448
ACH-000113,-1.5885577147499998
ACH-000115,-1.7012960347100001
ACH-000116,-1.00935665172
ACH-000118,-1.0238153802299998
ACH-000120,-1.24666929067
ACH-000123,-1.2418340044399998
ACH-000127,-1.17088182059
ACH-000128,-1.54882631611
ACH-000132,-1.5708107505200002
ACH-000133,-1.1515042847399999
ACH-000137,-1.5296660560799997
ACH-000138,-1.17084042543
ACH-000142,-1.15923120736
ACH-000143,-1.34412205283
ACH-000146,-1.27216026987
ACH-000148,-1.38763811785
ACH-000150,-1.2604492599200001
ACH-000152,-1.5068156405700002
ACH-000153,-1.08747319645
ACH-000159,-1.26556534927
ACH-000160,-1.3900987227300001
ACH-000163,-1.12648789354
ACH-000167,-1.0667655041500002
ACH-000168,-1.36901446835
ACH-000169,-1.34421627695
ACH-000178,-0.953561397405
ACH-000182,-1.16527242324
ACH-000183,-1.3843564921399998
ACH-000188,-1.19073063089
ACH-000189,-1.20484465108
ACH-000190,-1.1974240444600002
ACH-000198,-1.3545020738299998
ACH-000204,-1.45310868806
ACH-000206,-1.20116992891
ACH-000207,-1.38599343311
ACH-000211,-1.36056776653
ACH-000215,-1.51136954819
ACH-000221,-1.25043768446
ACH-000222,-1.17522522214
ACH-000223,-1.32824361576
ACH-000226,-1.27801303345
ACH-000227,-1.73299930885
ACH-000228,-1.21876484308
ACH-000231,-1.3286869723799999
ACH-000232,-1.4553177413999998
ACH-000233,-1.3589963147100002
ACH-000234,-1.3972484062900001
ACH-000235,-1.29244239183
ACH-000237,-1.24683026648
ACH-000238,-0.9894862657700001
ACH-000243,-1.10122062822
ACH-000244,-1.2140285789799998
ACH-000246,-1.13439315825
ACH-000248,-1.08793120906
ACH-000250,-1.30526295255
ACH-000251,-1.5845761344100002
ACH-000253,-1.32227612251
ACH-000255,-1.09435716365
ACH-000256,-0.6617843467419999
