,CD200R1 (131450)
ACH-000004,-0.17557572958099998
ACH-000007,-0.140853812611
ACH-000009,-0.20615491823600002
ACH-000011,-0.114552498312
ACH-000012,-0.0698193967213
ACH-000013,-0.123004779233
ACH-000014,-0.0348059897106
ACH-000015,-0.059995114971000005
ACH-000017,-0.058880680867400004
ACH-000018,-0.11503056150900001
ACH-000019,0.0104729471848
ACH-000021,-0.175266524535
ACH-000022,-0.123606412921
ACH-000025,-0.167450813876
ACH-000028,-0.25829347297899996
ACH-000030,-0.17509940675299998
ACH-000035,-0.303976708539
ACH-000036,-0.12431372849500001
ACH-000037,0.0540655708152
ACH-000039,0.0778085881291
ACH-000040,-0.027257017061099998
ACH-000041,0.07692346453919999
ACH-000042,-0.16381644492900002
ACH-000045,-0.0973851564897
ACH-000047,-0.244274841672
ACH-000052,-0.269277120019
ACH-000053,-0.0654437058028
ACH-000054,-0.11170589690400001
ACH-000055,-0.0395824267991
ACH-000060,-0.245999000376
ACH-000067,-0.13704527539699998
ACH-000070,-0.282100081391
ACH-000075,-0.158288529934
ACH-000078,-0.09081973316980001
ACH-000082,-0.0925423129261
ACH-000085,-0.0565288613305
ACH-000086,-0.0768294750933
ACH-000087,0.0211355728474
ACH-000092,-0.19026720357500002
ACH-000095,0.0613805000813
ACH-000097,-0.09740246694710002
ACH-000098,-0.0241841432301
ACH-000099,-0.00735317393805
ACH-000108,-0.155963248161
ACH-000113,-0.248037337505
ACH-000115,-0.10581689643600001
ACH-000116,-0.165581321173
ACH-000118,-0.200363676212
ACH-000120,-0.22233208954199998
ACH-000123,-0.18482219003699998
ACH-000127,-0.0441811289953
ACH-000128,-0.41847739397399997
ACH-000132,-0.0990302097471
ACH-000133,-0.21071431327100001
ACH-000137,-0.233277483366
ACH-000138,-0.17149053762699998
ACH-000142,-0.206423024079
ACH-000143,-0.339932285938
ACH-000146,-0.0182433950151
ACH-000148,-0.06485383125369999
ACH-000150,-0.161951491156
ACH-000152,-0.188242647773
ACH-000153,0.0385369113881
ACH-000159,-0.142864647732
ACH-000160,-0.32261213813
ACH-000163,-0.159387123799
ACH-000167,-0.292941093539
ACH-000168,-0.0674337636095
ACH-000169,-0.115349626869
ACH-000178,-0.24020829382599998
ACH-000182,-0.131348740652
ACH-000183,-0.210281343072
ACH-000188,-0.199160075616
ACH-000189,-0.388210447972
ACH-000190,-0.368036511192
ACH-000198,-0.216726403929
ACH-000204,-0.206099581437
ACH-000206,-0.0879348325361
ACH-000207,-0.054813255270499996
ACH-000211,-0.088837049617
ACH-000215,-0.0957308171108
ACH-000221,-0.036540813770800006
ACH-000222,-0.275905036791
ACH-000223,-0.0391107860187
ACH-000226,-0.05802147138230001
ACH-000227,-0.319378441826
ACH-000228,-0.267606224977
ACH-000231,-0.149664178388
ACH-000232,-0.142507643183
ACH-000233,-0.140420941275
ACH-000234,0.0698736175836
ACH-000235,-0.148619231518
ACH-000237,-0.175146443224
ACH-000238,0.120771365934
ACH-000243,-0.13840199540200002
ACH-000244,-0.20770446657699998
ACH-000246,-0.0729595891516
ACH-000248,-0.0907510517485
ACH-000250,-0.11501137239800001
ACH-000251,-0.39012050178499996
ACH-000253,-0.173128453223
ACH-000255,-0.0104860994938
ACH-000256,-0.035718241864300004
ACH-000257,-0.546522314888
ACH-000258,-0.07461786010689998
ACH-000259,-0.159280000013
ACH-000260,-0.0926735813295
ACH-000261,-0.176060513353
ACH-000262,-0.13221530869
ACH-000263,0.0339627945986
ACH-000264,-0.165128292244
ACH-000265,-0.281544725301
ACH-000266,-0.134243164025
ACH-000272,-0.190900377348
ACH-000273,0.0298293535605
ACH-000274,-0.239060390539
ACH-000277,-0.179000247588
ACH-000278,-0.34587242778899996
ACH-000279,-0.22360465256700002
ACH-000280,-0.200988159117
ACH-000281,-0.221511231483
ACH-000288,-0.0867154345411
ACH-000291,-0.164845286181
ACH-000293,-0.192674492661
ACH-000294,-0.203903726633
ACH-000295,0.11330381006200001
ACH-000296,-0.10008620568
ACH-000302,-0.256416503959
ACH-000304,-0.151314244717
ACH-000307,-0.0915130494489
ACH-000308,-0.124680751775
ACH-000310,-0.143783685949
ACH-000311,-0.23923890079399998
ACH-000312,-0.09862697425889999
ACH-000315,-0.022606589192300002
ACH-000316,-0.132995369398
ACH-000317,-0.24911040988000002
ACH-000318,-0.19101409462699998
ACH-000319,-0.0688462908984
ACH-000320,-0.23281229212299998
ACH-000322,-0.14656940119
ACH-000323,-0.250435230239
ACH-000324,-0.0827545571375
ACH-000329,-0.149285552198
ACH-000330,-0.180699271906
ACH-000331,-0.212419355378
ACH-000332,-0.141604409121
ACH-000334,-0.222908412896
ACH-000335,-0.0215208569797
ACH-000336,-0.016644018433700003
ACH-000337,-0.154839035484
ACH-000339,-0.239955915871
ACH-000341,0.00868545798838
ACH-000348,-0.119669202178
ACH-000350,-0.112038800588
ACH-000352,-0.225512211296
ACH-000356,-0.111508969789
ACH-000361,-0.15801748410900002
ACH-000362,-0.18476417460900002
ACH-000363,-0.022848330746499997
ACH-000364,-0.228502366645
ACH-000365,0.017302435817
ACH-000366,-0.0781191651423
ACH-000368,-0.170961163568
ACH-000374,0.0484620586311
ACH-000375,-0.123719854153
ACH-000376,-0.18445758399999998
ACH-000381,-0.0500538434662
ACH-000383,-0.113735626636
ACH-000387,-0.160388292927
