,GLG1 (2734)
ACH-000004,-0.297575418759
ACH-000007,-0.0349935958276
ACH-000009,-0.170124078226
ACH-000011,-0.118543902951
ACH-000012,-0.19010746157400002
ACH-000013,-0.21783296049400003
ACH-000014,-0.125420785713
ACH-000015,-0.12428898327400001
ACH-000017,-0.026353350020400002
ACH-000018,-0.0371543086333
ACH-000019,-0.185944445295
ACH-000021,-0.165518809812
ACH-000022,0.027005041384999998
ACH-000025,-0.19849505812399998
ACH-000028,-0.06908223432239999
ACH-000030,-0.0803418350069
ACH-000035,-0.238901283531
ACH-000036,-0.291690372735
ACH-000037,-0.354285686506
ACH-000039,-0.37572651300300003
ACH-000040,-0.0037228615750700004
ACH-000041,0.167837800643
ACH-000042,-0.290925981095
ACH-000045,0.0703155325395
ACH-000047,-0.198758654732
ACH-000052,0.038483734992900004
ACH-000053,-0.172216590735
ACH-000054,-0.237298416882
ACH-000055,-0.13563745717800002
ACH-000060,-0.0792190834496
ACH-000067,-0.09046975780500001
ACH-000070,0.0251772544037
ACH-000075,-0.21016210723099998
ACH-000078,-0.37659199135
ACH-000082,0.017994484706900002
ACH-000085,-0.133028291167
ACH-000086,-0.0803742770243
ACH-000087,-0.0040882211644700005
ACH-000092,-0.185904717588
ACH-000095,-0.227084579027
ACH-000097,-0.179894657905
ACH-000098,-0.259052616781
ACH-000099,-0.12204229646800001
ACH-000108,-0.245234691314
ACH-000113,-0.00930233752092
ACH-000115,-0.177717210466
ACH-000116,-0.08529618991520001
ACH-000118,-0.198043425142
ACH-000120,-0.25352544094900004
ACH-000123,-0.0995810248811
ACH-000127,-0.250960659707
ACH-000128,0.0764379349264
ACH-000132,0.0174805949915
ACH-000133,-0.264626503867
ACH-000137,-0.214761932953
ACH-000138,-0.20362526129900002
ACH-000142,-0.160996219314
ACH-000143,-0.0999412858154
ACH-000146,-0.124566616042
ACH-000148,-0.152590977001
ACH-000150,0.0701492637698
ACH-000152,-0.116524147443
ACH-000153,-0.09379247722060001
ACH-000159,-0.0543957863794
ACH-000160,0.09328614936799999
ACH-000163,-0.0573384639639
ACH-000167,-0.12163790527999999
ACH-000168,-0.129665969656
ACH-000169,-0.10877422720899999
ACH-000178,-0.133280495046
ACH-000182,-0.268580963665
ACH-000183,-0.011213225922000001
ACH-000188,0.014604943877700002
ACH-000189,0.07189410363580001
ACH-000190,-0.058461006219300005
ACH-000198,-0.0738032921321
ACH-000204,-0.0655006037315
ACH-000206,-0.0340904859384
ACH-000207,-0.14958667078
ACH-000211,-0.24703363539
ACH-000215,-0.0768814256454
ACH-000221,-0.10225351955499999
ACH-000222,-0.25079537729699997
ACH-000223,-0.16768763186
ACH-000226,-0.115772490959
ACH-000227,-0.247760082267
ACH-000228,-0.18896610879
ACH-000231,-0.14942256505999998
ACH-000232,-0.15533316149499998
ACH-000233,-0.138285783071
ACH-000234,-0.0370171232299
ACH-000235,-0.277348416516
ACH-000237,-0.17008384520999997
ACH-000238,-0.16919610107299998
ACH-000243,-0.109601222933
ACH-000244,-0.214805898974
ACH-000246,-0.12604977967
ACH-000248,-0.249096182669
ACH-000250,-0.06485052473019999
ACH-000251,-0.161715669389
ACH-000253,-0.0946170919926
ACH-000255,-0.163870822007
ACH-000256,-0.0789357289397
ACH-000257,-0.17841970797499998
ACH-000258,-0.250502599716
ACH-000259,-0.19049637045499998
ACH-000260,-0.17010344721
ACH-000261,-0.10691099930600001
ACH-000262,-0.139445683048
ACH-000263,0.189400682533
ACH-000264,-0.0606051009167
ACH-000265,-0.012386847905
ACH-000266,-0.20346687618700002
ACH-000272,-0.18111012766800003
ACH-000273,0.0573639073503
ACH-000274,-0.0377833436031
ACH-000277,-0.20793485115600002
ACH-000278,-0.0556016089704
ACH-000279,-0.13847950755000002
