,NINJ1 (4814)
ACH-000004,0.0592934053717
ACH-000007,-0.06958319559210001
ACH-000009,-0.231465682299
ACH-000011,0.07362790093930001
ACH-000012,-0.178107926191
ACH-000013,-0.201954020207
ACH-000014,0.0961553459132
ACH-000015,-0.008636907228270001
ACH-000017,-0.215051391938
ACH-000018,0.0447814290745
ACH-000019,-0.13364801861700001
ACH-000021,-0.286440954469
ACH-000022,-0.0824231677968
ACH-000025,-0.0663132704985
ACH-000028,0.20680349216699997
ACH-000030,-0.09755257786039999
ACH-000035,-0.0928418219749
ACH-000036,-0.031465495648
ACH-000037,0.0732093516295
ACH-000039,0.006142825047439999
ACH-000040,0.004624129799390001
ACH-000041,0.042535385215600005
ACH-000042,-0.0610997365476
ACH-000045,-0.04482524024259999
ACH-000047,-0.0678125372051
ACH-000052,-0.11660032882000002
ACH-000053,-0.015951936839299997
ACH-000054,-0.20397648932999998
ACH-000055,0.112036576228
ACH-000060,-0.028209577447500002
ACH-000067,-0.234044628078
ACH-000070,0.11931676186699999
ACH-000075,-0.22222794081900002
ACH-000078,-0.0591424029806
ACH-000082,-0.10206844337899999
ACH-000085,0.00496645179265
ACH-000086,-0.0587603367785
ACH-000087,0.036193729700300006
ACH-000092,0.04559759019719999
ACH-000095,0.0333407260481
ACH-000097,0.008690612153
ACH-000098,0.125659818113
ACH-000099,-0.017542950692900003
ACH-000108,-0.0751279350779
ACH-000113,-0.112084250395
ACH-000115,0.0237148246637
ACH-000116,0.0301194042417
ACH-000118,-0.031432577677500004
ACH-000120,-0.110948030354
ACH-000123,-0.098090731659
ACH-000127,-0.0676106037416
ACH-000128,0.0055246677253800005
ACH-000132,-0.21591488264400002
ACH-000133,-0.0957404296687
ACH-000137,-0.438984596786
ACH-000138,-0.100104393065
ACH-000142,-0.274259457089
ACH-000143,0.18913058902199997
ACH-000146,-0.138013275396
ACH-000148,-0.175656803882
ACH-000150,0.130283540261
ACH-000152,-0.0769579376688
ACH-000153,0.19134880875100002
ACH-000159,-0.132246618264
ACH-000160,-0.07695738249760001
ACH-000163,-0.167372577606
ACH-000167,0.0536443060054
ACH-000168,-0.158205514081
ACH-000169,-0.22454589414
ACH-000178,-0.13652949154400001
ACH-000182,-0.022849205858999997
ACH-000183,-0.13468729933700002
ACH-000188,-0.048634669985
ACH-000189,-0.533403763135
ACH-000190,-0.311790854011
ACH-000198,-0.07592725832710001
ACH-000204,-0.167719068378
ACH-000206,-0.0478322021046
ACH-000207,-0.39825053151199996
ACH-000211,-0.0703564564215
ACH-000215,-0.133048492875
ACH-000221,-0.128196572379
ACH-000222,-0.139637867474
ACH-000223,-0.0406714141211
ACH-000226,-0.140555537567
ACH-000227,0.0165908760059
ACH-000228,0.0518420380035
ACH-000231,-0.09057390113610002
ACH-000232,-0.017123266400600003
ACH-000233,0.14765529333900002
ACH-000234,-0.0343837258737
ACH-000235,-0.157602273257
ACH-000237,-0.121850313061
ACH-000238,-0.208122569518
ACH-000243,-0.0562732545386
ACH-000244,0.0147524130974
ACH-000246,0.013643223969499999
ACH-000248,-0.109551040034
ACH-000250,-0.0720834260455
ACH-000251,0.108134209935
ACH-000253,-0.18758423503600002
ACH-000255,-0.113338555578
ACH-000256,0.0872464482425
ACH-000257,-0.0314501080689
ACH-000258,-0.152273638873
ACH-000259,-0.10491281915799999
ACH-000260,0.0197987692414
ACH-000261,-0.027053584515
ACH-000262,0.126849692363
ACH-000263,-0.403836660101
ACH-000264,-0.17126584618299998
ACH-000265,0.0467764048937
ACH-000266,-0.0675547117897
ACH-000272,0.0389384012004
ACH-000273,0.042716097555400005
ACH-000274,-0.125067936815
ACH-000277,-0.252306093149
ACH-000278,-0.144231365504
ACH-000279,-0.0363932931391
ACH-000280,-0.0525827362816
ACH-000281,-0.026025038670099997
ACH-000288,-0.07500374655389999
ACH-000291,-0.00142213465939
ACH-000293,0.143636543476
ACH-000294,-0.0627865848236
ACH-000295,-0.125062522806
ACH-000296,-0.0346455223539
ACH-000302,-0.0210244855846
ACH-000304,-0.17990662392999998
ACH-000307,-0.027123414204700002
ACH-000308,-0.118947634045
ACH-000310,-0.20820659422200002
ACH-000311,-0.250766336102
ACH-000312,-0.0898258914305
ACH-000315,0.036640408852
ACH-000316,-0.156379228539
ACH-000317,0.0368176620645
ACH-000318,-0.151931269747
ACH-000319,0.0500670538531
ACH-000320,-0.266857390864
ACH-000322,-0.16989865576699997
ACH-000323,-0.0236979961325
ACH-000324,-0.0700414265646
ACH-000329,-0.045273744077900004
ACH-000330,-0.18372552061099998
ACH-000331,-0.191600855662
ACH-000332,-0.038823486674800005
ACH-000334,0.0575830820159
ACH-000335,-0.277489710062
ACH-000336,0.0936420261757
ACH-000337,-0.083564907898
ACH-000339,-0.09530020466080001
ACH-000341,-0.051826162958500004
ACH-000348,-0.0434025154111
ACH-000350,0.146591144924
ACH-000352,0.008066534773319999
ACH-000356,-0.0264695875483
ACH-000361,0.046522327432300004
ACH-000362,-0.0498709136496
ACH-000363,-0.0731242216248
ACH-000364,-0.159452807354
ACH-000365,-0.052716063711900005
ACH-000366,0.210429409144
ACH-000368,-0.0658689810243
ACH-000374,-0.004537732629109999
ACH-000375,0.108624485353
ACH-000376,-0.11657199007300001
ACH-000381,-0.0325711292809
ACH-000383,-0.15384377488099998
ACH-000387,-0.0616040545145
ACH-000389,0.0664907560039
ACH-000390,-0.148351210125
ACH-000393,-0.09592650869169998
ACH-000395,-0.152847907843
ACH-000397,-0.0303528859678
ACH-000401,-0.255443961705
ACH-000402,0.014119640777799999
ACH-000403,-0.13679818642000002
ACH-000404,-0.0218988488329
ACH-000406,-0.0234433009871
ACH-000407,0.054258672675700004
ACH-000408,-0.15668737145199998
ACH-000410,0.0177056205913
ACH-000411,-0.0791775835065
ACH-000414,-0.03987262104580001
ACH-000415,-0.138231968585
ACH-000416,-0.13634783838099998
ACH-000420,-0.0663780848051
ACH-000421,-0.00600235221165
ACH-000424,-0.0805508900667
ACH-000425,-0.07087059239389999
ACH-000426,0.0227475527422
ACH-000427,0.246411583072
ACH-000433,0.405385371048
ACH-000436,-0.0246233207851
ACH-000444,0.08990369020860002
ACH-000445,0.0648347512054
