,HELZ2 (85441)
ACH-000004,-0.126741299755
ACH-000007,-0.225432926543
ACH-000009,-0.218685053718
ACH-000011,-0.0938735343808
ACH-000012,0.010341699318700001
ACH-000013,0.0562147243286
ACH-000014,0.06551685481240001
ACH-000015,-0.0669813892816
ACH-000017,-0.0029059028952699998
ACH-000018,0.06899052732989999
ACH-000019,-0.36354088948799995
ACH-000021,-0.0568255170395
ACH-000022,-0.210665500947
ACH-000025,0.0336813742812
ACH-000028,-0.0673150187933
ACH-000030,-0.23849562893100001
ACH-000035,0.260421987512
ACH-000036,-0.291647884918
ACH-000037,-0.0824825179602
ACH-000039,-0.25977348703200004
ACH-000040,-0.0148876005859
ACH-000041,0.321341553467
ACH-000042,-0.431959321706
ACH-000045,-0.212575397001
ACH-000047,-0.12561057067700002
ACH-000052,0.03975380598830001
ACH-000053,-0.0986699627082
ACH-000054,0.156525519513
ACH-000055,0.0918122372559
ACH-000060,0.00831458904901
ACH-000067,-0.104384851044
ACH-000070,-0.0792084357718
ACH-000075,-0.16550902926799999
ACH-000078,-0.012179158168899999
ACH-000082,0.0820524865461
ACH-000085,-0.013268422598
ACH-000086,-0.0752034988134
ACH-000087,-0.0911496337943
ACH-000092,-0.079844060765
ACH-000095,-0.19431745748399998
ACH-000097,-0.13683690840999999
ACH-000098,0.058917666002699993
ACH-000099,-0.09395932475980001
ACH-000108,-0.21544259469799998
ACH-000113,-0.0249464853813
ACH-000115,-0.495011121008
ACH-000116,-0.19328988159899999
ACH-000118,-0.115232517785
ACH-000120,-0.164376315209
ACH-000123,-0.0889902844281
ACH-000127,-0.00145185206703
ACH-000128,-0.45236436164800004
ACH-000132,0.07976846291180001
ACH-000133,0.0738564358807
ACH-000137,0.17977919039299997
ACH-000138,-0.0251004503071
ACH-000142,0.09509674879239999
ACH-000143,-0.224033669522
ACH-000146,-0.22351624713000004
ACH-000148,-0.206553028111
ACH-000150,-0.24478706667599998
ACH-000152,0.118338216795
ACH-000153,-0.019738678987599997
