,CLCC1 (23155)
ACH-000004,-0.393486978174
ACH-000007,-0.607078589638
ACH-000009,-0.46897491556000004
ACH-000011,-0.180083483686
ACH-000012,-0.248192475046
ACH-000013,-0.311468752578
ACH-000014,-0.632179792475
ACH-000015,-0.468853302171
ACH-000017,-0.421505037456
ACH-000018,-0.661245430867
ACH-000019,-0.647662223932
ACH-000021,-0.6048472495189999
ACH-000022,-0.22603901827
ACH-000025,-0.526920524799
ACH-000028,-0.627622904855
ACH-000030,-0.358226952195
ACH-000035,-0.612670290784
ACH-000036,-0.43177816995499996
ACH-000037,-0.276638322377
ACH-000039,-0.11644712265799999
ACH-000040,-0.416626707135
ACH-000041,-0.296979234619
ACH-000042,-0.41953818254600006
ACH-000045,-0.40360914291999994
ACH-000047,-0.425386497884
ACH-000052,-0.35383068402199996
ACH-000053,-0.377228643518
ACH-000054,-0.48690615827600003
ACH-000055,-0.325478828743
ACH-000060,-0.5492408800890001
ACH-000067,-0.8035011565860001
ACH-000070,-0.326557730416
ACH-000075,-0.433365028428
ACH-000078,-0.18387306309700002
ACH-000082,-0.413333994704
ACH-000085,-0.35183951926299994
ACH-000086,-0.42963338482600005
ACH-000087,-0.2005975653
ACH-000092,-0.5171318502109999
ACH-000095,-0.38594645927500004
ACH-000097,-0.583266589221
ACH-000098,-0.595802507661
ACH-000099,-0.315901334894
ACH-000108,-0.505597599125
ACH-000113,-0.327727853952
ACH-000115,-0.473577891069
ACH-000116,-0.578694295307
ACH-000118,-0.5390274302470001
ACH-000120,-0.45271563653999997
ACH-000123,-0.422100487579
ACH-000127,-0.31267557737199997
ACH-000128,-0.396743400915
ACH-000132,-0.44434022963799996
ACH-000133,-0.512770737327
ACH-000137,-0.466074877904
ACH-000138,-0.31164478178800004
ACH-000142,-0.568671499112
ACH-000143,-0.37368677366499997
ACH-000146,-0.345767934908
ACH-000148,-0.45839329137199997
ACH-000150,-0.281545185966
ACH-000152,-0.542418169124
ACH-000153,-1.2513088555299998
ACH-000159,-0.36665009849200003
ACH-000160,-0.43378901215599996
