,RTN1 (6252)
ACH-000004,-0.09349499593939999
ACH-000007,0.00662523887075
ACH-000009,0.0188580226643
ACH-000011,0.0106091821994
ACH-000012,0.0192581293764
ACH-000013,-0.0436127628565
ACH-000014,-0.10232771720799999
ACH-000015,-0.031252948314900005
ACH-000017,-0.0876717784279
ACH-000018,0.240225564964
ACH-000019,-0.17309075085900003
ACH-000021,0.135935579198
ACH-000022,-0.0574949440661
ACH-000025,0.118393983969
ACH-000028,-0.141923057997
ACH-000030,-0.0511557177301
ACH-000035,0.0710496625318
ACH-000036,-0.0385759860241
ACH-000037,0.09602525451850001
ACH-000039,0.198910065521
ACH-000040,-0.08983467385399999
ACH-000041,-0.141146646833
ACH-000042,0.0135259367457
ACH-000045,-0.0164502023725
ACH-000047,-0.144937133164
ACH-000052,-0.0986624189043
ACH-000053,-0.00598969850195
ACH-000054,-0.13160163026
ACH-000055,-0.0219596617955
ACH-000060,-0.432301964921
ACH-000067,-0.0491424678498
ACH-000070,0.054057412320800004
ACH-000075,0.043683729771999996
ACH-000078,-0.0365385885256
ACH-000082,-0.181377465317
ACH-000085,0.0228970203728
ACH-000086,-0.0370388991873
ACH-000087,-0.15000522125
ACH-000092,0.00807074458642
ACH-000095,-0.10657802191400001
ACH-000097,-0.210035475399
ACH-000098,-7.97498081339e-05
ACH-000099,-0.231970499292
ACH-000108,-0.00859437230801
ACH-000113,0.128609289296
ACH-000115,-0.140453926597
ACH-000116,0.053902019403200004
ACH-000118,0.0197595547665
ACH-000120,-0.0010305463665099999
ACH-000123,0.0462529731269
ACH-000127,0.038407811476199996
ACH-000128,0.227212185829
ACH-000132,0.198474494689
ACH-000133,0.030299905416700003
ACH-000137,0.0525136275172
ACH-000138,-0.10685602357200001
ACH-000142,0.118735561786
ACH-000143,0.118045401001
ACH-000146,-0.0888400244199
ACH-000148,-0.0178344939256
ACH-000150,-0.0022687709495
ACH-000152,-0.0516270269211
ACH-000153,-0.176323491344
ACH-000159,0.005934032285130001
ACH-000160,-0.09889807893110002
ACH-000163,0.012770671897499999
ACH-000167,0.12055480642100001
ACH-000168,0.0625166003713
ACH-000169,-0.0851633947019
ACH-000178,0.10335076370799999
ACH-000182,-0.033417381079799996
ACH-000183,0.0645566707441
ACH-000188,0.114365877298
ACH-000189,0.049272251959300004
ACH-000190,0.060953854469699996
ACH-000198,0.000277769709623
ACH-000204,-0.10347705906400001
ACH-000206,-0.0258984439952
ACH-000207,-0.10328226163999998
ACH-000211,0.024795362547
ACH-000215,0.122708581419
ACH-000221,0.12177376274900001
ACH-000222,-0.069234670325
ACH-000223,-0.013799041148899998
ACH-000226,-0.28336774106400003
ACH-000227,-0.04196971838769999
ACH-000228,-0.0742832126337
ACH-000231,-0.0114264674609
ACH-000232,-0.08047462731289999
ACH-000233,0.0535998643028
ACH-000234,0.09807987226060001
ACH-000235,0.0127464743381
ACH-000237,0.262176633768
ACH-000238,-0.220180550437
ACH-000243,-0.006095616341180001
ACH-000244,-0.362830740286
ACH-000246,-0.0662408067967
ACH-000248,-0.10513274111700001
ACH-000250,0.0350254823466
ACH-000251,0.0377731928201
ACH-000253,0.007684627580819999
ACH-000255,-0.15188749429600001
ACH-000256,-0.0851909097582
ACH-000257,-0.222053910647
ACH-000258,0.303969356574
ACH-000259,-0.0826224591638
ACH-000260,-0.106498649618
ACH-000261,-0.161267958051
ACH-000262,-0.186955780571
ACH-000263,-0.22264076745099998
ACH-000264,-0.161064675116
ACH-000265,0.108007904611
ACH-000266,-0.0783784423493
ACH-000272,-0.047680224158300005
ACH-000273,0.109332819432
ACH-000274,-0.0293883460956
ACH-000277,-0.19318444551199998
ACH-000278,0.000474832222416
ACH-000279,-0.180485985289
ACH-000280,0.0675991580587
ACH-000281,0.0604685792683
ACH-000288,-0.0331303299942
ACH-000291,0.0489946825234
ACH-000293,0.033479228512400004
ACH-000294,0.127814285019
ACH-000295,-0.101350466186
ACH-000296,-0.108093466621
ACH-000302,0.144374536428
ACH-000304,-0.049491048290099995
ACH-000307,0.0210532565852
ACH-000308,-0.0308772637621
ACH-000310,-0.141421973041
ACH-000311,0.09646798594869999
ACH-000312,0.136423849549
ACH-000315,0.0921707333873
ACH-000316,0.17845642880100002
ACH-000317,-0.153535903561
ACH-000318,-0.043726588660900005
ACH-000319,-0.121307746127
ACH-000320,0.40697747022299996
ACH-000322,0.0395509502372
ACH-000323,-0.0591100261589
ACH-000324,0.0725995041053
ACH-000329,-0.039872359983599996
ACH-000330,0.155400464081
ACH-000331,0.125722638208
ACH-000332,-0.0136291829099
ACH-000334,0.265365177306
ACH-000335,0.365806378338
ACH-000336,-0.029918261990900002
ACH-000337,-0.14512967715800001
ACH-000339,0.023697205874099996
ACH-000341,0.026710617135900002
ACH-000348,0.0470153186944
ACH-000350,0.00477557015455
ACH-000352,-0.0420722038714
ACH-000356,-0.06627171525890001
ACH-000361,-0.208468731331
ACH-000362,-0.0401753209106
ACH-000363,-0.056418826395199996
ACH-000364,-0.0619835703492
ACH-000365,-0.0341299908432
ACH-000366,-0.032584341296200005
ACH-000368,-0.20963367778900002
