,PAFAH1B1 (5048)
ACH-000004,-2.34562401307
ACH-000007,-1.69629498579
ACH-000009,-1.6342633551499999
ACH-000011,-1.67783104832
ACH-000012,-1.8419143636700002
ACH-000013,-2.17694286085
ACH-000014,-1.8288645453099999
ACH-000015,-1.8836033484
ACH-000017,-1.9269647323400003
ACH-000018,-1.41805908395
ACH-000019,-1.82317526716
ACH-000021,-1.6889464563499998
ACH-000022,-1.8993681377
ACH-000025,-1.6402690816299998
ACH-000028,-1.6301203572999998
ACH-000030,-1.99321268195
ACH-000035,-1.56287432993
ACH-000036,-1.8351503004599998
ACH-000037,-2.62579745235
ACH-000039,-2.27102411112
ACH-000040,-1.6706219791799999
ACH-000041,-1.96748846186
ACH-000042,-2.15227966087
ACH-000045,-1.88007110402
ACH-000047,-1.8957328547999999
ACH-000052,-1.6911611221
ACH-000053,-1.9626214049400001
ACH-000054,-1.72072060818
ACH-000055,-1.89094631906
ACH-000060,-1.94403151268
ACH-000067,-1.92871549881
ACH-000070,-1.9439207885099998
ACH-000075,-1.5403066993599999
ACH-000078,-2.0194905857900003
ACH-000082,-1.7894536579799998
ACH-000085,-2.00161109335
ACH-000086,-1.66747964326
ACH-000087,-1.6408994271500001
ACH-000092,-1.60331263153
ACH-000095,-1.9300159298500001
ACH-000097,-1.88820061735
ACH-000098,-1.8189271934400002
ACH-000099,-1.88831549245
ACH-000108,-1.5969142642299998
ACH-000113,-1.94277844942
ACH-000115,-2.28245130652
ACH-000116,-1.93293349371
ACH-000118,-1.8306379605599998
ACH-000120,-1.79133201345
ACH-000123,-1.6590065997499999
ACH-000127,-1.94536848974
ACH-000128,-1.63129518136
ACH-000132,-1.7266565312400002
ACH-000133,-1.8599051043700001
ACH-000137,-1.65575131908
ACH-000138,-1.9783419385499998
ACH-000142,-1.6771030688
ACH-000143,-1.8341109863099998
ACH-000146,-2.5214155401400005
ACH-000148,-1.975914547
ACH-000150,-1.8327492812200001
ACH-000152,-1.66326193889
ACH-000153,-2.35531144917
ACH-000159,-1.7225319270099997
ACH-000160,-1.7472424181200001
ACH-000163,-1.3669509932600001
ACH-000167,-2.01474233622
ACH-000168,-1.76994825088
ACH-000169,-1.93999482247
ACH-000178,-1.8404873762
ACH-000182,-2.0947892138900004
ACH-000183,-2.14363368571
ACH-000188,-1.72482698507
ACH-000189,-1.21111626615
ACH-000190,-1.77718166073
ACH-000198,-1.87452986695
ACH-000204,-1.91480797051
ACH-000206,-1.7520084182900002
ACH-000207,-1.7746783569099998
ACH-000211,-1.65269311352
ACH-000215,-1.95491006975
ACH-000221,-2.1338256851599997
ACH-000222,-1.9100358001
ACH-000223,-1.58965617364
ACH-000226,-1.79145997557
ACH-000227,-2.44854976727
ACH-000228,-1.87954819313
ACH-000231,-1.8139143420900001
ACH-000232,-1.6909610615700001
ACH-000233,-2.01145285466
ACH-000234,-2.03917596452
ACH-000235,-1.91340827536
ACH-000237,-1.89030913379
ACH-000238,-1.9663159402700001
ACH-000243,-1.62792782433
ACH-000244,-1.8628299667099997
ACH-000246,-1.6149912237700002
ACH-000248,-1.76189156051
ACH-000250,-1.91285197632
ACH-000251,-1.92145492425
ACH-000253,-1.80960641004
ACH-000255,-1.61891788329
ACH-000256,-2.18031582613
ACH-000257,-2.0315825398099996
ACH-000258,-1.33991107744
ACH-000259,-1.8588802670200002
ACH-000260,-1.75662679748
ACH-000261,-1.84285774772
ACH-000262,-1.7680433076800002
ACH-000263,-2.29022485767
ACH-000264,-1.9301593442099998
ACH-000265,-1.89098227837
ACH-000266,-1.77321853273
ACH-000272,-1.74358965493
ACH-000273,-1.77538494652
ACH-000274,-2.27073583931
ACH-000277,-1.7412851871900001
ACH-000278,-1.7949457357299998
ACH-000279,-2.01893214841
ACH-000280,-1.73505190847
ACH-000281,-1.86705895993
ACH-000288,-1.9647541437599998
ACH-000291,-1.7903387438099998
ACH-000293,-1.68120529695
ACH-000294,-2.30125397448
ACH-000295,-1.9302277773900003
ACH-000296,-2.00763896347
ACH-000302,-2.09489390872
ACH-000304,-1.5125668724799999
ACH-000307,-1.69021786361
ACH-000308,-1.7799400647799999
ACH-000310,-2.229517394
ACH-000311,-1.7999605264099998
ACH-000312,-1.9766123840599998
ACH-000315,-1.84534202788
ACH-000316,-1.7732521196400002
ACH-000317,-1.5500187411000002
ACH-000318,-1.9421281627900002
ACH-000319,-1.8984880735499998
ACH-000320,-1.6346415013100002
ACH-000322,-1.7869039143799998
ACH-000323,-1.5231897496399998
ACH-000324,-1.83174990754
ACH-000329,-1.9044397646400002
ACH-000330,-2.19973488795
ACH-000331,-1.57974079668
ACH-000332,-1.9708783642299998
ACH-000334,-1.9487778015000001
ACH-000335,-1.64486569103
ACH-000336,-2.02679626295
ACH-000337,-1.7702825869099998
ACH-000339,-1.8464297061099997
ACH-000341,-1.9654333861200002
ACH-000348,-1.99746554183
ACH-000350,-2.3489037130200003
ACH-000352,-1.8106128695099997
ACH-000356,-1.6898963137799998
ACH-000361,-2.01591625225
ACH-000362,-2.0445104026700003
ACH-000363,-2.1686277335799997
ACH-000364,-1.77482084596
ACH-000365,-2.07945484645
ACH-000366,-1.6809019621399999
ACH-000368,-1.6883880782
ACH-000374,-1.82666924852
ACH-000375,-1.59132813435
ACH-000376,-1.64281991373
ACH-000381,-1.83375321319
ACH-000383,-2.06077658051
ACH-000387,-2.21154519002
ACH-000389,-1.85573831725
ACH-000390,-1.71521590064
ACH-000393,-2.11900047928
ACH-000395,-1.78308746873
ACH-000397,-1.8091040619499998
ACH-000401,-1.62263464558
ACH-000402,-2.0635139127
ACH-000403,-1.96078490863
ACH-000404,-1.3071196788400001
ACH-000406,-2.1025373711200004
ACH-000407,-1.8396043170599996
