,PSPC1 (55269)
ACH-000004,-0.423556141083
ACH-000007,-0.566000437478
ACH-000009,-0.41270564975699997
ACH-000011,-0.322813237715
ACH-000012,-0.37698298814099995
ACH-000013,-0.34615900825400003
ACH-000014,-0.380445592344
ACH-000015,-0.614878601547
ACH-000017,-0.327237593851
ACH-000018,-0.052425411772
ACH-000019,-0.64494161088
ACH-000021,-0.42451348005500006
ACH-000022,-0.263507997938
ACH-000025,-0.145367266558
ACH-000028,-0.387340221504
ACH-000030,-0.29146698891600004
ACH-000035,-0.347933946431
ACH-000036,-0.319831936526
ACH-000037,-0.370419438536
ACH-000039,-0.5061968732209999
ACH-000040,-0.365671010923
ACH-000041,-0.363917597896
ACH-000042,-0.280988694078
ACH-000045,-0.42184494148
ACH-000047,-0.47468269063100005
ACH-000052,-0.72556013914
ACH-000053,-0.602001592849
ACH-000054,-0.325986408209
ACH-000055,-0.391699658364
ACH-000060,-0.24784892274999998
ACH-000067,-0.528587203477
ACH-000070,-0.394264165353
ACH-000075,-0.487237650598
ACH-000078,-0.576826197779
ACH-000082,-0.5590441672600001
ACH-000085,-0.27153867091
ACH-000086,-0.324710255839
ACH-000087,-0.396843750481
ACH-000092,-0.133888119466
ACH-000095,-0.342814108372
ACH-000097,-0.47187391086499997
ACH-000098,-0.226609689584
ACH-000099,-0.9388236735959999
ACH-000108,-0.257196701998
ACH-000113,-0.34175627838699996
ACH-000115,-0.7184470912109999
ACH-000116,-0.299007944513
ACH-000118,-0.480322308209
ACH-000120,-0.467025507449
ACH-000123,-0.45613450590800003
ACH-000127,-0.553514015303
ACH-000128,-0.735064529849
ACH-000132,-0.717536830151
ACH-000133,-0.319411518331
ACH-000137,-0.613419938157
ACH-000138,-0.294792550637
ACH-000142,0.07302866738819999
ACH-000143,-0.444233645499
ACH-000146,-0.291654056384
ACH-000148,-0.131590746998
ACH-000150,-0.306998171265
ACH-000152,-0.451483427351
ACH-000153,-0.258083166779
ACH-000159,-0.610492473411
ACH-000160,-0.139236132934
ACH-000163,-0.657398388762
ACH-000167,-0.587064871165
ACH-000168,-0.8212117012669999
ACH-000169,-0.308097764731
ACH-000178,-0.35437649980700003
ACH-000182,-0.577368908279
ACH-000183,-0.455108598324
ACH-000188,-0.28966279989300003
ACH-000189,-0.657143679789
ACH-000190,-0.316731498732
ACH-000198,-0.291918737667
ACH-000204,0.0013942877422399998
ACH-000206,-0.180870337182
ACH-000207,-0.0715080464524
ACH-000211,-0.296884509074
ACH-000215,-0.420722431813
ACH-000221,-0.284886940316
ACH-000222,-0.318849387569
ACH-000223,-0.356555748306
ACH-000226,-0.418324158623
ACH-000227,-0.307563016497
ACH-000228,-0.476444983306
ACH-000231,-0.296112078704
ACH-000232,-0.236755828627
ACH-000233,-0.274933386982
ACH-000234,-0.524042874877
ACH-000235,-0.39353359509499997
ACH-000237,-0.319074164022
ACH-000238,-0.344821478479
