,MTL5 (9633)
ACH-000004,-0.08663157097539999
ACH-000007,-0.25158142227200003
ACH-000009,-0.340905758208
ACH-000011,-0.123191550155
ACH-000012,-0.25838238736499997
ACH-000013,-0.191304677224
ACH-000014,0.000913161663178
ACH-000015,-0.025406758455599997
ACH-000017,-0.309804127841
ACH-000018,-0.423063739134
ACH-000019,-0.299540797512
ACH-000021,-0.141855608714
ACH-000022,-0.22611740735599997
ACH-000025,-0.19557678597
ACH-000028,-0.15985431031400002
ACH-000030,-0.200230315819
ACH-000035,0.07538396980060001
ACH-000036,0.231723819869
ACH-000037,-0.150490587445
ACH-000039,-0.16017985946399999
ACH-000040,-0.12589593494999998
ACH-000041,-0.2004964533
ACH-000042,-0.306427625341
ACH-000045,-0.23755242879299998
ACH-000047,0.0852173493667
ACH-000052,-0.323555371973
ACH-000053,-0.12803569588199998
ACH-000054,-0.12329987051300001
ACH-000055,-0.19161252213
ACH-000060,0.009406352559850001
ACH-000067,0.0806556556573
ACH-000070,0.007359793141
ACH-000075,-0.450986849357
ACH-000078,-0.23118732812399997
ACH-000082,-0.10988800803899999
ACH-000085,-0.647588223199
ACH-000086,-0.23341274824900002
ACH-000087,0.052230707091499996
ACH-000092,-7.94962585917e-06
ACH-000095,0.0328661673351
ACH-000097,-0.35724232943800005
ACH-000098,-0.0766803341774
ACH-000099,-0.22619018075300001
ACH-000108,-0.27794940676999996
ACH-000113,-0.277059208193
ACH-000115,-0.20357114796300002
ACH-000116,-0.389597449524
ACH-000118,-0.25228110743500004
ACH-000120,-0.162938671433
ACH-000123,-0.09051136705669999
ACH-000127,-0.09228577135970001
ACH-000128,-0.223309681398
ACH-000132,-0.315408636721
ACH-000133,-0.0879579859663
ACH-000137,-0.242227265621
ACH-000138,-0.333329692772
ACH-000142,-0.24739430247299998
ACH-000143,-0.306442334785
ACH-000146,-0.0156444615974
ACH-000148,-0.15340988112600001
ACH-000150,-0.0173080503172
ACH-000152,-0.10901501288599999
ACH-000153,-0.00982052527103
ACH-000159,-0.117333249089
ACH-000160,-0.741655755895
ACH-000163,0.008826902278049999
ACH-000167,-0.0451933590208
ACH-000168,-0.027634399764999998
ACH-000169,0.0393897561006
ACH-000178,-0.211906648329
ACH-000182,-0.027901263067900004
ACH-000183,-0.0257197132147
ACH-000188,-0.327394228966
ACH-000189,0.161391442446
ACH-000190,-0.345732861419
ACH-000198,-0.11327722410499999
ACH-000204,-0.194056053108
ACH-000206,-0.049153834607699995
ACH-000207,-0.613915214824
ACH-000211,-0.143288560609
ACH-000215,-0.0494830166371
ACH-000221,-0.41032271638800005
ACH-000222,-0.255545387791
ACH-000223,-0.124558614377
ACH-000226,-0.027032546798299997
ACH-000227,-0.465279742143
ACH-000228,-0.36136540587300003
ACH-000231,0.0376781344239
ACH-000232,-0.180013479013
ACH-000233,-0.276738204441
ACH-000234,-0.312314035087
ACH-000235,-0.0429606883373
ACH-000237,-0.44312884523100005
ACH-000238,0.0162337304295
ACH-000243,-0.212706864877
ACH-000244,-0.0370945627891
ACH-000246,-0.125606977548
ACH-000248,0.217766548119
ACH-000250,-0.0872845695362
ACH-000251,-0.0468501719374
ACH-000253,-0.139589444905
ACH-000255,-0.39863354742299995
ACH-000256,-0.109652497285
ACH-000257,0.224470091211
ACH-000258,-0.044996063576699996
ACH-000259,-0.20937598022999998
ACH-000260,-0.265254250776
ACH-000261,-0.22401582433800002
ACH-000262,-0.231806616316
ACH-000263,-0.170819479932
ACH-000264,-0.24532195654
ACH-000265,-0.07049735674430001
ACH-000266,-0.28719333115699996
ACH-000272,0.0421786573384
ACH-000273,-0.168991050321
ACH-000274,-0.334848300083
ACH-000277,-0.45135192206
ACH-000278,-0.19510008170600002
ACH-000279,-0.342649289488
ACH-000280,0.06457516355380001
ACH-000281,-0.342281234216
ACH-000288,0.0177781812607
ACH-000291,-0.072575683212
ACH-000293,-0.251457134117
ACH-000294,-0.321852454231
ACH-000295,-0.08569192616110001
ACH-000296,-0.110787302132
ACH-000302,0.00486310413938
ACH-000304,-0.179895842899
ACH-000307,-0.0259022834425
ACH-000308,-0.450502377095
ACH-000310,-0.18821875256099999
ACH-000311,-0.0663969697901
ACH-000312,-0.47209876339900003
ACH-000315,-0.318751729362
ACH-000316,-0.48083354035099996
ACH-000317,-0.121578245692
ACH-000318,-0.6925225771
