,SAMD9L (219285)
ACH-000004,-0.187677812531
ACH-000007,-0.162419467123
ACH-000009,-0.193045465594
ACH-000011,-0.327335212092
ACH-000012,0.056377393955100004
ACH-000013,-0.105332510694
ACH-000014,-0.101510368002
ACH-000015,-0.032045280790400005
ACH-000017,-0.10142541653300001
ACH-000018,-0.0139986318432
ACH-000019,0.0015213748848199999
ACH-000021,-0.159569393014
ACH-000022,-0.051349980022900005
ACH-000025,0.000847164899418
ACH-000028,-0.05588794120619999
ACH-000030,0.00787107204181
ACH-000035,-0.18103722332000002
ACH-000036,-0.17195329125300002
ACH-000037,0.157712893912
ACH-000039,-0.256386313141
ACH-000040,0.144889792685
ACH-000041,-0.07758636318300001
ACH-000042,-0.121460564488
ACH-000045,0.0521357391688
ACH-000047,-0.083600392995
ACH-000052,-0.0685299147981
ACH-000053,-0.111010890842
ACH-000054,-0.139801658001
ACH-000055,0.11130589148600001
ACH-000060,-0.22092938862300002
ACH-000067,-0.0980843270445
ACH-000070,-0.0673490466752
ACH-000075,-0.211928045005
ACH-000078,0.14334209931800002
ACH-000082,-0.0924961120493
ACH-000085,0.0789434244346
ACH-000086,0.06859776095369999
ACH-000087,-0.17995767612100003
ACH-000092,-0.0596201653993
ACH-000095,-0.20265556956
ACH-000097,-0.0811008069396
ACH-000098,-0.08360582863010001
ACH-000099,-0.029729905218
ACH-000108,-0.07402442875460001
ACH-000113,-0.021615542735700002
ACH-000115,-0.07090919127739999
ACH-000116,-0.158838575434
ACH-000118,-0.0540330219527
ACH-000120,0.103090643769
ACH-000123,-0.084561280613
ACH-000127,-0.124596275394
ACH-000128,-0.155365886762
ACH-000132,-0.257265410295
ACH-000133,-0.0329918505255
ACH-000137,-0.259416465225
ACH-000138,-0.0610709429659
ACH-000142,-0.09264100324539999
ACH-000143,-0.08708405626910001
ACH-000146,-0.0240978121116
ACH-000148,-0.224891918831
ACH-000150,-0.007453925696609999
ACH-000152,-0.0630375231377
ACH-000153,-0.17851768827599998
ACH-000159,-0.0720494194405
ACH-000160,-0.25347367827100004
ACH-000163,-0.049418541477
ACH-000167,-0.22952353152600002
