,HIST1H1E (3008)
ACH-000004,0.102409785544
ACH-000007,-0.410452302395
ACH-000009,-0.270916598996
ACH-000011,-0.763796660186
ACH-000012,-0.426153147981
ACH-000013,-0.349464620481
ACH-000014,-0.646782542724
ACH-000015,0.0379918795066
ACH-000017,-0.874072143238
ACH-000018,-0.558766985884
ACH-000019,-0.43347472412199994
ACH-000021,-0.328807508756
ACH-000022,-0.39255579277099995
ACH-000025,-0.195981647322
ACH-000028,-0.344022731632
ACH-000030,-0.412070574798
ACH-000035,-0.457957627003
ACH-000036,-0.39482272724699996
ACH-000037,-0.222689872679
ACH-000039,-0.468243682416
ACH-000040,-0.32644098828699997
ACH-000041,-0.353901673605
ACH-000042,-0.197064138638
ACH-000045,-0.22487199813099998
ACH-000047,-0.17553645700800002
ACH-000052,-0.045390416435799996
ACH-000053,-0.133283250955
ACH-000054,-0.616842616865
ACH-000055,-0.450915966329
ACH-000060,-0.389729002646
ACH-000067,-0.284775938408
ACH-000070,-0.476073069536
ACH-000075,-0.42797162558300006
ACH-000078,-0.228428220464
ACH-000082,-0.608018953768
ACH-000085,-0.540521745298
ACH-000086,-0.389241705915
ACH-000087,-0.223483599739
ACH-000092,-0.636898853944
ACH-000095,-0.277526321572
ACH-000097,-0.37894267401299997
ACH-000098,-0.409621253062
ACH-000099,-0.252563289285
ACH-000108,-0.407033985217
ACH-000113,-0.250897972688
ACH-000115,-0.7499541470700001
ACH-000116,-0.134102600691
ACH-000118,-0.46539621393299996
ACH-000120,-0.499452070564
ACH-000123,-0.646630068355
ACH-000127,-0.536432161329
ACH-000128,-0.617583771764
ACH-000132,-0.37812251391999996
ACH-000133,-0.615770014636
ACH-000137,-0.308824861962
ACH-000138,-0.296883032876
ACH-000142,-0.539557163376
ACH-000143,-0.7285160898109999
ACH-000146,-0.515906464469
ACH-000148,-0.414477033775
ACH-000150,-0.272880415402
ACH-000152,-0.396219887755
ACH-000153,-0.613231204347
ACH-000159,-0.357434084587
ACH-000160,0.267259095693
ACH-000163,-0.163894768305
ACH-000167,0.0264174903457
ACH-000168,-0.544598009731
ACH-000169,-0.686352371805
ACH-000178,-0.605523884667
ACH-000182,-0.373127752539
ACH-000183,-0.7921614075660001
ACH-000188,-0.319165790497
