,GNB2L1 (10399)
ACH-000004,-1.8624882949700001
ACH-000007,-1.8564292656799999
ACH-000009,-1.88449295663
ACH-000011,-1.65637612592
ACH-000012,-1.88845501007
ACH-000013,-1.7852339384599998
ACH-000014,-2.06360656977
ACH-000015,-2.1229345905200003
ACH-000017,-2.2500424716599996
ACH-000018,-1.6546215785799998
ACH-000019,-2.05078559205
ACH-000021,-1.8522705929199998
ACH-000022,-2.05229255101
ACH-000025,-1.6992320231
ACH-000028,-1.63478012679
ACH-000030,-1.8440017345700002
ACH-000035,-1.66636017866
ACH-000036,-1.80529664853
ACH-000037,-2.38263037396
ACH-000039,-2.0132388895299997
ACH-000040,-1.8960372567900001
ACH-000041,-2.26498640779
ACH-000042,-1.70543977023
ACH-000045,-1.9051452217200002
ACH-000047,-1.7388714092099997
ACH-000052,-1.6627572391999998
ACH-000053,-1.7241689469099999
ACH-000054,-1.47413415958
ACH-000055,-1.8606720889099997
ACH-000060,-1.6863150477700002
ACH-000067,-1.85117115151
ACH-000070,-1.87813962401
ACH-000075,-1.78016984043
ACH-000078,-2.00010045966
ACH-000082,-1.94807172939
ACH-000085,-1.95824635863
ACH-000086,-1.5520635773500002
ACH-000087,-2.01573900757
ACH-000092,-1.4702164608500001
ACH-000095,-1.8306940729700003
ACH-000097,-1.93485550199
ACH-000098,-1.7418776933400002
ACH-000099,-1.9701310489700001
ACH-000108,-1.81441123012
ACH-000113,-1.8716797191099999
ACH-000115,-1.6816059033700002
ACH-000116,-1.65086861685
ACH-000118,-1.82100558713
ACH-000120,-1.6154782906
ACH-000123,-1.77190841035
ACH-000127,-1.78900243585
ACH-000128,-1.8924706958400002
ACH-000132,-1.68548068363
ACH-000133,-1.90745209837
ACH-000137,-1.6924257080899998
ACH-000138,-1.9792532761500001
ACH-000142,-2.0569700971700002
ACH-000143,-2.0077092944599997
ACH-000146,-2.10704787468
ACH-000148,-2.19121276121
ACH-000150,-1.7832019363900002
ACH-000152,-1.7976144616599998
ACH-000153,-2.46796715108
ACH-000159,-1.74602275321
ACH-000160,-1.78183997604
ACH-000163,-1.82071755705
ACH-000167,-2.37841419513
ACH-000168,-1.21425762604
ACH-000169,-1.96389552207
ACH-000178,-1.74740432055
ACH-000182,-1.7539824791599998
ACH-000183,-1.98342505137
ACH-000188,-1.8348535925799998
ACH-000189,-1.56562554623
ACH-000190,-1.69752010739
ACH-000198,-1.91240444367
ACH-000204,-1.7823616242099998
ACH-000206,-2.06539905297
