,PCM1 (5108)
ACH-000004,-0.165602094665
ACH-000007,-0.5631355716550001
ACH-000009,-0.432668830457
ACH-000011,-0.0677117802124
ACH-000012,-0.475987993462
ACH-000013,-0.440053554347
ACH-000014,-0.160902658906
ACH-000015,-0.0548179206759
ACH-000017,-0.289011046698
ACH-000018,-0.026349443350999997
ACH-000019,-0.0258504393879
ACH-000021,-0.294023788158
ACH-000022,-0.329495155926
ACH-000025,-0.331046525408
ACH-000028,-0.20556084985999998
ACH-000030,-0.163638573511
ACH-000035,0.0268614781207
ACH-000036,-0.0856148339722
ACH-000037,-0.414855520333
ACH-000039,-0.136601679484
ACH-000040,-0.09966698589169999
ACH-000041,-0.6265640360279999
ACH-000042,-0.399245773437
ACH-000045,-0.24151723580099999
ACH-000047,-0.139158657204
ACH-000052,-0.21643701181400002
ACH-000053,-0.181179695438
ACH-000054,-0.027560867287400002
ACH-000055,-0.342183815237
ACH-000060,-0.577761493137
ACH-000067,-0.238365921402
ACH-000070,-0.241448099292
ACH-000075,-0.168571837623
ACH-000078,-0.607355333556
ACH-000082,-0.155659941061
ACH-000085,0.158744160842
ACH-000086,-0.062452397651399996
ACH-000087,-0.717302873574
ACH-000092,-0.562664376308
ACH-000095,-0.460696206805
ACH-000097,-0.229963126298
ACH-000098,-0.0986522638727
ACH-000099,-0.915819769033
ACH-000108,-0.0971077756188
ACH-000113,-0.19101244840999998
ACH-000115,-0.200728990955
ACH-000116,-0.10568186842
ACH-000118,-0.21065991719500002
ACH-000120,-0.564193858922
ACH-000123,-0.476880729979
ACH-000127,-0.52362064889
ACH-000128,-0.452355063196
ACH-000132,-0.5230901358569999
ACH-000133,-0.0331447209708
ACH-000137,-0.022705489583400004
ACH-000138,-0.18058726972800002
ACH-000142,0.110644381853
ACH-000143,-0.279001704061
ACH-000146,-0.14845353294299998
ACH-000148,-0.0589883161983
ACH-000150,-0.394088527393
ACH-000152,-0.147156825031
ACH-000153,-0.23884976516800002
ACH-000159,-0.265495009426
ACH-000160,-0.484954156902
ACH-000163,-0.325741758736
ACH-000167,0.048658040986199996
ACH-000168,-0.19436733901099998
ACH-000169,-0.224012979267
ACH-000178,-0.557334848084
ACH-000182,-0.262322813648
ACH-000183,-0.241653806008
ACH-000188,-0.792656832861
ACH-000189,-0.238896034079
ACH-000190,-0.0109748080602
ACH-000198,-0.155963713991
ACH-000204,-0.392911333222
ACH-000206,0.0949754508178
ACH-000207,-0.11218319113700001
ACH-000211,-0.226387267507
ACH-000215,-0.17359500213399998
ACH-000221,-0.237271104505
ACH-000222,-0.267492387705
ACH-000223,0.0020033598908299997
ACH-000226,-0.150602602716
ACH-000227,-1.36945610259
ACH-000228,-0.397694254107
ACH-000231,-0.197275931975
ACH-000232,-0.26102513889
ACH-000233,-0.150633097445
ACH-000234,-0.07843715859660001
ACH-000235,-0.157187793454
ACH-000237,-0.336756889816
ACH-000238,-0.584266505215
ACH-000243,-0.49170876025700005
ACH-000244,-0.0166084592764
ACH-000246,-0.666764520635
ACH-000248,-0.19387937267299998
ACH-000250,0.00072772772442
ACH-000251,-0.44098942277500003
ACH-000253,-0.26363590949
ACH-000255,0.0683692139036
ACH-000256,-0.45574779872500004
ACH-000257,-0.608524125153
ACH-000258,-0.264466643752
ACH-000259,-0.318652050344
ACH-000260,-0.411452480709
ACH-000261,-0.29976965402
ACH-000262,-0.056678171590499996
ACH-000263,-0.630432336307
ACH-000264,-0.34122572089599995
ACH-000265,-0.0352783674632
ACH-000266,-0.163225792586
ACH-000272,-0.308007072812
ACH-000273,-0.00100151248981
ACH-000274,-0.563348492415
ACH-000277,0.193701207624
ACH-000278,-0.2976618949
ACH-000279,-0.338557423931
ACH-000280,0.0585407980549
ACH-000281,-0.84604343258
ACH-000288,0.06244081212619999
ACH-000291,-0.266734927781
ACH-000293,-0.17720975029
ACH-000294,-0.521314180269
ACH-000295,-0.180615988407
ACH-000296,-0.374793040384
ACH-000302,-0.394069753071
ACH-000304,-0.440602762045
ACH-000307,-0.415322885392
ACH-000308,-0.206826349309
ACH-000310,-0.583138700189
ACH-000311,-0.22104452500100003
ACH-000312,-0.8494917982410001
ACH-000315,-0.0662784622078
ACH-000316,-0.160178966137
ACH-000317,-0.648886901378
ACH-000318,-0.128637540173
ACH-000319,-0.204805551591
ACH-000320,-0.44262379408299996
ACH-000322,0.0469510937419
ACH-000323,-0.107410398254
ACH-000324,-0.11767807654899999
ACH-000329,-0.175186594813
ACH-000330,-0.410327003134
ACH-000331,-0.333309580113
ACH-000332,-0.714473242001
ACH-000334,-0.33769409261600003
ACH-000335,-0.145066431637
ACH-000336,-0.30202444063
ACH-000337,-0.172364979586
ACH-000339,-0.134504773379
ACH-000341,-0.23716602221000002
ACH-000348,-0.17020387042500001
ACH-000350,-0.46821861492899997
ACH-000352,-0.126315277419
ACH-000356,-0.327968276217
ACH-000361,-0.19281576698800001
ACH-000362,-0.203178109315
ACH-000363,-0.201686984045
ACH-000364,0.011425826825099999
ACH-000365,-0.307865937285
ACH-000366,-0.664159036227
ACH-000368,-0.349802302347
ACH-000374,-0.547463203985
ACH-000375,-0.19368961882599997
ACH-000376,-0.148771249859
ACH-000381,-0.0669699512107
ACH-000383,-0.229344498847
ACH-000387,-0.598950785365
ACH-000389,-0.0240028677602
ACH-000390,-0.09672775755619999
ACH-000393,-0.07936502707330001
ACH-000395,-0.520934028354
ACH-000397,-0.16476889149499999
ACH-000401,-0.603652999833
ACH-000402,0.17184213275
ACH-000403,0.044574500293500005
ACH-000404,0.0794166568911
ACH-000406,-0.588977045256
ACH-000407,-0.217988690744
ACH-000408,-0.140714565563
ACH-000410,-0.214781730385
ACH-000411,-0.413557518677
ACH-000414,-0.17777456327
ACH-000415,-0.185969366653
ACH-000416,-0.17322174559599998
ACH-000420,-0.403214222111
ACH-000421,-0.198588698829
ACH-000424,-0.282368546487
ACH-000425,-0.025226180091400003
ACH-000426,-0.124697586018
ACH-000427,-0.317994016398
ACH-000433,-0.08726959718810001
ACH-000436,-0.0105758479155
ACH-000444,-0.170566619113
ACH-000445,-0.20361539079399998
ACH-000448,-0.25338796420000004
ACH-000450,-0.00011844625593200001
ACH-000452,-0.227678208026
ACH-000454,-0.342489037175
ACH-000458,-0.27803684266600004
ACH-000459,-0.00810547400849
ACH-000460,-0.165962718044
ACH-000461,-0.28709240703899996
ACH-000463,-0.43915700282700004
ACH-000464,0.0718304323124
ACH-000466,-0.457262730341
ACH-000467,-0.334951793542
ACH-000468,-0.182637980391
ACH-000469,-0.500401946473
ACH-000470,-0.40801834325
ACH-000471,-0.369668436351
ACH-000472,-0.187842013183
ACH-000473,-0.385885616979
ACH-000475,-0.23323178202599998
ACH-000476,-0.118792629112
ACH-000477,-0.548273683048
ACH-000480,-0.392417002754
ACH-000481,-0.190693032002
ACH-000483,-0.800140162145
ACH-000484,-0.165776821759
ACH-000485,-0.340650784618
ACH-000486,0.054656599442499995
ACH-000487,-0.45339603910400006
ACH-000488,-0.49778878641400004
ACH-000490,-0.32730429951400003
ACH-000491,-0.47949735158999995
ACH-000495,-0.503435525729
ACH-000496,-0.0298633839731
ACH-000499,-0.426385928671
ACH-000500,0.0529131504069
ACH-000502,-0.13571839465299998
ACH-000503,-0.304115776514
ACH-000505,-0.255643819166
ACH-000507,-0.271019026847
ACH-000510,-0.0018804082020499999
ACH-000511,-0.318715467298
ACH-000512,0.0226352783305
ACH-000516,-0.527881002857
ACH-000517,-0.25505082456
ACH-000518,-0.22991164502099998
ACH-000520,-0.331446660616
ACH-000521,-0.0578132182685
ACH-000522,-0.208112754171
ACH-000524,-0.388237185039
ACH-000527,-0.0845152820985
ACH-000528,-0.365595317887
ACH-000537,-0.0569177915436
ACH-000541,0.160330664181
ACH-000542,-0.36896239970600003
ACH-000544,-0.357923219216
ACH-000545,-0.16908591763
