,PRKRIR (5612)
ACH-000004,-0.426873240837
ACH-000007,-0.601261991501
ACH-000009,-0.542460197946
ACH-000011,-0.64219778106
ACH-000012,-0.798171235655
ACH-000013,-0.43667742836499995
ACH-000014,-0.748333010852
ACH-000015,-0.522138299008
ACH-000017,-0.554360511766
ACH-000018,-0.7892206682260001
ACH-000019,-0.7615081543960001
ACH-000021,-0.490625871458
ACH-000022,-0.515015300288
ACH-000025,-0.47666556457500003
ACH-000028,-0.762498317652
ACH-000030,-0.663513533298
ACH-000035,-0.779296901356
ACH-000036,-0.702335098718
ACH-000037,-1.2045071461
ACH-000039,-0.450541427416
ACH-000040,-0.47214105644500004
ACH-000041,-0.307857853715
ACH-000042,-0.668305390463
ACH-000045,-0.769222564148
ACH-000047,-0.261329126855
ACH-000052,-1.1046814179100002
ACH-000053,-0.6137788285010001
ACH-000054,-0.408425339238
ACH-000055,-0.780479518031
ACH-000060,-0.460304511673
ACH-000067,-0.86224640965
ACH-000070,-0.8836324079119999
ACH-000075,-1.09466452745
ACH-000078,-0.584001767959
ACH-000082,-0.37893279178000006
ACH-000085,-0.542602462149
ACH-000086,-0.9341194141570001
ACH-000087,-1.06044516836
ACH-000092,-0.408866670628
ACH-000095,-0.302492271162
ACH-000097,-0.658313132323
ACH-000098,-0.8407834718889999
ACH-000099,-0.37173458499799994
ACH-000108,-0.663046371175
ACH-000113,-0.7709245264069999
ACH-000115,-0.376254616223
ACH-000116,-0.494765868698
ACH-000118,-0.570584788424
ACH-000120,-0.186742889601
ACH-000123,-0.776670064246
ACH-000127,-0.37817506423299996
ACH-000128,-0.779415359294
ACH-000132,-0.516905697071
ACH-000133,-0.738820042844
ACH-000137,-0.282829506071
ACH-000138,-0.798288264365
ACH-000142,-1.1035861047
ACH-000143,-0.7455805794939999
ACH-000146,-0.7293079854100001
ACH-000148,-0.49739467603299997
ACH-000150,-0.7302487490180001
ACH-000152,-0.673089967991
ACH-000153,-0.5856648875370001
ACH-000159,-0.749010727161
ACH-000160,-0.8932562294040001
ACH-000163,-0.573818619552
ACH-000167,-0.7141149089990001
ACH-000168,-0.274519119054
ACH-000169,-0.687172298225
ACH-000178,-0.5497414333899999
ACH-000182,-0.8494679524490001
ACH-000183,-0.750515177484
ACH-000188,-0.9715315678659999
ACH-000189,-1.0462025796799999
ACH-000190,-0.660466863707
ACH-000198,-0.838941892725
ACH-000204,-0.633023681945
ACH-000206,-0.161611628192
ACH-000207,-1.0494066665700001
ACH-000211,-0.83197333994
ACH-000215,-0.805737663383
ACH-000221,-0.835114219457
ACH-000222,-0.582232229779
ACH-000223,-0.586993485776
ACH-000226,-0.545752283313
ACH-000227,-0.9128428123450001
ACH-000228,-0.526907888785
ACH-000231,-0.36013725633599997
ACH-000232,-0.494475978022
ACH-000233,-0.44336043918799994
ACH-000234,-0.335399670837
ACH-000235,-0.6845993355769999
ACH-000237,-0.755273909463
ACH-000238,-0.704046507307
ACH-000243,-0.6153970644569999
ACH-000244,-0.527326013421
ACH-000246,-0.773122009355
ACH-000248,-0.707842272723
ACH-000250,-0.762814544499
ACH-000251,-0.595592295982
ACH-000253,-0.800810155306
ACH-000255,-0.549449463117
ACH-000256,-0.508886560672
ACH-000257,-0.659643183477
ACH-000258,-0.888477761162
ACH-000259,-0.658941355428
ACH-000260,-0.7546747708689999
ACH-000261,-0.734606669397
ACH-000262,-0.62907864243
ACH-000263,-0.552092841939
ACH-000264,-0.6027443808590001
ACH-000265,-0.699781874013
ACH-000266,-0.8107137561130001
ACH-000272,-0.496496999855
ACH-000273,-0.863039707431
ACH-000274,-0.046937144507
ACH-000277,-0.7833546820080001
ACH-000278,-0.602151842424
ACH-000279,-0.791960431749
ACH-000280,-0.576492683632
ACH-000281,-0.629043422088
ACH-000288,-0.568305811932
ACH-000291,-0.824276329518
ACH-000293,-0.875331644182
ACH-000294,-0.530855959585
ACH-000295,-0.623369670717
ACH-000296,-0.329282098523
ACH-000302,-0.20088647059599998
ACH-000304,-0.457110744239
ACH-000307,-0.7452346289749999
ACH-000308,-0.4934336342
ACH-000310,-0.558820687397
ACH-000311,-0.604507917043
ACH-000312,-0.8358121260420001
ACH-000315,-0.501454229935
ACH-000316,-1.14704293239
ACH-000317,-0.713208915564
ACH-000318,-0.5060451657399999
ACH-000319,-0.354376788346
ACH-000320,-0.679234763073
ACH-000322,-0.850159525663
ACH-000323,-0.7599555688580001
ACH-000324,-0.495901068617
ACH-000329,-0.645999864082
ACH-000330,-0.576711730449
ACH-000331,-0.541157782812
ACH-000332,-0.42586017036799995
ACH-000334,-0.315854171491
ACH-000335,-0.734213606893
ACH-000336,-0.635200923063
ACH-000337,-0.7509794891789999
ACH-000339,-0.830954269466
ACH-000341,-0.31611841922899997
ACH-000348,-0.652349149576
ACH-000350,-0.394371134207
ACH-000352,-0.555358894867
ACH-000356,-0.464423541527
ACH-000361,-0.41789784287299997
ACH-000362,-0.432592992174
ACH-000363,-0.30289895306
ACH-000364,-0.5805924091800001
ACH-000365,-0.518870504061
ACH-000366,-0.536991330347
ACH-000368,-0.447007967637
ACH-000374,-0.7474758853550001
ACH-000375,-0.637578302976
ACH-000376,-0.74086373559
ACH-000381,-0.537094532342
ACH-000383,-0.386773729806
ACH-000387,-0.45724026948799995
ACH-000389,-0.840598415249
ACH-000390,-0.391001596927
ACH-000393,-0.550466458157
ACH-000395,-0.680351260148
ACH-000397,-0.59373661169
ACH-000401,-0.8362209984990001
ACH-000402,-0.654276509871
ACH-000403,-0.630863721478
ACH-000404,-0.706593812219
ACH-000406,-0.60164946672
ACH-000407,-0.480206648869
ACH-000408,-0.599083427649
ACH-000410,-0.907025337666
ACH-000411,-0.56309980545
ACH-000414,-0.626440650263
ACH-000415,-0.682549637909
ACH-000416,-0.567286542414
ACH-000420,-0.579654164559
ACH-000421,-0.519303583597
ACH-000424,-0.614620530602
ACH-000425,-0.5502726261909999
ACH-000426,-0.7162194855089999
ACH-000427,-0.495019877782
ACH-000433,-0.660273476543
ACH-000436,-0.395124248372
ACH-000444,-0.59681291766
ACH-000445,-0.6672321242329999
ACH-000448,-0.653354863069
ACH-000450,-0.970506389947
ACH-000452,-0.6874611001540001
ACH-000454,-0.8038250114390001
ACH-000458,-0.475589988864
ACH-000459,-0.729509288078
ACH-000460,-0.596778049278
ACH-000461,-0.662321578534
ACH-000463,-0.6364082917589999
ACH-000464,-0.474576860003
ACH-000466,-0.46514155146200004
ACH-000467,-0.861938258835
ACH-000468,-0.653449720044
ACH-000469,-0.749680780315
ACH-000470,-0.656123874538
ACH-000471,-0.47805769900899997
ACH-000472,-0.5676202359629999
ACH-000473,-0.860462322448
ACH-000475,-0.6152567340649999
ACH-000476,-0.798752205402
ACH-000477,-0.685671643971
ACH-000480,-1.15252378934
ACH-000481,-0.44727215116400004
ACH-000483,-0.357642624314
ACH-000484,-0.477525092742
ACH-000485,-0.64512791212
ACH-000486,-0.45300321746399996
ACH-000487,-0.657689897387
ACH-000488,-0.839632546415
ACH-000490,-0.619623149283
ACH-000491,-0.891237869312
ACH-000495,-0.542463706866
ACH-000496,-0.343639739662
ACH-000499,-0.8649110658
ACH-000500,-0.5401826143339999
ACH-000502,-0.39759696715000004
ACH-000503,-0.946397917578
ACH-000505,-1.02361001574
ACH-000507,-0.55330416362
ACH-000510,-0.656924256115
ACH-000511,-0.327664325158
ACH-000512,-1.1732128809
ACH-000516,-0.6347548715519999
ACH-000517,-0.5531838878109999
ACH-000518,-0.491173355217
ACH-000520,-0.7920445804699999
ACH-000521,-0.577337125613
ACH-000522,-0.391315016356
ACH-000524,-0.36286989943000003
ACH-000527,-0.675593166963
ACH-000528,-0.578528853243
ACH-000537,-0.901189258249
ACH-000541,-0.23985177959000004
ACH-000542,-0.689757667209
ACH-000544,-0.890461694637
ACH-000545,-0.586123898179
ACH-000547,-0.295086570893
ACH-000548,-0.46285519135700004
ACH-000549,-0.81830246904
ACH-000550,-0.842755277586
ACH-000552,-0.44501382581200005
ACH-000556,-0.333948826261
ACH-000557,-0.291222079511
ACH-000570,-0.565249059114
ACH-000571,-0.605452521527
ACH-000573,-0.5646204310149999
ACH-000576,-0.8221505896340001
ACH-000580,-0.710130242112
ACH-000584,-0.566267300368
ACH-000585,-0.384322469999
ACH-000588,-1.0227437665299999
ACH-000589,-0.523484275348
ACH-000591,-0.735506996735
ACH-000593,-0.564384824369
ACH-000600,-0.43252708451899996
ACH-000601,-0.613841169633
ACH-000604,-0.294950648672
ACH-000605,-0.380632415572
ACH-000606,-1.04020703875
ACH-000608,-0.647208772199
ACH-000614,-0.6400634619359999
ACH-000616,-0.568063936892
ACH-000618,-0.739985984049
ACH-000619,-0.6904421734180001
ACH-000620,-0.305018719371
ACH-000621,-0.6826069193350001
ACH-000622,-0.417245132374
ACH-000623,-0.6529076494
ACH-000624,-0.7055471850120001
ACH-000627,-0.595491261525
ACH-000630,-0.720862863119
ACH-000632,-0.636243821725
ACH-000633,-0.591380818385
ACH-000637,-0.596196637269
ACH-000638,-0.354967003901
ACH-000646,-0.379340763347
ACH-000647,-0.609595471146
ACH-000648,-0.7447495118080001
ACH-000649,-0.669551041917
ACH-000651,-0.34440997368500004
ACH-000652,-0.7602687404790001
ACH-000653,-0.34244502610699995
ACH-000657,-0.611016524318
ACH-000658,-0.590282066847
ACH-000661,-0.6085012705439999
ACH-000662,-0.563284171207
ACH-000663,-0.38166667315499997
ACH-000665,-0.613085289236
ACH-000671,-0.6917503651899999
ACH-000673,-0.893859623199
ACH-000676,-0.8917507266600001
ACH-000677,-0.580930511643
ACH-000681,-0.540484283162
ACH-000682,-0.622705080259
ACH-000683,-0.7877641529870001
ACH-000684,-0.943346276205
ACH-000688,-0.6184555705870001
ACH-000693,-0.616222816648
ACH-000694,-0.9411629103799999
ACH-000695,-0.326788274967
ACH-000696,-0.695402974454
ACH-000697,-0.5931815456139999
