,HIGD2A (192286)
ACH-000004,-0.0847929869117
ACH-000007,-0.095006068816
ACH-000009,-0.242218864066
ACH-000011,-0.0804073043259
ACH-000012,-0.28941850637
ACH-000013,-0.18870062992199998
ACH-000014,-0.19397176152800003
ACH-000015,-0.644632807424
ACH-000017,-0.262006759115
ACH-000018,-0.0936038888077
ACH-000019,-0.44329669453500004
ACH-000021,-0.19658102651599998
ACH-000022,-0.201776336802
ACH-000025,-0.228223232015
ACH-000028,-0.352383754542
ACH-000030,-0.137005648045
ACH-000035,-0.375267993704
ACH-000036,-0.0599544607184
ACH-000037,-0.14218280662000002
ACH-000039,-0.458678385639
ACH-000040,-0.24562506919799998
ACH-000041,-0.136181352369
ACH-000042,-0.13910730347
ACH-000045,-0.163458089646
ACH-000047,-0.240069405333
ACH-000052,-0.20076562605700002
ACH-000053,-0.166406823723
ACH-000054,-0.211955967397
ACH-000055,-0.22912727461
ACH-000060,-0.158613126911
ACH-000067,-0.10035521576199999
ACH-000070,-0.384687034705
ACH-000075,-0.37010046055699997
ACH-000078,-0.642329153306
ACH-000082,-0.292682350862
ACH-000085,-0.296439224938
ACH-000086,-0.245796346576
ACH-000087,-0.217169539961
ACH-000092,-0.280923922991
ACH-000095,-0.246468254038
ACH-000097,-0.21014358000100003
ACH-000098,-0.203984312212
ACH-000099,-0.39563821509900005
ACH-000108,-0.266728153964
ACH-000113,-0.42856026318
ACH-000115,-0.34807466504900003
ACH-000116,-0.22641030814
ACH-000118,-0.659744648588
ACH-000120,-0.325316336041
ACH-000123,-0.538431859555
ACH-000127,-0.206611540867
ACH-000128,-0.23747996766100002
ACH-000132,-0.225144711747
ACH-000133,-0.10633675715600001
ACH-000137,-0.108292893125
ACH-000138,-0.41488893550300004
ACH-000142,0.00247997436109
ACH-000143,-0.222991518483
ACH-000146,-0.36282676309600004
ACH-000148,-0.375107915465
ACH-000150,-0.432794336844
ACH-000152,-0.280797935633
ACH-000153,-0.5122741658250001
ACH-000159,-0.2967662674
ACH-000160,-0.26175469736900003
ACH-000163,-0.17906720672600002
ACH-000167,-0.00465976639123
ACH-000168,-0.16402317407
ACH-000169,-0.0989834718932
