,COPZ1 (22818)
ACH-000004,-1.23214281364
ACH-000007,-1.03273407444
ACH-000009,-1.5029212884399998
ACH-000011,-1.1185450498
ACH-000012,-0.938366257824
ACH-000013,-0.9724637382019999
ACH-000014,-1.11178125147
ACH-000015,-1.03024435886
ACH-000017,-1.15456649392
ACH-000018,-1.30349088607
ACH-000019,-1.09679621331
ACH-000021,-1.16662747814
ACH-000022,-1.21112242409
ACH-000025,-1.3865371263600001
ACH-000028,-1.1430627667
ACH-000030,-0.9785183805509999
ACH-000035,-1.06608038292
ACH-000036,-1.32851278103
ACH-000037,-1.31950040606
ACH-000039,-1.1370368422
ACH-000040,-0.733468971971
ACH-000041,-0.9911219897779999
ACH-000042,-1.05165599572
ACH-000045,-1.184532505
ACH-000047,-1.0543927361799998
ACH-000052,-1.2071040854200001
ACH-000053,-1.10278596348
ACH-000054,-1.14888454926
ACH-000055,-0.844068576857
ACH-000060,-1.2351959017799998
ACH-000067,-1.18020354015
ACH-000070,-0.9213100043060001
ACH-000075,-0.780969446199
ACH-000078,-0.910993349088
ACH-000082,-1.4323592070200002
ACH-000085,-0.968473029723
ACH-000086,-1.27963138514
ACH-000087,-1.1244220195399999
ACH-000092,-1.26055589405
ACH-000095,-1.3498432254
ACH-000097,-1.19669558188
ACH-000098,-1.16454675387
ACH-000099,-1.0468372321600001
ACH-000108,-1.06093417316
ACH-000113,-1.44986687995
ACH-000115,-1.3506511325900001
ACH-000116,-1.15543666627
ACH-000118,-1.08680938021
ACH-000120,-0.911350354951
ACH-000123,-1.15363244626
ACH-000127,-1.23407357994
ACH-000128,-1.1581824412200001
ACH-000132,-1.27646771666
ACH-000133,-1.11329671804
ACH-000137,-1.31203719246
ACH-000138,-1.10723338747
ACH-000142,-0.98082704629
ACH-000143,-0.94469683126
ACH-000146,-1.3208628326799998
ACH-000148,-1.22712330184
ACH-000150,-1.05231650093
ACH-000152,-1.13968255113
ACH-000153,-1.1169892085700002
ACH-000159,-1.28236558743
ACH-000160,-1.1455274638200001
ACH-000163,-1.57831331448
ACH-000167,-1.27658491622
ACH-000168,-1.22551419253
ACH-000169,-1.13044103883
ACH-000178,-1.09225845983
ACH-000182,-1.05389708679
ACH-000183,-1.3290305360299999
ACH-000188,-1.10303788567
ACH-000189,-1.32397802338
ACH-000190,-1.1439276156
ACH-000198,-1.32272378877
ACH-000204,-1.10806828442
ACH-000206,-0.921172682042
ACH-000207,-1.08637048525
ACH-000211,-1.25469966609
ACH-000215,-0.9623255798620001
ACH-000221,-0.9333935794589999
ACH-000222,-1.26684762203
ACH-000223,-1.01486906461
ACH-000226,-1.23942459173
ACH-000227,-1.42547123106
ACH-000228,-1.1466526805
ACH-000231,-1.25218848208
ACH-000232,-1.23338239949
ACH-000233,-1.1218214398
ACH-000234,-1.07772566954
ACH-000235,-1.08144183894
ACH-000237,-1.19609657643
ACH-000238,-0.973869946551
ACH-000243,-1.08606284177
ACH-000244,-0.344000197914
ACH-000246,-1.07209323151
ACH-000248,-1.13561884998
ACH-000250,-1.16804727971
ACH-000251,-1.10802940356
ACH-000253,-1.28612224668
ACH-000255,-0.6902673216840001
ACH-000256,-1.35047632132
ACH-000257,-0.749417007528
ACH-000258,-1.3764199052700001
ACH-000259,-1.1932048296200002
ACH-000260,-0.951400747091
ACH-000261,-1.09455343018
ACH-000262,-1.25717873031
ACH-000263,-1.21905343824
ACH-000264,-1.1655847637299999
ACH-000265,-0.98501884529
ACH-000266,-1.26992735727
ACH-000272,-1.2390852734
ACH-000273,-1.2252479035700001
ACH-000274,-1.2317215085200002
ACH-000277,-1.1085451486700002
ACH-000278,-0.864965865645
ACH-000279,-1.16540630985
ACH-000280,-1.21714042737
ACH-000281,-0.961502033167
ACH-000288,-1.21763393806
ACH-000291,-1.31007876384
ACH-000293,-1.2106543750299998
ACH-000294,-1.2900096541500001
ACH-000295,-1.17386438641
ACH-000296,-0.887613928571
ACH-000302,-1.32460311027
ACH-000304,-0.8340656831029999
ACH-000307,-1.09563572846
ACH-000308,-1.02001773058
ACH-000310,-1.2328257768100002
ACH-000311,-1.06833741373
ACH-000312,-1.11029048405
ACH-000315,-1.1156164695200002
ACH-000316,-1.0378620925700002
ACH-000317,-0.781414677028
ACH-000318,-1.06360548679
ACH-000319,-1.06749669255
ACH-000320,-0.9642514242110001
ACH-000322,-1.03346532362
ACH-000323,-1.3760972522100001
ACH-000324,-1.064188275
ACH-000329,-1.27364563461
ACH-000330,-0.860723362983
ACH-000331,-1.0207238627200002
ACH-000332,-1.1920582387899998
ACH-000334,-1.46450183868
ACH-000335,-0.900505902953
ACH-000336,-1.1060430700900001
ACH-000337,-1.09652318934
ACH-000339,-1.267485636
ACH-000341,-1.17377179174
ACH-000348,-1.312778266
ACH-000350,-1.13103352423
ACH-000352,-1.08391526032
ACH-000356,-1.00309610737
ACH-000361,-0.969978032987
ACH-000362,-1.3432818010699998
ACH-000363,-1.32826263254
ACH-000364,-1.1774342175299999
ACH-000365,-0.9693253307999999
ACH-000366,-1.0634072315
ACH-000368,-1.36452576257
ACH-000374,-0.937664736946
ACH-000375,-1.18343768297
ACH-000376,-1.04468691426
ACH-000381,-1.00328982513
ACH-000383,-1.3797397250499999
ACH-000387,-1.46258947295
ACH-000389,-1.15320010713
ACH-000390,-0.756234977657
ACH-000393,-1.11147359828
ACH-000395,-1.36898215956
ACH-000397,-1.1431689348899998
ACH-000401,-1.02424207369
ACH-000402,-1.33393199338
ACH-000403,-1.0990297656
ACH-000404,-0.8391541576620001
ACH-000406,-1.20976469766
ACH-000407,-1.16585182574
ACH-000408,-0.9564848152519999
ACH-000410,-1.08175489369
ACH-000411,-0.9746696196529999
ACH-000414,-1.05038196607
ACH-000415,-0.9918635782430001
ACH-000416,-1.2662242596100002
ACH-000420,-1.4357686891299999
ACH-000421,-0.994030207917
ACH-000424,-0.9802415084939999
ACH-000425,-0.936628867246
ACH-000426,-1.52870547597
ACH-000427,-1.24885204104
ACH-000433,-1.11905014278
ACH-000436,-1.30148696614
ACH-000444,-0.8189053782919999
ACH-000445,-0.992095321889
ACH-000448,-1.13407312708
ACH-000450,-1.13557587605
ACH-000452,-0.912912827487
ACH-000454,-1.11750547052
ACH-000458,-1.1581550766600002
ACH-000459,-1.54693011366
ACH-000460,-1.0095824831
ACH-000461,-1.14262108226
ACH-000463,-1.08587955294
ACH-000464,-1.06739342152
ACH-000466,-1.21515388404
ACH-000467,-1.0937913132200001
ACH-000468,-1.3331033803799999
ACH-000469,-1.06501258377
ACH-000470,-1.3163398285299999
ACH-000471,-1.1942252919499998
ACH-000472,-1.6052469879700002
ACH-000473,-1.01745302855
ACH-000475,-1.23414733596
ACH-000476,-1.20114475454
ACH-000477,-0.330827643201
ACH-000480,-1.05201844863
ACH-000481,-1.15014150658
ACH-000483,-1.4318764278
ACH-000484,-1.7126610477700002
ACH-000485,-1.3227989851000002
ACH-000486,-1.2014587814
ACH-000487,-1.4444289279499998
ACH-000488,-0.960920613869
ACH-000490,-1.00743030071
ACH-000491,-1.08064740819
ACH-000495,-1.33138652798
ACH-000496,-1.1284182586
ACH-000499,-1.2509732396200002
ACH-000500,-0.967370590877
ACH-000502,-0.916955697773
ACH-000503,-0.7451448919120001
ACH-000505,-1.45474376273
ACH-000507,-1.11412427811
ACH-000510,-1.07593084173
ACH-000511,-1.24624290191
ACH-000512,-1.1669662431899999
ACH-000516,-1.00669586579
ACH-000517,-1.05886491604
ACH-000518,-1.14907083542
ACH-000520,-1.37051729979
ACH-000521,-1.18766965131
ACH-000522,-1.1447828460299998
ACH-000524,-1.3508263784099999
ACH-000527,-1.07814382881
ACH-000528,-0.841740243786
ACH-000537,-1.25696770168
ACH-000541,-1.27406333364
ACH-000542,-1.15852686336
ACH-000544,-0.780520717984
ACH-000545,-0.904538429237
ACH-000547,-1.13588459066
ACH-000548,-1.5486709291
ACH-000549,-1.12116577941
ACH-000550,-0.5745991623110001
ACH-000552,-1.22013569003
ACH-000556,-1.14734054826
ACH-000557,-1.6600792977599999
ACH-000570,-1.03118577307
ACH-000571,-0.512804876412
ACH-000573,-1.0615928245200001
ACH-000576,-1.01932126143
ACH-000580,-1.00766661595
ACH-000584,-1.0697844392
ACH-000585,-0.764583446496
ACH-000588,-1.36968138436
ACH-000589,-0.9336969971089999
ACH-000591,-1.04381725123
ACH-000593,-1.1468060608700001
ACH-000600,-1.26096523904
ACH-000601,-1.2112629988299999
ACH-000604,-1.4965051384
ACH-000605,-1.2718022412799999
ACH-000606,-0.918911368661
ACH-000608,-1.5655934775799998
ACH-000614,-1.070210769
ACH-000616,-1.36857272692
ACH-000618,-0.927068192757
ACH-000619,-1.09374948414
ACH-000620,-0.842183264058
ACH-000621,-1.35116501479
ACH-000622,-1.12902582484
ACH-000623,-0.964323659469
ACH-000624,-1.2956888663400001
ACH-000627,-1.09678677737
ACH-000630,-1.15725664624
ACH-000632,-1.3113090119700002
ACH-000633,-1.6293286688799997
ACH-000637,-0.98181451698
ACH-000638,-1.0878674476899999
ACH-000646,-1.4046292338100002
ACH-000647,-1.32259559565
ACH-000648,-1.21203385848
ACH-000649,-1.4224776624000002
ACH-000651,-0.9699362305429999
ACH-000652,-1.21743894131
ACH-000653,-1.30634165484
ACH-000657,-1.17523305377
ACH-000658,-1.17515900157
ACH-000661,-0.9895556483519999
ACH-000662,-0.8439522940880001
ACH-000663,-1.08475978886
ACH-000665,-1.1947890236499998
ACH-000671,-1.2419745455600002
ACH-000673,-1.27876156469
ACH-000676,-0.9968735030060001
ACH-000677,-1.11978588793
ACH-000681,-1.01011505249
ACH-000682,-1.1030526007600001
ACH-000683,-0.7823054580359999
ACH-000684,-0.825156279864
ACH-000688,-1.99074834572
ACH-000693,-1.13900701201
ACH-000694,-1.0380408826799998
ACH-000695,-1.12283340059
ACH-000696,-0.959285513742
ACH-000697,-1.01803570703
ACH-000699,-1.24396686423
ACH-000701,-1.20970041778
ACH-000706,-1.19130620227
ACH-000711,-1.1314262095299998
ACH-000713,-1.17563004976
ACH-000714,-1.06812830563
ACH-000718,-1.21385259905
ACH-000720,-0.986065083175
ACH-000721,-1.0703281435299998
ACH-000724,-1.22461226611
ACH-000725,-1.48512904967
ACH-000732,-1.02810880067
ACH-000734,-1.15616972942
ACH-000735,-1.07412191772
ACH-000736,-1.13717340316
ACH-000738,-0.8554223036380001
ACH-000746,-1.12522439528
ACH-000747,-0.9585846552249999
ACH-000748,-1.1230468031899998
ACH-000753,-1.09019837223
ACH-000756,-1.1446408376100001
ACH-000757,-1.10541014617
ACH-000758,-1.13321951345
ACH-000760,-1.42205109762
ACH-000763,-1.4953732583700001
ACH-000764,-1.07692992852
ACH-000765,-1.0497347126
ACH-000766,-1.1858508460100001
ACH-000767,-1.32765056316
ACH-000768,-1.23255988192
ACH-000769,-0.894151312254
ACH-000770,-1.4291297644999998
ACH-000771,-1.12152416246
ACH-000773,-1.33954410824
ACH-000776,-1.20937269567
ACH-000777,-1.08322429064
ACH-000778,-1.30409917109
ACH-000781,-0.951130600081
ACH-000782,-1.30272446685
ACH-000783,-1.2673632933
ACH-000784,-0.881879037914
ACH-000785,-1.30696812573
ACH-000787,-1.07278173808
ACH-000788,-1.04610993378
ACH-000791,-1.01349921422
ACH-000792,-1.2549525977299998
ACH-000794,-0.994767332373
ACH-000796,-1.48865185102
ACH-000799,-1.17707267629
ACH-000800,-0.9665243341040001
ACH-000802,-1.08700558534
ACH-000804,-1.0612578469299998
ACH-000805,-1.11582462397
ACH-000809,-1.2076769233600002
ACH-000810,-0.581565601291
ACH-000811,-1.20546466438
ACH-000817,-1.2475304858299998
ACH-000819,-1.23290591731
ACH-000820,-1.16997657382
ACH-000821,-1.7260460634299999
ACH-000822,-1.4624254657799998
ACH-000823,-0.891680870033
ACH-000824,-1.3216638985100002
ACH-000827,-1.17432534822
ACH-000829,-1.24564862616
ACH-000831,-1.15451661365
ACH-000832,-0.928019181766
ACH-000833,-1.2376700810799999
ACH-000834,-1.01606985199
ACH-000835,-1.01221498769
ACH-000836,-1.1387755101600001
ACH-000837,-0.924483787479
ACH-000838,-1.27960336654
ACH-000839,-1.2948731112
ACH-000840,-0.9504988256200001
ACH-000841,-1.06018344893
ACH-000843,-0.9388978287799999
ACH-000846,-1.2612102335
ACH-000847,-1.1643667881
ACH-000848,-1.05154937605
ACH-000849,-1.36472325769
ACH-000851,-1.15438772749
ACH-000855,-1.0681887972700002
ACH-000856,-1.1439088388299998
ACH-000858,-1.1448055400100001
ACH-000859,-1.17318130956
ACH-000861,-1.1635043682700001
ACH-000862,-0.958317907648
ACH-000865,-0.9430600570100001
ACH-000866,-1.2016312498000001
ACH-000867,-1.22723748358
ACH-000869,-1.19135385751
ACH-000872,-0.9504108728210001
ACH-000873,-0.953272622158
ACH-000876,-1.3583551863699999
ACH-000878,-0.877637722413
ACH-000880,-1.05870896809
ACH-000881,-1.09147033169
ACH-000882,-0.961966994015
ACH-000884,-0.9489315609829999
ACH-000885,-1.22191603745
ACH-000887,-1.18484037498
ACH-000888,-1.18590075428
ACH-000889,-1.20703330011
ACH-000890,-1.0940731355
ACH-000896,-1.03501083767
ACH-000898,-1.32093724662
ACH-000900,-1.07049757142
ACH-000901,-1.4026174751299998
ACH-000905,-1.13219962854
ACH-000906,-1.3498874349399999
ACH-000907,-0.753118856098
ACH-000910,-0.932659948945
ACH-000911,-1.1992796832500001
ACH-000912,-1.10348252052
ACH-000913,-1.28660925024
ACH-000915,-1.25500325517
ACH-000916,-0.42503705842100004
ACH-000917,-1.17801056344
ACH-000921,-1.0879735318700001
ACH-000924,-1.0803463206000001
ACH-000926,-1.27798208437
ACH-000928,-1.04985609739
ACH-000929,-0.9539940788719999
ACH-000932,-1.0515179988799999
ACH-000935,-0.8164628770829999
ACH-000936,-1.0735919543299999
ACH-000937,-0.993139989452
ACH-000938,-0.764618384726
ACH-000939,-1.01489175926
ACH-000941,-0.8863153938670001
ACH-000943,-1.0568375331
ACH-000946,-1.01946664795
ACH-000947,-1.19696859059
ACH-000948,-0.987458455037
ACH-000950,-1.0292614841299998
ACH-000953,-0.930858912563
ACH-000957,-0.9905217446510001
ACH-000958,-1.16708919801
ACH-000960,-0.839962778822
ACH-000963,-1.29269550821
ACH-000968,-1.0561873046799999
ACH-000969,-0.938069535273
ACH-000973,-1.17247522981
ACH-000974,-1.08005284021
ACH-000975,-1.0180833824
ACH-000976,-1.2460071007
ACH-000978,-1.11105934859
ACH-000980,-0.994834859967
ACH-000984,-0.891489903907
ACH-000986,-0.9281949982879999
ACH-000988,-0.9290722123649999
ACH-000993,-0.9601782337710001
ACH-000994,-1.06403869825
ACH-000996,-1.23972106146
ACH-001001,-0.981826646734
ACH-001020,-1.1965969772299998
ACH-001028,-1.18566175823
ACH-001031,-1.08545382861
ACH-001038,-1.20303654691
ACH-001048,-1.0630392498299999
ACH-001050,-1.1640672913299999
ACH-001053,-1.02150639687
ACH-001054,-1.12280927805
ACH-001061,-0.968615970552
ACH-001067,-1.21753385374
ACH-001075,-0.953797832207
ACH-001096,-1.15318725572
ACH-001128,-2.0299882016
ACH-001134,-1.08051368418
ACH-001151,-1.20630919237
ACH-001163,-1.1879781619299998
ACH-001164,-1.48662635949
ACH-001173,-1.26169834762
ACH-001183,-1.21993288876
ACH-001184,-0.975562040857
ACH-001190,-1.0027090254200002
ACH-001192,-1.07351137908
ACH-001193,-1.07407973096
ACH-001196,-0.9111073629440001
ACH-001197,-1.13054926855
ACH-001205,-1.06878000628
ACH-001211,-1.25972108722
ACH-001212,-1.09534559448
ACH-001228,-0.975428705493
ACH-001232,-1.3000195788700002
ACH-001239,-1.49962061413
ACH-001274,-1.23792979358
ACH-001275,-1.1083237408
ACH-001277,-1.13991732339
ACH-001278,-1.37865239535
ACH-001280,-1.07488026806
ACH-001283,-0.8735419024590001
ACH-001289,-0.992130144203
ACH-001295,-1.23762628707
ACH-001300,-1.1698907239
ACH-001301,-1.05135593992
ACH-001302,-1.05969753564
ACH-001303,-1.4330834853999999
ACH-001306,-1.15415595778
ACH-001318,-1.10365817849
ACH-001322,-1.19545005216
ACH-001328,-1.10880695194
ACH-001332,-0.9431342995980001
