,TMX2 (51075)
ACH-000004,-1.19628692009
ACH-000007,-0.482631327327
ACH-000009,-0.449883961351
ACH-000011,-1.16854212487
ACH-000012,-0.675839400089
ACH-000013,-0.220460702093
ACH-000014,-0.10491953220000001
ACH-000015,-0.6659146754990001
ACH-000017,-0.462790749198
ACH-000018,-0.49868543283999994
ACH-000019,-1.28138873218
ACH-000021,-0.899302861108
ACH-000022,-0.112058895085
ACH-000025,-0.46569123348700003
ACH-000028,-0.690408804595
ACH-000030,-0.657358907048
ACH-000035,-0.11867157238199999
ACH-000036,-0.262911099153
ACH-000037,-0.5425903911209999
ACH-000039,-0.835067459006
ACH-000040,-0.684970323636
ACH-000041,-0.301260691597
ACH-000042,-0.8423121383040001
ACH-000045,-0.6631156652769999
ACH-000047,-0.7946042578129999
ACH-000052,-0.273925587802
ACH-000053,-0.7975098539769999
ACH-000054,-0.619333390824
ACH-000055,-0.800382503424
ACH-000060,-0.602622736486
ACH-000067,-0.392172406399
ACH-000070,-0.818641277718
ACH-000075,-0.291615827638
ACH-000078,-0.5794677451770001
ACH-000082,-0.5010347591709999
ACH-000085,-0.806943236591
ACH-000086,-0.328660307315
ACH-000087,-0.6930370296960001
ACH-000092,-0.229673026887
ACH-000095,-0.580391626746
ACH-000097,-0.816910687896
ACH-000098,-0.37402493248199997
ACH-000099,-0.626015263315
ACH-000108,-1.0058011629299999
ACH-000113,-0.6835572315940001
ACH-000115,-0.105251204778
ACH-000116,-0.323923767508
ACH-000118,-0.930249243708
ACH-000120,-0.519623296575
ACH-000123,-0.6108673390179999
ACH-000127,-0.636300455413
ACH-000128,-0.4768382875600001
ACH-000132,-0.275406915988
ACH-000133,-0.322801088947
ACH-000137,-0.281003125037
ACH-000138,-0.5763289701259999
ACH-000142,-0.501847912052
ACH-000143,-0.957116364788
ACH-000146,-0.976749325632
ACH-000148,-0.653750731994
ACH-000150,-0.541680062112
ACH-000152,-0.812686776795
ACH-000153,-0.474010829453
ACH-000159,-0.639555682798
ACH-000160,-0.6380824691929999
ACH-000163,-0.55841022169
ACH-000167,-0.5812001756090001
ACH-000168,-1.08223190129
ACH-000169,-0.589378494679
ACH-000178,-0.6928598450329999
ACH-000182,-0.6645920563109999
ACH-000183,-0.895211902079
ACH-000188,-0.499171962492
ACH-000189,-0.8850691970550001
ACH-000190,-0.775454496498
ACH-000198,-0.7708408284299999
ACH-000204,-0.592689695757
ACH-000206,-0.7682460539849999
ACH-000207,-0.8736507591179999
ACH-000211,-0.859838711084
ACH-000215,-0.5601886615330001
ACH-000221,-0.251856891031
ACH-000222,-0.843626387809
ACH-000223,-0.21192204732099998
ACH-000226,-0.8636866052009999
ACH-000227,-0.119442356291
ACH-000228,-0.636805326609
ACH-000231,-0.640579764746
ACH-000232,-0.026058420276200003
ACH-000233,-1.11906532807
ACH-000234,-1.09086589795
ACH-000235,-0.7478173724580001
ACH-000237,-0.676020666784
ACH-000238,-0.33788835775
ACH-000243,-0.649285575558
ACH-000244,-0.400180866934
ACH-000246,-0.506201135436
ACH-000248,-0.492399075995
ACH-000250,-0.720765672565
ACH-000251,-1.25478072112
ACH-000253,-0.406758594231
ACH-000255,-1.32158329538
ACH-000256,-0.5042344473
ACH-000257,-0.6004008277699999
ACH-000258,-0.309244645845
ACH-000259,-0.322829003091
ACH-000260,-0.563882217058
ACH-000261,-1.0559570712200002
ACH-000262,-0.40975276424999996
ACH-000263,-0.882379117355
ACH-000264,-1.12273440287
ACH-000265,-0.697523821991
ACH-000266,-0.334620659935
ACH-000272,-0.89689000299
ACH-000273,-0.982113972808
ACH-000274,0.199682976146
ACH-000277,-0.662543364954
ACH-000278,-0.37551069750699995
ACH-000279,-0.284092189523
ACH-000280,-0.39914912808700004
ACH-000281,-0.683638655155
ACH-000288,-0.681048587107
ACH-000291,-0.380139494442
ACH-000293,-0.455043535009
ACH-000294,-0.458832422021
ACH-000295,-0.38305408333499996
ACH-000296,-0.38192934751
ACH-000302,-0.210003388502
ACH-000304,-0.36162315866899997
ACH-000307,-0.970783378248
ACH-000308,-0.8447096300139999
ACH-000310,-0.17560024960200002
ACH-000311,-1.04149202036
ACH-000312,-0.43546072895099996
ACH-000315,-0.725713632897
ACH-000316,-0.856386336449
ACH-000317,-0.747271533711
ACH-000318,-0.566400557733
ACH-000319,-0.605832910369
ACH-000320,-1.2007983952799999
ACH-000322,-0.967470777241
ACH-000323,-0.6986263168119999
ACH-000324,-0.422054198641
ACH-000329,-0.18147127218800002
ACH-000330,-0.469590487512
ACH-000331,-0.0859056121632
ACH-000332,-0.6894609282240001
ACH-000334,-0.387182942873
ACH-000335,-0.296430585539
ACH-000336,-0.6976254830740001
ACH-000337,-0.963855800818
ACH-000339,-0.91881814294
ACH-000341,-0.45835087397200003
ACH-000348,-0.559287864073
ACH-000350,-0.804111966555
ACH-000352,-0.778577261388
ACH-000356,-0.757692673794
ACH-000361,-0.48654616364799996
ACH-000362,-0.772779768752
ACH-000363,-0.516359979152
ACH-000364,-0.506374558372
ACH-000365,-0.7868627041399999
ACH-000366,-0.5398348475779999
ACH-000368,-1.01824096157
ACH-000374,-0.44654260129199996
ACH-000375,-0.8189316414929999
ACH-000376,-0.780698467157
ACH-000381,-0.625643478928
ACH-000383,-0.429482433386
ACH-000387,-1.2382636775799998
ACH-000389,-0.55633547674
ACH-000390,-0.5515581417050001
ACH-000393,-0.687698961972
ACH-000395,-0.370753701007
ACH-000397,-0.7395913447660001
ACH-000401,-0.514550639879
ACH-000402,-0.142769325041
ACH-000403,-0.256907999281
ACH-000404,-1.2846309921999999
ACH-000406,-0.9180682738070001
ACH-000407,-0.40838511484300005
ACH-000408,-0.605594071074
ACH-000410,-0.54913483704
ACH-000411,-0.816089050659
ACH-000414,-0.754009643776
ACH-000415,-0.500351839373
ACH-000416,-0.688632725186
ACH-000420,-0.621813390062
ACH-000421,-0.8031084660619999
ACH-000424,-0.131631104759
ACH-000425,-0.443868150627
ACH-000426,-1.1504267144
