,ATP5J (522)
ACH-000004,-0.305873743466
ACH-000007,-0.6431122856620001
ACH-000009,-0.327413305259
ACH-000011,0.0310108726762
ACH-000012,-0.374475096399
ACH-000013,-0.533436402268
ACH-000014,-0.06599757584049999
ACH-000015,-0.646965281076
ACH-000017,-0.539333627618
ACH-000018,-0.40245331044200006
ACH-000019,-0.756032841503
ACH-000021,-0.21021204179000003
ACH-000022,-0.632036986088
ACH-000025,-0.501075928481
ACH-000028,-0.543924639469
ACH-000030,-0.467843692125
ACH-000035,-0.770637854695
ACH-000036,-0.179280983008
ACH-000037,-0.331825068912
ACH-000039,-0.384630488963
ACH-000040,-0.06635885218719999
ACH-000041,-0.373795865743
ACH-000042,-0.0964059878958
ACH-000045,-0.45755799463200003
ACH-000047,-0.562218627209
ACH-000052,-0.6307459909049999
ACH-000053,-0.462623427005
ACH-000054,-0.5112976569250001
ACH-000055,-0.17886828571600003
ACH-000060,-0.581172298977
ACH-000067,-0.20391833667999998
ACH-000070,-0.330576966271
ACH-000075,-0.354626863439
ACH-000078,-0.55172703354
ACH-000082,-0.511247113935
ACH-000085,-0.44638814653000003
ACH-000086,-0.6400694467279999
ACH-000087,-0.666118903702
ACH-000092,-0.420956488164
ACH-000095,-0.302305120529
ACH-000097,-0.46871588507399997
ACH-000098,-0.420072082523
ACH-000099,-0.359391895409
ACH-000108,-0.356454736856
ACH-000113,-0.538348626738
ACH-000115,-0.302782126472
ACH-000116,-0.641203089432
ACH-000118,-0.589549368036
ACH-000120,-0.5699513011280001
ACH-000123,-0.634724952537
ACH-000127,-0.68204105933
ACH-000128,-0.611850444745
ACH-000132,-0.418626732151
ACH-000133,-0.410795639233
ACH-000137,-0.40559321452
ACH-000138,-0.286104366453
ACH-000142,-0.53794050245
ACH-000143,-0.624743188738
ACH-000146,-0.531474803196
ACH-000148,-0.475305562562
ACH-000150,-0.6263709755160001
ACH-000152,-0.469685180198
ACH-000153,-0.261273122723
ACH-000159,-0.506679264249
ACH-000160,-0.9840075937999999
ACH-000163,-0.198438901854
ACH-000167,-0.498094557295
ACH-000168,-0.428171892805
ACH-000169,-0.679760348142
ACH-000178,-0.540444629628
ACH-000182,-0.522491929922
ACH-000183,-0.731469495177
ACH-000188,-0.41210021833599997
ACH-000189,-0.394071572617
ACH-000190,-0.601106803601
ACH-000198,-0.652707139275
ACH-000204,-0.45481430139300005
ACH-000206,-0.587544877239
ACH-000207,-0.268156382286
ACH-000211,-0.31602267695700004
ACH-000215,-0.475178277002
ACH-000221,-0.633315769932
ACH-000222,-0.455948924107
ACH-000223,-0.500205911497
ACH-000226,-0.168390445529
ACH-000227,-0.401317148771
ACH-000228,-0.24730794503000003
ACH-000231,-0.31482369857500003
ACH-000232,-0.604904235115
ACH-000233,-0.317168889001
ACH-000234,-0.167068212581
ACH-000235,-0.255037561154
ACH-000237,-0.0934388029178
ACH-000238,-0.39931387987800004
ACH-000243,-0.254072318867
ACH-000244,-0.396846036535
ACH-000246,-0.304145982057
ACH-000248,-0.343184087422
ACH-000250,-0.205925699306
ACH-000251,-0.286159758712
ACH-000253,-0.265658968213
ACH-000255,-0.589537839553
ACH-000256,-0.19959165218699998
ACH-000257,-0.326010466607
ACH-000258,-0.507485682646
ACH-000259,-0.555248789527
ACH-000260,-0.415797367604
ACH-000261,-0.345505540073
ACH-000262,-0.691897134631
ACH-000263,-0.566349716135
ACH-000264,-0.622395515936
ACH-000265,-0.5348011879169999
ACH-000266,-0.203691790659
ACH-000272,-0.41175832225500003
ACH-000273,-0.212855739712
ACH-000274,-0.567809385708
ACH-000277,-0.603049360859
ACH-000278,-0.528374956238
ACH-000279,-0.346734164413
ACH-000280,-0.5200009674
ACH-000281,-0.151476978968
ACH-000288,-0.5428246210800001
ACH-000291,-0.36729232438299997
ACH-000293,-0.328767096406
ACH-000294,-0.0758858578006
ACH-000295,-0.217250537637
ACH-000296,-0.42172561506399997
ACH-000302,-0.738646408151
ACH-000304,-0.403946335193
ACH-000307,-0.29884740134300003
ACH-000308,-0.749194367912
ACH-000310,-0.389324665243
ACH-000311,-0.459829966356
ACH-000312,-0.43067169439999997
ACH-000315,-0.295016104892
ACH-000316,-0.368064909967
ACH-000317,-0.565873664378
ACH-000318,-0.6572540881210001
ACH-000319,-0.711922382448
ACH-000320,-0.454990820946
ACH-000322,-0.583973861716
ACH-000323,-0.241963875672
ACH-000324,-0.298674263129
ACH-000329,-0.515443206888
ACH-000330,-0.748109358519
ACH-000331,-0.528628152512
ACH-000332,-0.31608971533700003
ACH-000334,-0.0936750948808
ACH-000335,-0.500080884705
ACH-000336,-0.330879524019
ACH-000337,-0.315906086148
ACH-000339,-0.32794094015700004
ACH-000341,-0.239213022872
ACH-000348,-0.256858217268
ACH-000350,-0.642895958995
ACH-000352,-0.500856039198
ACH-000356,-0.559989392052
ACH-000361,-0.6402266159359999
ACH-000362,-0.450605143609
ACH-000363,-0.505715651024
ACH-000364,-0.469278560612
ACH-000365,-0.298889961921
ACH-000366,-0.258141999828
ACH-000368,-0.428184579983
ACH-000374,-0.532578649989
ACH-000375,-0.667662237887
ACH-000376,-0.531618604169
ACH-000381,-0.366515620452
ACH-000383,-0.5547983427759999
ACH-000387,-0.41377965949600004
ACH-000389,-0.42877939943300003
ACH-000390,-0.545699608114
ACH-000393,-0.07808491038639999
ACH-000395,-0.135522718731
ACH-000397,-0.225829102415
ACH-000401,-0.320584402947
ACH-000402,0.9329015130220001
ACH-000403,-0.47567540421599996
ACH-000404,-0.376385337152
ACH-000406,-0.340727731552
ACH-000407,-0.306097864446
ACH-000408,-0.382169442529
ACH-000410,-0.467997568464
ACH-000411,-0.46556360721699996
ACH-000414,-0.5398562032850001
ACH-000415,-0.697168434854
ACH-000416,-0.294996097843
ACH-000420,-0.29836834527
ACH-000421,-0.357572174464
ACH-000424,-0.27641387397
ACH-000425,-0.31121203406500003
ACH-000426,-0.494754923877
ACH-000427,-0.732374938815
ACH-000433,-0.443716657342
ACH-000436,-0.151139335505
ACH-000444,-0.513851729001
ACH-000445,-0.133627082475
ACH-000448,-0.340655179226
ACH-000450,-0.385191141593
ACH-000452,-0.61802555806
ACH-000454,-0.405924832326
ACH-000458,-0.27688533156899997
ACH-000459,-0.882145497952
ACH-000460,-0.410358837809
ACH-000461,-0.664230285294
ACH-000463,-0.586364393898
ACH-000464,-0.256158507411
ACH-000466,-0.56135681444
ACH-000467,-0.562764496235
ACH-000468,-0.336218251899
ACH-000469,-0.314830878787
ACH-000470,-0.23005230852699998
ACH-000471,-0.424957027147
ACH-000472,-0.407199564651
ACH-000473,-0.31545847753199996
ACH-000475,-0.533441484315
ACH-000476,-0.6817575074850001
ACH-000477,-0.571396579069
ACH-000480,-0.499609315131
ACH-000481,-0.40202407695299996
ACH-000483,-0.626367669388
ACH-000484,-0.313906111845
ACH-000485,-0.26310415315200003
ACH-000486,-0.446595136052
ACH-000487,-0.468058074115
ACH-000488,-0.568688415639
ACH-000490,-0.459060729512
ACH-000491,-0.5917540799409999
ACH-000495,-0.259376104087
ACH-000496,-0.287492327798
ACH-000499,-0.201272417157
ACH-000500,-0.338603143675
ACH-000502,-0.381327701158
ACH-000503,-0.728072806576
ACH-000505,-0.45561944665299997
ACH-000507,-0.7050823194339999
ACH-000510,-0.317173551576
ACH-000511,-0.319505132119
ACH-000512,-0.394934529922
ACH-000516,-0.36622071775799997
ACH-000517,-0.465399115723
ACH-000518,-0.41125468922799996
ACH-000520,-0.11310622328600001
ACH-000521,-0.452144143677
ACH-000522,-0.503536982062
ACH-000524,-0.496889581197
ACH-000527,-0.485981858075
ACH-000528,-0.6862577066259999
ACH-000537,-0.263305308856
ACH-000541,-0.441415648226
ACH-000542,-0.516594028561
ACH-000544,-0.556070736068
ACH-000545,-0.600228116192
ACH-000547,-0.5046390958370001
ACH-000548,-0.159532458161
ACH-000549,-0.7380495391580001
ACH-000550,-0.335110205833
ACH-000552,-0.675731380536
ACH-000556,-0.520376194263
ACH-000557,0.036920981323699996
ACH-000570,-0.34296517676700006
ACH-000571,-0.14518595914000001
ACH-000573,-0.5544379360320001
ACH-000576,-0.099722461521
ACH-000580,-0.17001226387
ACH-000584,-0.430928510509
ACH-000585,-0.500393391686
ACH-000588,-0.489762580053
ACH-000589,-0.573773692669
ACH-000591,-0.293979982969
ACH-000593,-0.46093471520900003
ACH-000600,-0.669996507431
ACH-000601,-0.23477479621
ACH-000604,-0.519051887217
ACH-000605,-0.540695774718
ACH-000606,-0.5034790558860001
ACH-000608,-0.359161680604
ACH-000614,-0.47451518695100003
ACH-000616,-0.352555856834
ACH-000618,-0.805418204323
ACH-000619,-0.574220466904
ACH-000620,-0.365313407759
ACH-000621,-0.17443958991500003
ACH-000622,-0.38897097275799997
ACH-000623,-0.382941140261
ACH-000624,-0.32511891455499997
ACH-000627,-0.26299294291299996
ACH-000630,-0.492552308822
ACH-000632,-0.47483189089500005
ACH-000633,-0.582234961255
ACH-000637,-0.40820671218599996
ACH-000638,-0.350494658867
ACH-000646,-0.5534999062100001
ACH-000647,-0.633605832576
ACH-000648,-0.37830260396399995
ACH-000649,-0.239879111384
ACH-000651,-0.665993088946
ACH-000652,-0.386624464077
ACH-000653,-0.383881755263
ACH-000657,-0.476109135403
ACH-000658,-0.34146080509099996
ACH-000661,-0.239994588349
ACH-000662,-0.295633257335
ACH-000663,-0.521990169567
ACH-000665,-0.269278013273
ACH-000671,-0.505904273413
ACH-000673,-0.288080826659
ACH-000676,-0.597675103651
ACH-000677,-0.889189494387
ACH-000681,-0.6035495941529999
ACH-000682,-0.41824296007899997
ACH-000683,-0.600715258907
ACH-000684,-0.477502696263
ACH-000688,-0.489373853182
ACH-000693,-0.5381629454869999
ACH-000694,-0.76551495141
ACH-000695,-0.496081180898
ACH-000696,-0.578068289555
ACH-000697,-0.370655324424
ACH-000699,-0.616722167482
ACH-000701,-0.315891605268
ACH-000706,-0.837377151595
ACH-000711,-0.223322065125
ACH-000713,-0.537283785011
ACH-000714,-0.06664663668380001
ACH-000718,-0.510160642843
ACH-000720,-0.5642505582940001
ACH-000721,-0.43414819584799996
ACH-000724,-0.474075326031
ACH-000725,-0.738896435691
ACH-000732,-0.755634684479
ACH-000734,-0.5090491073219999
ACH-000735,-0.51336059834
ACH-000736,-0.554099658301
ACH-000738,-0.5037869330470001
ACH-000746,-0.48931163940300004
ACH-000747,-0.533440084178
ACH-000748,-0.378236732906
ACH-000753,-0.5382754583789999
