,MAEA (10296)
ACH-000004,-0.0269651376632
ACH-000007,-0.183771883759
ACH-000009,-0.0880732178208
ACH-000011,-0.877701907941
ACH-000012,-0.43113744590400005
ACH-000013,-0.593911056779
ACH-000014,-0.5137795325460001
ACH-000015,-0.317043177228
ACH-000017,-0.8249668593800001
ACH-000018,-0.340774093223
ACH-000019,-0.747939136828
ACH-000021,-0.139490481867
ACH-000022,-0.302803379956
ACH-000025,-0.107794666228
ACH-000028,-0.725181055019
ACH-000030,-0.820052322367
ACH-000035,-0.356220148492
ACH-000036,-0.525085871852
ACH-000037,-0.43626387621699997
ACH-000039,-0.552634854561
ACH-000040,-0.428402006754
ACH-000041,-0.434330129872
ACH-000042,-0.641435673197
ACH-000045,-0.258010804577
ACH-000047,-0.7178336506209999
ACH-000052,-0.835309744154
ACH-000053,0.29516802276500004
ACH-000054,-0.655143385686
ACH-000055,-0.39856742127300004
ACH-000060,-0.5116795907899999
ACH-000067,-0.327613376224
ACH-000070,-0.277241522231
ACH-000075,-0.425999462897
ACH-000078,-0.49393415058799994
ACH-000082,-0.887184587667
ACH-000085,-0.670183463139
ACH-000086,-0.410372051844
ACH-000087,-0.5961506745790001
ACH-000092,-0.7218038913629999
ACH-000095,-0.366330887234
ACH-000097,-0.7667440735969999
ACH-000098,-0.428039695254
ACH-000099,-0.583842970168
ACH-000108,-0.402383388615
ACH-000113,-0.735249708046
ACH-000115,-0.6896454733409999
ACH-000116,-0.9723571708159999
ACH-000118,-0.747595118185
ACH-000120,-0.47296242665399996
ACH-000123,-0.334234847281
ACH-000127,-0.296638437705
ACH-000128,-0.251620490017
ACH-000132,-0.291151302122
ACH-000133,-0.61774592598
ACH-000137,-0.521346206845
ACH-000138,-0.460699971034
ACH-000142,-0.971031104501
ACH-000143,-0.42848304671
ACH-000146,-0.369615035141
ACH-000148,-0.310270589828
ACH-000150,-0.437205422403
ACH-000152,-0.66898854794
ACH-000153,-0.558016618457
ACH-000159,-0.226140787922
ACH-000160,-0.250105111169
