,MEPE (56955)
ACH-000004,-0.461833694501
ACH-000007,-0.22900407055100003
ACH-000009,-0.19310063045499998
ACH-000011,-0.13446401999399998
ACH-000012,-0.317798377782
ACH-000013,-0.153181183925
ACH-000014,-0.38003476336099995
ACH-000015,-0.458556245747
ACH-000017,-0.347628041387
ACH-000018,-0.396643361747
ACH-000019,-0.234600307638
ACH-000021,-0.362627232761
ACH-000022,-0.293497273372
ACH-000025,-0.18291043037500002
ACH-000028,-0.427337384123
ACH-000030,-0.355439512033
ACH-000035,-0.350924486341
ACH-000036,-0.284389816925
ACH-000037,-0.0918336125763
ACH-000039,-0.549931178385
ACH-000040,-0.135830153911
ACH-000041,-0.6083219980160001
ACH-000042,-0.49798872912000003
ACH-000045,-0.233732771742
ACH-000047,-0.44659966904799997
ACH-000052,-0.20708077490600002
ACH-000053,-0.378084191731
ACH-000054,-0.31409042022399997
ACH-000055,0.136074076947
ACH-000060,-0.43989386411000003
ACH-000067,-0.376385276776
ACH-000070,-0.316741526861
ACH-000075,-0.326927445199
ACH-000078,-0.49149599284999995
ACH-000082,-0.390917122123
ACH-000085,-0.404692372917
ACH-000086,-0.29495218524300004
ACH-000087,-0.162994771279
ACH-000092,-0.296501703602
ACH-000095,-0.504286775793
ACH-000097,-0.395839610673
ACH-000098,-0.35322705817199995
ACH-000099,-0.38754849719800005
ACH-000108,-0.35911253733000004
ACH-000113,-0.424704019583
ACH-000115,-0.355927839814
ACH-000116,-0.5021818881
ACH-000118,-0.343949735621
ACH-000120,-0.386173228798
ACH-000123,-0.33569480797799994
ACH-000127,-0.529566966588
ACH-000128,-0.409921554678
ACH-000132,-0.5022599182649999
ACH-000133,-0.373980763706
ACH-000137,-0.226569177061
ACH-000138,-0.402664501631
ACH-000142,-0.374232598172
ACH-000143,-0.30033505549600004
ACH-000146,-0.244178797908
ACH-000148,-0.400010084572
ACH-000150,-0.404018761476
ACH-000152,-0.446413667314
ACH-000153,-0.708757892771
ACH-000159,-0.5174302675779999
ACH-000160,-0.619533695498
ACH-000163,-0.334845302221
ACH-000167,-0.08673967480839999
ACH-000168,-0.460075226361
ACH-000169,-0.37693973089500005
ACH-000178,-0.232664558996
ACH-000182,-0.309051355003
ACH-000183,-0.267640555675
ACH-000188,-0.347069748314
ACH-000189,-0.158703332807
ACH-000190,-0.1321689782
ACH-000198,-0.31082744385600003
ACH-000204,-0.13159821508400002
ACH-000206,-0.07564556931989999
ACH-000207,-0.27295037271899997
ACH-000211,-0.382613436672
ACH-000215,-0.43497434243199995
ACH-000221,-0.218200717869
ACH-000222,-0.618792988692
ACH-000223,-0.435619828719
ACH-000226,-0.268263085728
ACH-000227,-0.645715290788
ACH-000228,-0.327775458902
ACH-000231,-0.341273002998
ACH-000232,-0.385951208291
ACH-000233,-0.27438224441500003
ACH-000234,-0.36185443419299995
ACH-000235,-0.360424750213
ACH-000237,-0.282489208838
ACH-000238,-0.273634101813
ACH-000243,-0.45270365579899996
ACH-000244,-0.06680944953080001
ACH-000246,-0.267843864172
ACH-000248,-0.299913216348
ACH-000250,-0.323204020295
ACH-000251,-0.138652830747
ACH-000253,-0.220335095595
ACH-000255,-0.33738831803
ACH-000256,-0.360183178101
ACH-000257,-0.354759525055
ACH-000258,-0.40940740902500006
ACH-000259,-0.361707645405
ACH-000260,-0.27902019504000003
ACH-000261,-0.35280216406099996
ACH-000262,-0.214966042883
ACH-000263,-0.531734826878
ACH-000264,-0.231569316726
ACH-000265,-0.614884403027
ACH-000266,-0.418959966426
ACH-000272,-0.648517978994
ACH-000273,-0.525454536033
ACH-000274,-0.377084585549
ACH-000277,-0.0717512790618
ACH-000278,-0.157641094717
ACH-000279,-0.47466927187700003
ACH-000280,-0.376345128409
ACH-000281,-0.6466208278760001
ACH-000288,-0.27473840674000005
ACH-000291,-0.251511971606
ACH-000293,-0.39212994404299994
ACH-000294,-0.23842186018599998
ACH-000295,-0.44725675076899996
ACH-000296,-0.38046643327699997
ACH-000302,-0.436184857338
ACH-000304,-0.363110899015
ACH-000307,-0.216645350548
ACH-000308,-0.40855367001599996
ACH-000310,-0.721002303883
ACH-000311,-0.494857957108
ACH-000312,-0.368433218499
ACH-000315,-0.144389021106
ACH-000316,-0.155198908894
ACH-000317,-0.45318454716000006
ACH-000318,-0.476810483835
ACH-000319,-0.302004605121
ACH-000320,-0.5204132608950001
ACH-000322,-0.591186280218
ACH-000323,-0.233236010975
ACH-000324,-0.51719596962
ACH-000329,-0.16536412759400002
ACH-000330,-0.38095477577200004
ACH-000331,-0.18137739199099998
ACH-000332,-0.426574280788
ACH-000334,-0.37486673746
ACH-000335,-0.259305061549
ACH-000336,-0.781999525461
ACH-000337,-0.07184220317119999
ACH-000339,-0.247463797029
ACH-000341,-0.580467175149
ACH-000348,-0.292394156334
ACH-000350,-0.383632769411
ACH-000352,-0.250848874694
ACH-000356,-0.24245104384799998
ACH-000361,-0.13846196375
ACH-000362,-0.268779579645
ACH-000363,-0.27858340576699997
ACH-000364,-0.28950268254
ACH-000365,-0.44896191716899997
ACH-000366,-0.40293787221199995
ACH-000368,-0.410362036407
ACH-000374,-0.33440636851
ACH-000375,-0.23640161771600002
ACH-000376,-0.268588414033
ACH-000381,-0.268038435165
ACH-000383,-0.324945464826
ACH-000387,-0.28310255366
ACH-000389,-0.12635694294299998
ACH-000390,-0.505127453561
ACH-000393,-0.363561009169
ACH-000395,-0.203292195069
ACH-000397,-0.279844558156
ACH-000401,-0.38706721255300003
ACH-000402,-0.44946405021700003
ACH-000403,-0.350512952795
ACH-000404,-0.5212750288710001
ACH-000406,-0.20005479535999998
ACH-000407,-0.40505218940300003
ACH-000408,-0.355465488018
ACH-000410,-0.39014054756399996
ACH-000411,-0.229066953816
ACH-000414,-0.55821130765
ACH-000415,-0.565613508049
ACH-000416,-0.419856861987
ACH-000420,-0.426487080676
ACH-000421,-0.316584082577
ACH-000424,-0.29503602790100003
ACH-000425,-0.5648419877549999
ACH-000426,0.09387355589089999
ACH-000427,-0.152813873466
ACH-000433,-0.354676748248
ACH-000436,-0.502352278765
ACH-000444,-0.197322131839
ACH-000445,-0.507182656872
ACH-000448,-0.289561341505
ACH-000450,-0.14172064302999998
ACH-000452,-0.303249128282
ACH-000454,-0.283317683811
ACH-000458,-0.0641343802683
ACH-000459,0.102682057511
ACH-000460,-0.318237231914
ACH-000461,-0.468446730792
ACH-000463,-0.222999502108
ACH-000464,-0.470947865349
ACH-000466,-0.194587961976
ACH-000467,-0.34265785460500003
ACH-000468,-0.340611124692
ACH-000469,-0.301091432306
ACH-000470,-0.332919997447
ACH-000471,-0.382187153124
ACH-000472,-0.443368011699
ACH-000473,-0.0059191387378199995
ACH-000475,-0.419369523696
ACH-000476,-0.37972110510300006
ACH-000477,-0.0478209675752
ACH-000480,-0.28756956516
ACH-000481,-0.45847674399300004
ACH-000483,-0.187388244256
ACH-000484,-0.16175004592199999
ACH-000485,-0.197935079139
ACH-000486,-0.297427716817
ACH-000487,-0.438762081672
ACH-000488,-0.307349711877
ACH-000490,-0.327085369083
ACH-000491,-0.39585726962300005
ACH-000495,-0.313747289657
ACH-000496,-0.641463849357
ACH-000499,-0.418054385902
ACH-000500,-0.309012306103
ACH-000502,-0.350787563941
ACH-000503,-0.33276480911600004
ACH-000505,-0.409588980003
ACH-000507,-0.40746013813799997
ACH-000510,-0.584763318627
ACH-000511,-0.268474925471
ACH-000512,-0.122488027643
ACH-000516,-0.158757409879
ACH-000517,-0.450932153165
ACH-000518,-0.2444416608
ACH-000520,-0.37360681327899997
ACH-000521,-0.480815924405
ACH-000522,-0.356017299256
ACH-000524,-0.346875847425
ACH-000527,-0.320396750373
ACH-000528,-0.394636166355
ACH-000537,-0.23328943166700003
ACH-000541,0.0695320171434
ACH-000542,-0.405496059306
ACH-000544,-0.346811710378
ACH-000545,-0.40173158313900004
ACH-000547,-0.221143867454
ACH-000548,-0.38477459390600005
ACH-000549,-0.291491517973
ACH-000550,-0.273783676414
ACH-000552,-0.451797282251
ACH-000556,-0.5072147800550001
ACH-000557,-0.456273566585
ACH-000570,-0.355894009931
ACH-000571,-0.0521551816895
ACH-000573,-0.268988245179
ACH-000576,-0.21939275698199998
ACH-000580,-0.40643372663500005
ACH-000584,-0.290381738356
ACH-000585,-0.270548625426
ACH-000588,-0.103798876828
ACH-000589,-0.3901586922
ACH-000591,-0.521921202813
ACH-000593,-0.407935062433
ACH-000600,-0.409626085189
ACH-000601,-0.436041940628
ACH-000604,-0.456655904261
ACH-000605,-0.40262141191100004
ACH-000606,-0.331577018683
ACH-000608,-0.433339249917
ACH-000614,-0.34937780302
ACH-000616,-0.449265048459
ACH-000618,-0.156002752619
ACH-000619,-0.438832229279
ACH-000620,-0.209370095664
ACH-000621,-0.196426208615
ACH-000622,-0.339258985115
ACH-000623,-0.352803370478
ACH-000624,-0.39946850895999997
ACH-000627,-0.481022452811
ACH-000630,-0.5647011228450001
ACH-000632,-0.256407651915
ACH-000633,-0.43544286443999997
ACH-000637,-0.345076858393
ACH-000638,-0.46775734094
ACH-000646,-0.29687598329799997
ACH-000647,-0.416952396708
ACH-000648,-0.508690340411
ACH-000649,-0.411226119689
ACH-000651,-0.259283986039
ACH-000652,-0.103254571282
ACH-000653,-0.100888489375
ACH-000657,-0.532404643812
ACH-000658,-0.35710210924
ACH-000661,-0.17911727955499998
ACH-000662,-0.17806904385000002
ACH-000663,-0.306120996093
ACH-000665,-0.577715987294
ACH-000671,-0.155904712085
ACH-000673,-0.461937097848
ACH-000676,-0.249402044472
ACH-000677,-0.268074864564
ACH-000681,-0.413666816884
ACH-000682,-0.458858089062
ACH-000683,-0.543613471015
ACH-000684,-0.260155161977
ACH-000688,-0.375710901629
ACH-000693,-0.371155549943
ACH-000694,-0.466460428917
ACH-000695,-0.300545825198
ACH-000696,-0.384756312029
ACH-000697,-0.430802227526
ACH-000699,-0.20642194338599998
ACH-000701,-0.33838199916199996
ACH-000706,-0.221435461237
ACH-000711,-0.519658004605
ACH-000713,-0.500572954592
ACH-000714,-0.406730203634
ACH-000718,-0.298459603369
ACH-000720,-0.27608400255800003
ACH-000721,-0.41199840976700003
ACH-000724,-0.126867168906
ACH-000725,-0.456094365425
ACH-000732,-0.258220654255
ACH-000734,-0.42354858261100004
ACH-000735,-0.302308103215
ACH-000736,-0.326509772709
ACH-000738,-0.179837778084
ACH-000746,-0.44035311082500006
ACH-000747,-0.427084308389
ACH-000748,-0.24327544359
ACH-000753,-0.18865153570999998
ACH-000756,-0.263281055194
ACH-000757,-0.510851684357
ACH-000758,-0.176738049007
ACH-000760,-0.284962960647
ACH-000763,-0.665490347727
ACH-000764,-0.10434340581399999
ACH-000765,-0.240270574667
ACH-000766,-0.334129177519
ACH-000767,-0.334266404528
ACH-000768,-0.313081676473
ACH-000769,-0.44722078108400004
ACH-000770,-0.388714224865
ACH-000771,-0.39699114863799995
ACH-000773,-0.31761994202
ACH-000776,-0.40106701553400004
ACH-000777,-0.15248561394000001
ACH-000778,-0.532205730512
ACH-000781,-0.459582889598
ACH-000782,-0.0127927057746
ACH-000783,-0.38337659714
ACH-000784,-0.42505835161899996
ACH-000785,-0.73728276879
ACH-000787,-0.401162581602
ACH-000788,-0.350328536635
ACH-000791,-0.387429105687
ACH-000792,-0.18365398888700002
ACH-000794,-0.664107131446
ACH-000796,-0.392441188512
ACH-000799,-0.452215945341
ACH-000800,-0.194557013703
ACH-000802,-0.415813871949
ACH-000804,-0.512150550085
ACH-000805,-0.43906767992
ACH-000809,-0.339839768693
ACH-000810,-0.587497649637
ACH-000811,-0.18945800861099998
ACH-000817,-0.415545223978
ACH-000819,-0.20350271162300002
ACH-000820,-0.22456509199400002
ACH-000821,-0.0472912548662
