,CHEK1 (1111)
ACH-000004,-1.39362566155
ACH-000007,-1.37275236516
ACH-000009,-1.5138387644799998
ACH-000011,-1.6734018927899998
ACH-000012,-1.4891777802700001
ACH-000013,-1.7731765286099996
ACH-000014,-1.5836327242700001
ACH-000015,-1.4997021068399998
ACH-000017,-1.68696080124
ACH-000018,-1.2155166260999999
ACH-000019,-1.46569341347
ACH-000021,-1.2625897419499998
ACH-000022,-1.5076029184900002
ACH-000025,-1.32620358216
ACH-000028,-1.5533544105200001
ACH-000030,-1.5106429151700003
ACH-000035,-1.2617655185299999
ACH-000036,-1.30744855503
ACH-000037,-0.756567325824
ACH-000039,-1.8051622716599998
ACH-000040,-1.2619602152399998
ACH-000041,-1.5132298920700002
ACH-000042,-1.22218579638
ACH-000045,-1.77368050748
ACH-000047,-1.4823353728400002
ACH-000052,-1.25555309195
ACH-000053,-1.59568073158
ACH-000054,-1.2721035138099999
ACH-000055,-1.4421785384499999
ACH-000060,-1.39011986305
ACH-000067,-1.2727425488200002
ACH-000070,-2.00675170138
ACH-000075,-1.6192901847499999
ACH-000078,-1.80624133685
ACH-000082,-1.81886643333
ACH-000085,-1.2704814932
ACH-000086,-1.3122139992
ACH-000087,-1.4842223937299999
ACH-000092,-1.6801599094400002
ACH-000095,-1.7272323535900003
ACH-000097,-1.6306598170200002
ACH-000098,-1.24681794461
ACH-000099,-1.75302622306
ACH-000108,-1.26112137593
ACH-000113,-1.64390805148
ACH-000115,-2.39890822109
ACH-000116,-1.4162317713199999
ACH-000118,-1.36300022183
ACH-000120,-1.3236045561299998
ACH-000123,-1.57979517815
ACH-000127,-1.54527323385
ACH-000128,-1.08929868308
ACH-000132,-1.52310462738
ACH-000133,-1.29207027464
ACH-000137,-1.4017718665999999
ACH-000138,-1.50061679566
ACH-000142,-1.4659354245200003
ACH-000143,-1.68616892759
ACH-000146,-1.9287770561000002
ACH-000148,-1.7287503635900003
ACH-000150,-1.52816695843
ACH-000152,-1.1088677723
ACH-000153,-1.05453834339
ACH-000159,-1.62572328491
ACH-000160,-1.51986810768
ACH-000163,-1.51480339567
ACH-000167,-1.99079404189
ACH-000168,-1.52549545508
ACH-000169,-1.51865918438
ACH-000178,-1.5734015578100002
ACH-000182,-1.79101669805
