,ADRA1D (146)
ACH-000004,0.08091940098339999
ACH-000007,0.132895675263
ACH-000009,0.265026921874
ACH-000011,0.00246031908361
ACH-000012,0.0350292260986
ACH-000013,-0.0900144785122
ACH-000014,0.171853419225
ACH-000015,0.170186089577
ACH-000017,0.00100514085416
ACH-000018,-0.315712302012
ACH-000019,0.126861655484
ACH-000021,0.25452316367600003
ACH-000022,-0.09489066323169999
ACH-000025,0.08818477947219999
ACH-000028,0.0629898033579
ACH-000030,0.08704207604849999
ACH-000035,0.160055178035
ACH-000036,-0.0233877388392
ACH-000037,0.03532885546969999
ACH-000039,0.504232706928
ACH-000040,-0.0939966460781
ACH-000041,0.327230698452
ACH-000042,-0.0155249631217
ACH-000045,-0.126387807955
ACH-000047,-0.0404510958441
ACH-000052,0.041991672834900004
ACH-000053,0.0567002561902
ACH-000054,-0.0811154291419
ACH-000055,0.39562498471999996
ACH-000060,-0.0924193329675
ACH-000067,-0.26715465563900004
ACH-000070,-0.314716813249
ACH-000075,-0.05614543035280001
ACH-000078,0.381541713711
ACH-000082,0.0542100043066
ACH-000085,0.09777362217730001
ACH-000086,0.0649188182699
ACH-000087,0.09372820667439999
ACH-000092,-0.0314636199944
ACH-000095,0.00650645893851
ACH-000097,0.035452910471099996
ACH-000098,0.20051908730300003
ACH-000099,0.0731637880725
ACH-000108,-0.0012537989533800001
ACH-000113,0.174991188077
ACH-000115,-0.0391308463545
ACH-000116,0.12985959261399999
ACH-000118,0.281764506194
ACH-000120,0.138618078464
ACH-000123,-0.056071184047099994
ACH-000127,0.0382912860825
ACH-000128,-0.25684589219500004
ACH-000132,0.157523377114
ACH-000133,-0.0421973716221
ACH-000137,-0.0835193381435
ACH-000138,0.224158962822
ACH-000142,0.178241509109
ACH-000143,-0.128635055966
ACH-000146,0.04798104826219999
ACH-000148,0.047144383762300006
ACH-000150,-0.143773261928
ACH-000152,0.0550010506312
ACH-000153,0.191636043016
ACH-000159,-0.0238077795356
ACH-000160,0.0619971404381
ACH-000163,-0.08812822940060001
ACH-000167,0.0549905545758
ACH-000168,0.049089719221
ACH-000169,0.0973063086188
ACH-000178,-0.00199572279239
ACH-000182,0.11490254659700001
ACH-000183,0.0656426696
ACH-000188,0.07485072477919999
ACH-000189,-0.059497904299300006
ACH-000190,0.18507213640700002
ACH-000198,-0.0347783649494
ACH-000204,0.09490008048399999
ACH-000206,0.333906375284
ACH-000207,0.149603319688
ACH-000211,-0.0501519880672
ACH-000215,0.08657517045360001
ACH-000221,-0.050508702441999995
ACH-000222,0.0440022199239
