,EDAR (10913)
ACH-000004,-0.0270893827189
ACH-000007,-0.213619244613
ACH-000009,-0.279921095172
ACH-000011,0.0191346911723
ACH-000012,-0.107985232113
ACH-000013,-0.111143178822
ACH-000014,-0.156723120888
ACH-000015,0.07059262789989999
ACH-000017,0.059387941601
ACH-000018,-0.32179458857
ACH-000019,0.175004179547
ACH-000021,-0.06775709482350001
ACH-000022,-0.126739078748
ACH-000025,-0.182441812706
ACH-000028,-0.0565488752666
ACH-000030,-0.0882063023545
ACH-000035,-0.210042602716
ACH-000036,-0.12010746225999999
ACH-000037,0.094372773571
ACH-000039,-0.350453775891
ACH-000040,0.0594778811969
ACH-000041,-0.047798325937199994
ACH-000042,-0.0301473133531
ACH-000045,0.09055979757639998
ACH-000047,-0.182632716153
ACH-000052,-0.11396112442800001
ACH-000053,-0.11423564951
ACH-000054,0.035626630976
ACH-000055,0.049224001268699996
ACH-000060,0.0301078059195
ACH-000067,-0.441732529123
ACH-000070,-0.224209517322
ACH-000075,0.0401103325209
ACH-000078,-0.136827140384
ACH-000082,-0.107581823203
ACH-000085,-0.5407433656130001
ACH-000086,-0.199756046502
ACH-000087,0.10187391206700001
ACH-000092,-0.08726512389010001
ACH-000095,-0.331738373266
ACH-000097,-0.136054441931
ACH-000098,-0.103682582008
ACH-000099,-0.049244037341
ACH-000108,-0.11988388621099999
ACH-000113,-0.129621179753
ACH-000115,0.0796864220191
ACH-000116,0.0516833428303
ACH-000118,-0.144807425807
ACH-000120,-0.22232830867400002
ACH-000123,-0.193766565283
ACH-000127,-0.205508583741
ACH-000128,-0.05417349011440001
ACH-000132,-0.105603496328
ACH-000133,-0.102902005723
ACH-000137,-0.12193390279
ACH-000138,-0.0034964567676499998
ACH-000142,-0.11697651004000001
ACH-000143,-0.0707500005172
ACH-000146,-0.0280092082086
ACH-000148,-0.015827040988399998
ACH-000150,-0.016838066601499998
ACH-000152,-0.139960200115
ACH-000153,-0.06297152056409999
ACH-000159,-0.07428215678339999
ACH-000160,0.0211015413123
ACH-000163,-0.0549603415205
ACH-000167,0.614158305364
ACH-000168,-0.254816001731
ACH-000169,-0.0229280220474
ACH-000178,-0.11095805374399999
ACH-000182,-0.0764855625375
ACH-000183,-0.274589314912
ACH-000188,-0.0428372448433
ACH-000189,0.0495383512402
ACH-000190,-0.0925900677224
ACH-000198,-0.17658385453699998
ACH-000204,0.0118692318064
ACH-000206,-0.12637009997600002
ACH-000207,-0.0413520711704
ACH-000211,-0.0252158769019
ACH-000215,0.0269020641463
ACH-000221,0.059597538997
ACH-000222,-0.16242667144
ACH-000223,-0.0492809230253
ACH-000226,-0.10728801713300001
ACH-000227,-0.0183679553815
ACH-000228,-0.339903794431
ACH-000231,0.00980715016464
ACH-000232,-0.144410286188
ACH-000233,-0.082323388245
ACH-000234,-0.0100946839929
ACH-000235,-0.0730221610264
ACH-000237,-0.106157950856
ACH-000238,-0.059191188321
ACH-000243,-0.262413802962
ACH-000244,0.36354448066
ACH-000246,0.0850257973293
ACH-000248,-0.013840502824899998
ACH-000250,-0.09831817474169999
ACH-000251,-0.24290317689
ACH-000253,0.0390542271044
ACH-000255,-0.16764383529899998
ACH-000256,0.21439671687
ACH-000257,-0.35772576406400003
ACH-000258,0.067319051411
ACH-000259,-0.19597933999000003
ACH-000260,-0.238312169737
ACH-000261,0.007922965428789999
ACH-000262,0.0393759841914
ACH-000263,-0.0810030500511
ACH-000264,-0.136428248577
ACH-000265,-0.245372531898
ACH-000266,-0.08980790455610002
ACH-000272,-0.0888719880363
ACH-000273,-0.12702806898900001
ACH-000274,-0.17736380098299998
ACH-000277,-0.26215288419599997
ACH-000278,0.0694316348272
ACH-000279,-0.25181939694600003
ACH-000280,-0.0020290476403399997
ACH-000281,0.0872551299208
ACH-000288,-0.0841506370523
ACH-000291,-0.24510171329100003
ACH-000293,-0.238827297041
ACH-000294,-0.168483299397
ACH-000295,-0.532753909138
ACH-000296,-0.220497544104
ACH-000302,0.062119235169199996
ACH-000304,-0.194632680477
ACH-000307,-0.059641078630999995
ACH-000308,-0.21400170592599999
ACH-000310,-0.252754137871
ACH-000311,-0.08143109324089999
ACH-000312,-0.0742367401113
ACH-000315,-0.34216435710500004
ACH-000316,-0.19026806740600002
ACH-000317,-0.135119347139
ACH-000318,-0.105364492874
ACH-000319,-0.136117919822
ACH-000320,-0.072523215839
ACH-000322,-0.107149407942
ACH-000323,0.13525618199
ACH-000324,-0.124802025658
ACH-000329,-0.223420843906
ACH-000330,-0.044432006362300006
ACH-000331,-0.24051856513599998
ACH-000332,-0.025244538998500002
ACH-000334,0.00228709056987
ACH-000335,-0.14547987774499999
ACH-000336,0.17482189375999999
