,CPOX (1371)
ACH-000004,-0.152736379561
ACH-000007,-0.493404607071
ACH-000009,-0.33953267372900003
ACH-000011,-0.5347141147360001
ACH-000012,-0.501871010275
ACH-000013,-0.372993965527
ACH-000014,-0.652693866352
ACH-000015,-0.355448973621
ACH-000017,-0.61881597379
ACH-000018,-0.611686679484
ACH-000019,-0.45190878442500004
ACH-000021,-0.565740131848
ACH-000022,-0.436964881749
ACH-000025,-0.743272012023
ACH-000028,-0.500684506284
ACH-000030,-0.7107559968539999
ACH-000035,-0.35612295067
ACH-000036,-0.5650312785930001
ACH-000037,-0.40121627147600003
ACH-000039,-0.452451573573
ACH-000040,-0.7242447490199999
ACH-000041,-0.44585152583099996
ACH-000042,-0.575316023479
ACH-000045,-0.68996458392
ACH-000047,-0.396033237839
ACH-000052,-0.317262530367
ACH-000053,-0.57928917294
ACH-000054,-0.452379638481
ACH-000055,-0.455694541559
ACH-000060,-0.715795575914
ACH-000067,-0.51440182729
ACH-000070,-0.7535027925660001
ACH-000075,-0.6129345139010001
ACH-000078,-0.574890225826
ACH-000082,-0.498299383767
ACH-000085,-0.504923085613
ACH-000086,-0.547800098494
ACH-000087,-0.30537415029
ACH-000092,-0.7873462001800001
ACH-000095,-0.579411894821
ACH-000097,-0.618595880989
ACH-000098,-0.531739016266
ACH-000099,-0.49294780778700004
ACH-000108,-0.568279787395
ACH-000113,-0.78901721537
ACH-000115,-0.38283623587399995
ACH-000116,-0.408772190666
ACH-000118,-0.7258498500309999
ACH-000120,-0.340488235407
ACH-000123,-0.31592267609499997
ACH-000127,-0.529411497943
ACH-000128,-0.664653604904
ACH-000132,-0.666988569526
ACH-000133,-0.35154775959
ACH-000137,-0.5865395783
ACH-000138,-0.7054105017550001
ACH-000142,-0.470397561144
ACH-000143,-0.530889973865
ACH-000146,-0.595191056368
ACH-000148,-0.28167346761900003
ACH-000150,-0.586226672739
ACH-000152,-0.593207731197
ACH-000153,-0.38545260946800003
ACH-000159,-0.628282403854
ACH-000160,-0.5756088318029999
ACH-000163,-0.488635215194
ACH-000167,-0.34435439740999996
ACH-000168,-0.669001516586
ACH-000169,-0.59730811984
ACH-000178,-0.423851081386
ACH-000182,-0.7150316217839999
