,CARS (833)
ACH-000004,-1.35942060592
ACH-000007,-1.19667226085
ACH-000009,-1.26582887738
ACH-000011,-1.3658316740600003
ACH-000012,-1.39586825655
ACH-000013,-1.38360228477
ACH-000014,-1.37553394549
ACH-000015,-1.17249287063
ACH-000017,-1.445702474
ACH-000018,-1.5040141148100001
ACH-000019,-1.85307101229
ACH-000021,-1.23117795316
ACH-000022,-1.4175344269299999
ACH-000025,-1.1062173253799998
ACH-000028,-1.4153293326700003
ACH-000030,-1.2848290033499998
ACH-000035,-1.4309780749
ACH-000036,-1.5181633808700001
ACH-000037,-1.9394332401299998
ACH-000039,-1.41626449943
ACH-000040,-1.5144397200100002
ACH-000041,-1.66567687514
ACH-000042,-1.52224616433
ACH-000045,-1.31711838378
ACH-000047,-1.2308012072299999
ACH-000052,-1.3289288188
ACH-000053,-1.55734279908
ACH-000054,-1.46128490084
ACH-000055,-1.2907098949
ACH-000060,-1.3299831841399998
ACH-000067,-1.1303393448999999
ACH-000070,-1.3718899311300001
ACH-000075,-1.3556044720200002
ACH-000078,-1.76023940741
ACH-000082,-1.4547454730399998
ACH-000085,-0.8938371071760001
ACH-000086,-1.30102744896
ACH-000087,-1.19026364139
ACH-000092,-1.46136129776
ACH-000095,-1.5517344915399998
ACH-000097,-1.4734414394600002
ACH-000098,-1.5881233624899997
ACH-000099,-1.6361220704700001
ACH-000108,-1.5485370034900001
ACH-000113,-1.4211623427000002
ACH-000115,-1.93455100932
ACH-000116,-1.4341888045200002
ACH-000118,-1.0374148650900001
ACH-000120,-1.44746748269
ACH-000123,-1.49646168847
ACH-000127,-1.3352325488099999
ACH-000128,-1.39614546324
ACH-000132,-1.44929370084
ACH-000133,-1.3934659796899997
ACH-000137,-1.50684385044
ACH-000138,-1.29563851596
ACH-000142,-1.36976261044
ACH-000143,-1.2934925924
ACH-000146,-1.6244789127700001
ACH-000148,-1.3846372586700002
ACH-000150,-1.43268780729
ACH-000152,-1.28312039472
ACH-000153,-1.18478664052
ACH-000159,-1.307490359
ACH-000160,-1.27165344703
ACH-000163,-1.4229254682499999
ACH-000167,-1.517398399
ACH-000168,-1.43230347794
ACH-000169,-1.30052283248
ACH-000178,-1.2616799326500001
ACH-000182,-1.4922481819
ACH-000183,-1.51281511289
ACH-000188,-1.2162879506200002
ACH-000189,-1.31644100235
ACH-000190,-1.45472099794
ACH-000198,-1.42848317186
ACH-000204,-1.36045325042
ACH-000206,-1.1716661959799999
ACH-000207,-1.42730439258
ACH-000211,-1.4137949296899999
ACH-000215,-1.4909341736300001
ACH-000221,-1.5564967676700001
ACH-000222,-1.6501459222400001
ACH-000223,-1.22977433558
ACH-000226,-1.5663556420700002
ACH-000227,-1.36463168332
ACH-000228,-1.3180287827700001
ACH-000231,-1.51436354971
ACH-000232,-1.5466745322600002
ACH-000233,-1.47279715485
ACH-000234,-1.5417355196200002
ACH-000235,-1.37723145138
ACH-000237,-1.3362642636
ACH-000238,-1.29610672138
ACH-000243,-1.17297564063
ACH-000244,-1.4076540982499999
ACH-000246,-1.31011527526
ACH-000248,-1.37061272408
ACH-000250,-1.37198050338
ACH-000251,-1.1409571298
ACH-000253,-1.50595058955
ACH-000255,-0.7718473301250001
ACH-000256,-1.6357626406799999
ACH-000257,-1.4197778435
ACH-000258,-1.23345862185
ACH-000259,-1.46983842153
ACH-000260,-1.1791128630299998
ACH-000261,-1.44536443991
ACH-000262,-1.4434456227399999
ACH-000263,-1.90717409801
ACH-000264,-1.50124363516
ACH-000265,-1.30615007504
ACH-000266,-1.2464895698899998
ACH-000272,-1.51784010997
ACH-000273,-1.29966169341
ACH-000274,-1.63156532788
ACH-000277,-1.3474367742299997
ACH-000278,-1.5996540815399998
ACH-000279,-1.5328860906900001
ACH-000280,-1.36889311692
ACH-000281,-1.22873225501
ACH-000288,-1.42783806658
ACH-000291,-1.23753385391
ACH-000293,-1.5510464799700001
ACH-000294,-1.38282588591
ACH-000295,-1.1041178813299999
ACH-000296,-1.2212431060299997
ACH-000302,-1.4138339409799998
ACH-000304,-1.5677812906200002
ACH-000307,-1.44477736641
ACH-000308,-1.71773055963
ACH-000310,-1.81254174152
ACH-000311,-1.15933686237
ACH-000312,-1.51390107199
ACH-000315,-1.2928220749600001
ACH-000316,-1.0806221136799998
ACH-000317,-1.39325178308
ACH-000318,-1.35979005057
ACH-000319,-1.48728581074
ACH-000320,-1.68754871792
ACH-000322,-1.20855182638
ACH-000323,-1.53984299432
ACH-000324,-1.25304930233
ACH-000329,-1.5882322534399997
ACH-000330,-1.4265465248299998
ACH-000331,-1.07152819286
ACH-000332,-1.23790937464
ACH-000334,-1.41128624688
ACH-000335,-1.47648721539
ACH-000336,-1.34857930175
ACH-000337,-1.09857661146
ACH-000339,-1.3864783158
ACH-000341,-1.5796861972299998
ACH-000348,-1.3891049388299999
ACH-000350,-1.40579813507
ACH-000352,-1.1319800934100002
ACH-000356,-1.49470785503
