,ACD (65057)
ACH-000004,-0.8147294570270001
ACH-000007,-0.409285344064
ACH-000009,-0.43626783142399994
ACH-000011,-0.976753530214
ACH-000012,-0.5656613552549999
ACH-000013,-0.465659820933
ACH-000014,-0.720697928899
ACH-000015,-0.203899978431
ACH-000017,-0.377457365247
ACH-000018,-0.387683514742
ACH-000019,-0.38659337589000003
ACH-000021,-0.373728522404
ACH-000022,-0.639098118699
ACH-000025,-0.4094415986
ACH-000028,-0.231996272599
ACH-000030,-0.396935537487
ACH-000035,-0.408690842233
ACH-000036,-0.502222235711
ACH-000037,-0.7572536049799999
ACH-000039,-0.388156453528
ACH-000040,-0.378725842705
ACH-000041,-0.379437872185
ACH-000042,-0.384051606159
ACH-000045,-0.917457162853
ACH-000047,-0.535516415815
ACH-000052,-0.212757113064
ACH-000053,-0.49429618598
ACH-000054,-0.532563376597
ACH-000055,-0.623491893322
ACH-000060,-0.623568852442
ACH-000067,-0.443715798253
ACH-000070,-0.446497900625
ACH-000075,-0.709574949526
ACH-000078,-0.27506332488699997
ACH-000082,-0.40863227794
ACH-000085,-0.255169277591
ACH-000086,-0.612014094494
ACH-000087,-0.638348833573
ACH-000092,-0.568435457775
ACH-000095,-0.718793028094
ACH-000097,-0.477866949049
ACH-000098,-0.50633478312
ACH-000099,-0.607736140335
ACH-000108,-0.346023821048
ACH-000113,-0.518026214675
ACH-000115,-0.29743423230099997
ACH-000116,-0.56723165704
ACH-000118,-0.45794226261999993
ACH-000120,-0.61953430264
ACH-000123,-0.46897673544299995
ACH-000127,-0.43984560134499995
ACH-000128,-0.08505882608989998
ACH-000132,-0.639662157616
ACH-000133,-0.633963817214
ACH-000137,-0.594766624163
ACH-000138,-0.351009937909
ACH-000142,-0.400038982274
ACH-000143,-0.439447479471
ACH-000146,-0.46489447157499997
ACH-000148,-0.341252364962
ACH-000150,-0.433474419027
ACH-000152,-0.548391333025
ACH-000153,-0.625160587522
ACH-000159,-0.622199208803
ACH-000160,-0.0646879587658
ACH-000163,-0.511107096071
ACH-000167,-0.243922172732
ACH-000168,-0.620895850146
ACH-000169,-0.697592904591
ACH-000178,-0.573158432108
ACH-000182,-0.6871962393250001
ACH-000183,-0.614049184895
ACH-000188,-0.671600395166
ACH-000189,-0.35922058103200005
ACH-000190,-0.103515784179
ACH-000198,-0.81915654801
ACH-000204,-0.344067532447
ACH-000206,-0.808469290524
ACH-000207,-0.264985614639
ACH-000211,-0.47262320570699995
ACH-000215,-0.368814857853
ACH-000221,-0.698326356983
ACH-000222,-0.441761717637
ACH-000223,-0.318508245613
ACH-000226,-0.48252032859399996
ACH-000227,-0.405024788527
ACH-000228,-0.569357814249
ACH-000231,-0.598710530004
ACH-000232,-0.475260712862
ACH-000233,-0.339562473759
ACH-000234,-0.689415573576
ACH-000235,-0.608647816998
ACH-000237,-0.727443638856
ACH-000238,-0.490277951757
ACH-000243,-0.279753821445
ACH-000244,-0.6337746120759999
ACH-000246,-0.514230747027
ACH-000248,-0.506989993639
ACH-000250,-0.549634548707
ACH-000251,-0.562649088521
ACH-000253,-0.475943294701
ACH-000255,-0.316573102018
ACH-000256,-0.575833065113
ACH-000257,-0.768032010035
ACH-000258,-0.46430249043300004
ACH-000259,-0.5631255478980001
ACH-000260,-0.437642148567
ACH-000261,-0.48484536423
ACH-000262,-0.7053854547930001
ACH-000263,-0.8272803765700001
ACH-000264,-0.49581837896700004
ACH-000265,-0.288701582242
