,MT1G (4495)
ACH-000004,-0.507190155123
ACH-000007,-0.0268318634578
ACH-000009,-0.137251329661
ACH-000011,-0.307465156803
ACH-000012,-0.546253311796
ACH-000013,-0.189417408485
ACH-000014,-0.146107641725
ACH-000015,-0.0952203418141
ACH-000017,-0.398999262586
ACH-000018,-0.228407970973
ACH-000019,-0.464116517014
ACH-000021,-0.199175363695
ACH-000022,-0.313922390618
ACH-000025,-0.35862849479500003
ACH-000028,-0.229867788792
ACH-000030,-0.190553261541
ACH-000035,-0.33630364794600004
ACH-000036,-0.600489579859
ACH-000037,-0.575156787291
ACH-000039,-0.198638216512
ACH-000040,-0.215297623653
ACH-000041,-0.148614182339
ACH-000042,-0.262203540041
ACH-000045,-0.27945048401
ACH-000047,-0.23054350949299998
ACH-000052,-0.40516695100199995
ACH-000053,-0.24320069397500002
ACH-000054,-0.169044733794
ACH-000055,-0.0722885306064
ACH-000060,-0.35977982102300005
ACH-000067,-0.32861374236499996
ACH-000070,0.0610857911378
ACH-000075,-0.27616841381900004
ACH-000078,-0.248274646108
ACH-000082,-0.440305268436
ACH-000085,-0.37160347842600006
ACH-000086,-0.29062121817
ACH-000087,-0.281764433717
ACH-000092,-0.46818405283799996
ACH-000095,-0.49231791747000003
ACH-000097,-0.47863189196
ACH-000098,-0.44670349839900003
ACH-000099,-0.11573007709899999
ACH-000108,0.0170178876516
ACH-000113,-0.212997886595
ACH-000115,-0.423077055568
ACH-000116,-0.242203730236
ACH-000118,-0.0812982976424
ACH-000120,-0.194776264997
ACH-000123,-0.08578452562339998
ACH-000127,-0.19270446169
ACH-000128,-0.129120963024
ACH-000132,-0.271652006022
ACH-000133,-0.412565738831
ACH-000137,-0.412649368594
ACH-000138,-0.150325881636
ACH-000142,-0.551116766528
ACH-000143,-0.0498595063143
ACH-000146,-0.22994704628600002
ACH-000148,-0.335922451011
ACH-000150,-0.51322986039
ACH-000152,-0.34546290689000003
ACH-000153,-0.556731428261
ACH-000159,-0.27836911390999997
ACH-000160,-0.463591052341
ACH-000163,-0.33804139067100003
ACH-000167,-0.211393042654
ACH-000168,-0.321430931533
ACH-000169,-0.294685894768
ACH-000178,-0.295028540775
ACH-000182,-0.0590757062879
ACH-000183,-0.158336853815
ACH-000188,-0.09102233060789999
ACH-000189,-0.40281612609800005
ACH-000190,-0.36984489900399997
ACH-000198,-0.340641328377
ACH-000204,-0.37507726973300004
ACH-000206,-0.372674762869
ACH-000207,-0.425469040525
ACH-000211,-0.312769819901
ACH-000215,-0.20408343746899998
ACH-000221,-0.198792542975
ACH-000222,-0.14744239431
ACH-000223,-0.35986636833999996
ACH-000226,-0.291262233671
ACH-000227,-0.464197840418
ACH-000228,-0.40599190147200004
ACH-000231,-0.308093963459
ACH-000232,-0.31536420073800003
ACH-000233,-0.33335599922200004
ACH-000234,-0.37498161716399997
ACH-000235,-0.262839603071
ACH-000237,-0.296437155064
ACH-000238,-0.36703485826399995
ACH-000243,-0.179955952
ACH-000244,-0.41321246089
ACH-000246,-0.213851680673
ACH-000248,-0.305283348463
ACH-000250,-0.36002997617700006
ACH-000251,-0.0750177525818
ACH-000253,-0.36596509592500004
ACH-000255,-0.147294724206
ACH-000256,-0.33755573330399996
ACH-000257,0.177531951842
ACH-000258,-0.204573871915
