,MT1B (4490)
ACH-000004,-0.19480376201400001
ACH-000007,0.09328244775820001
ACH-000009,-0.19934393459199998
ACH-000011,-0.27705413182300004
ACH-000012,-0.15195370298900002
ACH-000013,-0.11777389518100001
ACH-000014,0.0357816019456
ACH-000015,0.0712750870989
ACH-000017,-0.11827349799
ACH-000018,-0.00115824987697
ACH-000019,-0.0436483309982
ACH-000021,-0.09619790204119999
ACH-000022,0.0016725817034499999
ACH-000025,-0.127840942012
ACH-000028,0.160969208573
ACH-000030,-0.08474231724739999
ACH-000035,-0.216526332139
ACH-000036,-0.10962671829199999
ACH-000037,-0.25506564226
ACH-000039,-0.0035596749865700003
ACH-000040,-0.27165367473499996
ACH-000041,-0.423860506187
ACH-000042,-0.0298064463335
ACH-000045,-0.37932275321000003
ACH-000047,-0.0266050245697
ACH-000052,-0.20454073610800003
ACH-000053,-0.225269119143
ACH-000054,0.0229261760391
ACH-000055,-0.150912761116
ACH-000060,-0.22109282771400002
ACH-000067,-0.116161247938
ACH-000070,-0.15211915958900002
ACH-000075,-0.158435876259
ACH-000078,-0.274898189757
ACH-000082,-0.311518537513
ACH-000085,-0.104992781535
ACH-000086,0.0274088598896
ACH-000087,-0.236010112562
ACH-000092,-0.168320766051
ACH-000095,-0.439184286678
ACH-000097,-0.272568925303
ACH-000098,-0.18879590199299998
ACH-000099,-0.133599776992
ACH-000108,0.00829919675726
ACH-000113,0.020839156400400002
ACH-000115,-0.184144277097
ACH-000116,-0.15063614604800002
ACH-000118,-0.009265144235139999
ACH-000120,-0.23826617649
ACH-000123,-0.195456362928
ACH-000127,-0.166401862843
ACH-000128,-0.107935191404
ACH-000132,-0.22850809870799998
ACH-000133,-0.21672012148000003
ACH-000137,0.013661081647299999
ACH-000138,0.0851271206679
ACH-000142,-0.20591564200100002
ACH-000143,-0.0504422331877
ACH-000146,-0.147769495191
ACH-000148,-0.147155597718
ACH-000150,-0.31085161965
ACH-000152,-0.14261773045099999
ACH-000153,-0.054744273177300004
ACH-000159,-0.0825442114663
ACH-000160,-0.108034351943
ACH-000163,-0.0611096779714
ACH-000167,-0.437872394304
ACH-000168,0.00492131818267
ACH-000169,-0.34103064555600004
ACH-000178,-0.153475764373
ACH-000182,-0.09680205067939998
ACH-000183,-0.062410400920400004
ACH-000188,-0.210966956202
ACH-000189,-0.047183355434
ACH-000190,-0.0685531032701
ACH-000198,-0.140026545695
ACH-000204,-0.11302316101399999
ACH-000206,-0.257917595516
ACH-000207,-0.198404253312
ACH-000211,-0.12062270372400001
ACH-000215,-0.141742945363
ACH-000221,-0.0362038475379
ACH-000222,0.0154947371721
ACH-000223,-0.153002206366
ACH-000226,-0.40783061063500003
ACH-000227,-0.213794367306
ACH-000228,-0.010992323508699999
ACH-000231,-0.110456309638
ACH-000232,0.00339072138086
ACH-000233,-0.211773126758
ACH-000234,-0.04874660534630001
ACH-000235,-0.18867537793900002
ACH-000237,-0.211801092024
ACH-000238,-0.180498262093
ACH-000243,-0.07514998105760001
ACH-000244,0.012855038276599999
ACH-000246,-0.0183336709457
ACH-000248,0.116968299113
ACH-000250,-0.133010898155
ACH-000251,-0.0133652954103
ACH-000253,-0.239631417667
ACH-000255,-0.0741889103079
ACH-000256,-0.0899333719448
ACH-000257,-0.179772817359
ACH-000258,-0.23288961174199999
ACH-000259,-0.17406444087200001
ACH-000260,-0.172266483333
ACH-000261,-0.132584909916
ACH-000262,-0.0579581287307
ACH-000263,-0.246363387131
ACH-000264,-0.0514548042733
ACH-000265,-0.08236245915189999
ACH-000266,-0.0687709664718
ACH-000272,-0.0967241424993
ACH-000273,-0.049902482381699996
ACH-000274,-0.043138870990500004
ACH-000277,-0.0500518033818
ACH-000278,-0.20622566726
ACH-000279,-0.152073389047
ACH-000280,-0.17201122968199997
ACH-000281,-0.0192895025776
ACH-000288,-0.234118324505
ACH-000291,-0.10953692444
ACH-000293,-0.13346385277
ACH-000294,-0.0985298180748
ACH-000295,0.37829212073299995
ACH-000296,-0.162360244685
ACH-000302,0.052100475645699994
ACH-000304,-0.14334731698699998
ACH-000307,-0.0647636217979
ACH-000308,-0.08823132748910001
ACH-000310,-0.48467769457800003
ACH-000311,0.0922655345814
ACH-000312,-0.107903507607
ACH-000315,-0.09877820595930001
ACH-000316,-0.285050116475
ACH-000317,-0.0435834477006
ACH-000318,-0.016527864125600002
ACH-000319,-0.14045841053
ACH-000320,-0.163132544005
ACH-000322,-0.226305386547
ACH-000323,-0.233475166367
ACH-000324,-0.27379437457199995
ACH-000329,-0.360642106184
ACH-000330,-0.0824037623492
ACH-000331,-0.19124029961599998
ACH-000332,-0.08388847810210001
ACH-000334,-0.27333744583299996
ACH-000335,-0.215067363429
ACH-000336,-0.224388055202
ACH-000337,-0.35727921324699996
ACH-000339,-0.15379417918299998
ACH-000341,-0.149888213799
ACH-000348,0.0166330721664
ACH-000350,-0.20638313660500002
ACH-000352,-0.219201084144
ACH-000356,-0.0356066393257
ACH-000361,0.0475219881046
ACH-000362,-0.22278666986900003
ACH-000363,-0.113647984496
ACH-000364,-0.0183293091105
ACH-000365,0.00813333934443
ACH-000366,-0.12265586075
ACH-000368,-0.34700638803000006
ACH-000374,-0.020643680544400002
ACH-000375,-0.07862209174889999
ACH-000376,0.021067250186200003
ACH-000381,-0.154191372335
ACH-000383,-0.145983844556
ACH-000387,-0.138991517387
ACH-000389,-0.189423718758
ACH-000390,-0.07066058543119999
ACH-000393,-0.0821841251873
ACH-000395,-0.0563599337316
ACH-000397,-0.199047636428
ACH-000401,-0.19600998415800003
ACH-000402,-0.195691068404
ACH-000403,-0.20877009787999998
ACH-000404,0.06794398914409999
ACH-000406,-0.131526358075
ACH-000407,-0.131422827069
ACH-000408,-0.00776169996827
ACH-000410,-0.108265204559
ACH-000411,-0.0730150276282
ACH-000414,-0.120214299815
ACH-000415,-0.16337758528899998
ACH-000416,-0.162401878352
ACH-000420,0.0158843235722
ACH-000421,-0.232066716275
ACH-000424,0.054233599147199996
ACH-000425,-0.0943472761052
ACH-000426,-0.11123286333900001
ACH-000427,-0.354450743222
ACH-000433,-0.0540225524276
ACH-000436,-0.136887314492
ACH-000444,0.057290517587
ACH-000445,-0.010044173464799999
ACH-000448,-0.0504898030629
ACH-000450,-0.25438790829
ACH-000452,-0.07086139711930001
ACH-000454,-0.220427236857
ACH-000458,-0.0547042223681
ACH-000459,-0.113834019186
ACH-000460,-0.333330730714
ACH-000461,-0.237802097672
ACH-000463,-0.125939150656
ACH-000464,-0.146207494307
ACH-000466,-0.208948237325
ACH-000467,-0.12032884667600001
ACH-000468,-0.265090689173
ACH-000469,-0.0733281098964
ACH-000470,-0.244653804908
ACH-000471,-0.208276531255
ACH-000472,-0.07319429278339999
ACH-000473,-0.29383753763099996
ACH-000475,-0.282251205561
ACH-000476,-0.276505231047
ACH-000477,0.0534574265876
ACH-000480,0.0153820208999
ACH-000481,-0.0982627681807
ACH-000483,-0.0615790929257
ACH-000484,0.11061854627
ACH-000485,-0.14727497822799998
ACH-000486,0.0077343825005000005
ACH-000487,-0.018632401673799998
ACH-000488,-0.31859795062
ACH-000490,-0.146702483672
ACH-000491,-0.031425838904400004
ACH-000495,-0.0012352508996600002
ACH-000496,-0.0957303730918
ACH-000499,-0.114096055752
ACH-000500,-0.44524482318499997
ACH-000502,-0.0571258436498
ACH-000503,0.0389217824646
ACH-000505,-0.324118098869
ACH-000507,-0.08722045927910001
ACH-000510,-0.00871147446583
ACH-000511,-0.109817783689
ACH-000512,0.102932378925
ACH-000516,-0.20833448022599999
ACH-000517,-0.23440413153200002
ACH-000518,-0.270497161883
ACH-000520,-0.387863929528
ACH-000521,-0.0278905862566
ACH-000522,-0.249067418569
ACH-000524,-0.383037197377
ACH-000527,-0.140662284055
ACH-000528,-0.169070227465
ACH-000537,-0.196845136318
ACH-000541,-0.027518261629400003
ACH-000542,-0.111911406579
ACH-000544,0.0581130094015
ACH-000545,-0.183145627293
ACH-000547,-0.0308177618158
ACH-000548,-0.33873311430200004
ACH-000549,-0.247015221732
ACH-000550,-0.303846068753
ACH-000552,-0.183810269879
ACH-000556,-0.410648516747
ACH-000557,-0.321704112073
ACH-000570,0.028075403751500003
ACH-000571,-0.0345578170161
ACH-000573,-0.09848391917379999
ACH-000576,-0.150102614273
ACH-000580,0.0451662084388
ACH-000584,-0.08873829795949999
ACH-000585,-0.120237198078
ACH-000588,-0.144411046997
ACH-000589,-0.132527388403
ACH-000591,-0.165981219473
ACH-000593,0.00313244266077
ACH-000600,-0.220072069579
ACH-000601,-0.10615393767
ACH-000604,-0.491487542033
ACH-000605,0.0244054073373
