,CDC37L1 (55664)
ACH-000004,-1.06486438743
ACH-000007,0.0212440337627
ACH-000009,-0.34564220823200004
ACH-000011,-0.23826015697099998
ACH-000012,-0.24255886723499998
ACH-000013,-0.0933885483858
ACH-000014,-0.0106466456195
ACH-000015,-0.150497441196
ACH-000017,-0.10111132807399999
ACH-000018,0.0721090744391
ACH-000019,-0.48766106952699995
ACH-000021,-0.078572938771
ACH-000022,0.015479590326200002
ACH-000025,-0.16870281072700002
ACH-000028,-0.198414284917
ACH-000030,-0.025624830620400003
ACH-000035,0.0905381871514
ACH-000036,-0.326962129431
ACH-000037,-0.152659625758
ACH-000039,-0.0259249358543
ACH-000040,-0.187630726729
ACH-000041,-0.023923247524799997
ACH-000042,-0.106560800768
ACH-000045,-0.04621404039609999
ACH-000047,-0.10964293570599999
ACH-000052,0.19440006316
ACH-000053,-0.180216155918
ACH-000054,-0.387339180535
ACH-000055,-0.236732708596
ACH-000060,-0.213646562496
ACH-000067,0.0233637419116
ACH-000070,-0.153610878158
ACH-000075,-0.238807902867
ACH-000078,-0.25679046302299996
ACH-000082,-0.0777006798047
ACH-000085,-0.45136187907799996
ACH-000086,-0.16269100313100002
ACH-000087,-0.233404110501
ACH-000092,-0.049294820122999995
ACH-000095,-0.248691325887
ACH-000097,-0.0108896172089
ACH-000098,-0.145079555279
ACH-000099,-0.147977611393
ACH-000108,-0.00065843855445
ACH-000113,-0.17050917688499997
ACH-000115,-0.05697042598069999
ACH-000116,-0.021890556742599997
ACH-000118,-0.0654627840951
ACH-000120,-0.012616562201700002
ACH-000123,-0.152963721292
ACH-000127,0.100368173235
ACH-000128,0.0662407821521
ACH-000132,-0.40139458505099995
ACH-000133,-0.22900661699000002
ACH-000137,-0.09438415238510002
ACH-000138,-0.155452174283
ACH-000142,0.00325403951197
ACH-000143,0.044307438482499996
ACH-000146,-0.24388530915399997
ACH-000148,-0.159494073878
ACH-000150,0.040844951355499995
ACH-000152,-0.11834773343800001
ACH-000153,-0.17238805566399998
ACH-000159,-0.237932559133
ACH-000160,0.007172222179630001
ACH-000163,-0.148731292008
ACH-000167,-0.036284837127
ACH-000168,-0.129008000281
ACH-000169,-0.174744830747
ACH-000178,-0.0180930085478
ACH-000182,-0.10658942067800001
ACH-000183,0.0108947910249
ACH-000188,-0.149935522034
ACH-000189,-0.46076989218099995
ACH-000190,-0.30469132635
ACH-000198,-0.11599662982100001
ACH-000204,-0.211109628608
ACH-000206,-0.379998873019
ACH-000207,-0.102469981136
ACH-000211,-0.323950488537
ACH-000215,-0.139395899593
ACH-000221,-0.156750897447
ACH-000222,0.00652122279886
ACH-000223,-0.162548347645
ACH-000226,-0.012365359321999999
ACH-000227,0.0113026160423
ACH-000228,-0.155444098277
ACH-000231,-0.09262531241769999
ACH-000232,-0.193115790968
ACH-000233,-0.0253267265784
ACH-000234,-0.022035148352
ACH-000235,-0.20132424293099999
ACH-000237,-0.188253009866
ACH-000238,-0.0419432911058
ACH-000243,-0.0948938939343
ACH-000244,0.004383221581979999
ACH-000246,-0.313412315617
ACH-000248,-0.07957813712430001
ACH-000250,-0.123635609388
ACH-000251,-0.024869601454599998
ACH-000253,-0.0313338622431
ACH-000255,-0.0392414215448
ACH-000256,-0.242025842251
ACH-000257,-0.234463623402
ACH-000258,-0.134560843994
ACH-000259,-0.15512562566500002
ACH-000260,-0.0762247866583
ACH-000261,-0.12879327852800002
ACH-000262,-0.202511627547
ACH-000263,-0.267889571246
ACH-000264,-0.0427072679745
ACH-000265,-0.204856291395
ACH-000266,-0.116770070337
ACH-000272,-0.376545350005
ACH-000273,-0.0933299989006
ACH-000274,-0.23657973633999999
ACH-000277,-0.07507965209310001
ACH-000278,-0.220081167439
ACH-000279,-0.14552840183000001
ACH-000280,-0.0631433736101
ACH-000281,0.17230424208200001
ACH-000288,-0.0652184871552
ACH-000291,-0.166599016511
ACH-000293,-0.34918329324600006
ACH-000294,0.0369561766949
ACH-000295,-0.129585732615
ACH-000296,0.09398062934239998
ACH-000302,-0.0645168941295
ACH-000304,-0.442247085041
ACH-000307,-0.053682358657
ACH-000308,-0.0414289936713
ACH-000310,-0.271850746676
ACH-000311,-0.0113026300215
ACH-000312,-0.126239663868
ACH-000315,0.19749513452599998
ACH-000316,-0.144130037708
ACH-000317,-0.0692837467375
ACH-000318,-0.194436115461
ACH-000319,-0.0717310350232
