,PRR20A (122183)
ACH-000004,0.412703495555
ACH-000007,-0.21355307513900001
ACH-000009,0.686825787126
ACH-000011,0.292149415017
ACH-000012,0.202421300815
ACH-000013,0.167468804404
ACH-000014,0.40124173261699997
ACH-000015,0.31174427282
ACH-000017,0.4997638913600001
ACH-000018,0.311662675043
ACH-000019,0.269808714146
ACH-000021,0.37747511170000003
ACH-000022,0.7919218801219999
ACH-000025,0.348180997811
ACH-000028,0.31280447846500004
ACH-000030,0.46548065208000006
ACH-000035,0.703092228282
ACH-000036,0.18686964377300003
ACH-000037,0.026939811209599998
ACH-000039,0.37278506295
ACH-000040,0.40177627660899995
ACH-000041,0.538291801334
ACH-000042,0.37036058968
ACH-000045,0.363690460393
ACH-000047,0.379375173142
ACH-000052,0.317782993623
ACH-000053,0.18052209731199997
ACH-000054,0.180759301088
ACH-000055,0.368413530486
ACH-000060,0.246021999622
ACH-000067,0.114198800026
ACH-000070,0.0483131053941
ACH-000075,0.397996574361
ACH-000078,-0.0889060717205
ACH-000082,0.515167243371
ACH-000085,0.151152096928
ACH-000086,0.22538854950399997
ACH-000087,0.262108431368
ACH-000092,-0.0798731502515
ACH-000095,0.194572219782
ACH-000097,0.267435813926
ACH-000098,0.431027818667
ACH-000099,0.14793846004
ACH-000108,0.183229139417
ACH-000113,0.10474853977700001
ACH-000115,-0.00196582451882
ACH-000116,0.11993458435399999
ACH-000118,0.366314259872
ACH-000120,0.180704423939
ACH-000123,0.38486786751999996
ACH-000127,0.168631651769
ACH-000128,0.40718124894599994
ACH-000132,0.335105102709
ACH-000133,0.34468990193300003
ACH-000137,0.546904516035
ACH-000138,0.32433221357500003
ACH-000142,0.137857802124
ACH-000143,0.279317974632
ACH-000146,0.511293017105
ACH-000148,0.260595517645
ACH-000150,0.129594329007
ACH-000152,-0.18187583384300002
ACH-000153,0.343949621327
ACH-000159,-0.0814768870616
ACH-000160,1.0947590697299998
ACH-000163,0.188791805575
ACH-000167,-0.0933585440907
ACH-000168,0.192490471659
ACH-000169,0.117431870626
