,PPP2R2B (5521)
ACH-000004,0.17175107529199998
ACH-000007,0.0984360342657
ACH-000009,0.0799393442492
ACH-000011,0.179251542304
ACH-000012,0.054381333999800004
ACH-000013,0.11914369959200001
ACH-000014,0.0898868910589
ACH-000015,-0.0215542485285
ACH-000017,0.0328549847235
ACH-000018,0.08519197132789999
ACH-000019,0.17401099316799998
ACH-000021,0.123491671753
ACH-000022,0.014756681583799999
ACH-000025,0.185519264361
ACH-000028,0.119613857397
ACH-000030,0.0884935075074
ACH-000035,0.0166536293415
ACH-000036,0.226612699496
ACH-000037,0.0159400571186
ACH-000039,-0.00274612353353
ACH-000040,0.09109916410569999
ACH-000041,-0.0901780171074
ACH-000042,0.07347036966860002
ACH-000045,0.09332686825369998
ACH-000047,0.028033243371
ACH-000052,-0.0157440550196
ACH-000053,0.377488478556
ACH-000054,0.111276757254
ACH-000055,0.0492168257639
ACH-000060,0.0697774692158
ACH-000067,0.0631715596043
ACH-000070,-0.0495842907433
ACH-000075,-0.0048813511326400005
ACH-000078,0.23457632844999998
ACH-000082,-0.0136955282317
ACH-000085,0.00823376435577
ACH-000086,0.0352910292696
ACH-000087,0.366848212882
ACH-000092,0.12179461303
ACH-000095,0.162535937397
ACH-000097,0.12114352342800001
ACH-000098,0.11441684737800001
ACH-000099,0.013872671387399999
ACH-000108,0.130541316262
ACH-000113,0.141621028954
ACH-000115,0.0263804182204
ACH-000116,0.163390658872
ACH-000118,0.139228224429
ACH-000120,-0.0038449324959200005
ACH-000123,0.132242458808
ACH-000127,0.09755721496559999
ACH-000128,0.0210920744348
ACH-000132,0.14033725893100002
ACH-000133,-0.015857650982600002
ACH-000137,0.0128756289605
ACH-000138,0.164330591231
ACH-000142,0.05879779080130001
ACH-000143,0.0590476092035
ACH-000146,0.035969161089900004
ACH-000148,0.0873714119042
ACH-000150,-0.152772433563
ACH-000152,-0.027598615197200003
ACH-000153,0.119983824285
ACH-000159,0.117220060628
ACH-000160,0.15579306212000002
ACH-000163,0.191759649594
ACH-000167,0.149382618046
ACH-000168,0.141439034932
ACH-000169,0.0633295926525
ACH-000178,0.00739554562103
ACH-000182,0.0239350576854
ACH-000183,0.118048613967
ACH-000188,0.162089031502
ACH-000189,0.155287610301
ACH-000190,-0.17510600513500002
ACH-000198,0.0579616030185
ACH-000204,-0.018339290653200002
ACH-000206,0.18093044303300002
ACH-000207,0.139942350468
ACH-000211,0.164700230506
ACH-000215,0.032929270155
ACH-000221,0.014386438727799999
ACH-000222,0.11691133172599999
ACH-000223,0.150827266937
ACH-000226,0.09181659647330001
ACH-000227,0.0746866974937
ACH-000228,0.0692282754022
ACH-000231,0.026036280567400004
ACH-000232,0.020751834532900002
ACH-000233,0.132292113692
ACH-000234,0.141639109115
ACH-000235,0.102795927843
ACH-000237,0.09383947679610001
ACH-000238,0.0317026906214
ACH-000243,0.209940571651
