,H2AFJ (55766)
ACH-000004,-0.370837173108
ACH-000007,-0.281792765241
ACH-000009,-0.180968675501
ACH-000011,-0.153802181716
ACH-000012,-0.024992560797599997
ACH-000013,-0.09019928149939999
ACH-000014,-0.19255962333
ACH-000015,-0.12243328112299999
ACH-000017,-0.19459936498799998
ACH-000018,-0.0664187537134
ACH-000019,-0.07463185682639999
ACH-000021,-0.153242145612
ACH-000022,-0.168618565872
ACH-000025,-0.28669642858800004
ACH-000028,-0.149760046064
ACH-000030,-0.169000548187
ACH-000035,-0.194072887096
ACH-000036,-0.24486218296599999
ACH-000037,-0.382954522456
ACH-000039,-0.09718210131480001
ACH-000040,-0.154147440622
ACH-000041,-0.214199490966
ACH-000042,-0.0664529617863
ACH-000045,-0.317641909162
ACH-000047,-0.166229220878
ACH-000052,-0.325608117263
ACH-000053,-0.261020840547
ACH-000054,-0.21678692271699998
ACH-000055,-0.0797825306558
ACH-000060,-0.242518212491
ACH-000067,-0.14754427212000001
ACH-000070,-0.317300459951
ACH-000075,0.0182758698293
ACH-000078,-0.16640486452199998
ACH-000082,-0.303680438461
ACH-000085,-0.0882046259192
ACH-000086,-0.171184921824
ACH-000087,-0.63660391015
ACH-000092,-0.16006161789999998
ACH-000095,-0.42320020336999997
ACH-000097,-0.275050500694
ACH-000098,-0.272166490378
ACH-000099,-0.0121056843787
ACH-000108,0.030005745101900003
ACH-000113,-0.230262976503
ACH-000115,-0.450936775771
ACH-000116,-0.201597106174
ACH-000118,-0.0827283195929
ACH-000120,-0.17049807688700003
ACH-000123,-0.191310845936
ACH-000127,-0.103526591426
ACH-000128,-0.018198373022700002
ACH-000132,0.011847646891700002
ACH-000133,-0.25964722340199997
ACH-000137,-0.328017749116
ACH-000138,-0.201476311399
ACH-000142,-0.0749417376469
ACH-000143,-0.173759422983
ACH-000146,-0.19303629612999998
ACH-000148,-0.208524888078
ACH-000150,-0.17504930194
ACH-000152,-0.07621730929489999
ACH-000153,-0.257997387423
ACH-000159,-0.122876760174
ACH-000160,-0.235003354113
ACH-000163,-0.178591668143
ACH-000167,-0.0706886332981
ACH-000168,-0.135776310786
ACH-000169,-0.315139290256
ACH-000178,-0.0773355580415
ACH-000182,-0.162737808825
ACH-000183,-0.16328717367599999
ACH-000188,-0.1999118525
ACH-000189,-0.34369553487800003
ACH-000190,-0.108503846094
ACH-000198,-0.275403961365
ACH-000204,-0.148109462696
ACH-000206,-0.19651184602000002
ACH-000207,-0.17451175332000002
ACH-000211,-0.191650897286
ACH-000215,-0.386089787508
ACH-000221,-0.162655443874
ACH-000222,-0.108823050133
ACH-000223,-0.435531487055
ACH-000226,-0.253491518474
ACH-000227,-0.133206549295
ACH-000228,-0.119133553588
ACH-000231,-0.300489185614
ACH-000232,-0.283678952539
ACH-000233,-0.180285164291
ACH-000234,-0.0313899345609
ACH-000235,-0.235433945988
ACH-000237,-0.304139419269
ACH-000238,-0.21255734219900002
ACH-000243,0.0165272926795
ACH-000244,-0.309771409542
ACH-000246,-0.178301728571
ACH-000248,-0.19166244129999999
ACH-000250,-0.21367939716200002
ACH-000251,-0.44307547570600003
ACH-000253,-0.12396769173800001
ACH-000255,-0.260746635254
ACH-000256,-0.187894196195
ACH-000257,-0.28154865375300003
ACH-000258,-0.275818249223
ACH-000259,-0.193232910542
ACH-000260,-0.162634861785
ACH-000261,-0.28892712472
ACH-000262,-0.07809457590810001
ACH-000263,-0.14173060149299999
ACH-000264,-0.250618901399
ACH-000265,-0.042986402481399996
ACH-000266,-0.0732022744305
ACH-000272,-0.311206523393
ACH-000273,-0.39263094334799997
ACH-000274,-0.261299903342
ACH-000277,-0.22215067290999999
ACH-000278,-0.372989838728
ACH-000279,-0.418092599005
ACH-000280,-0.059665284024199995
ACH-000281,-0.09055614941239999
ACH-000288,-0.0577013785772
ACH-000291,-0.056942200946899994
ACH-000293,0.0105734745083
ACH-000294,-0.301778699777
ACH-000295,-0.512737715742
ACH-000296,-0.153784226437
ACH-000302,-0.0956654659883
ACH-000304,-0.12228483057
ACH-000307,-0.268456706849
ACH-000308,-0.171989362647
ACH-000310,-0.289433059497
ACH-000311,-0.31778912891
ACH-000312,-0.0919508151942
ACH-000315,-0.0369326498164
ACH-000316,-0.23434661982299998
ACH-000317,-0.40403845509400005
ACH-000318,-0.19519615800299997
ACH-000319,-0.270504539025
ACH-000320,0.108368568989
ACH-000322,-0.277693565906
ACH-000323,-0.0425633410489
ACH-000324,-0.181075894188
ACH-000329,-0.270398740449
ACH-000330,-0.173341550708
ACH-000331,-0.12905638275599998
ACH-000332,-0.20347205589899997
ACH-000334,-0.00740154996479
ACH-000335,-0.45665095056500005
ACH-000336,-0.281973991953
ACH-000337,-0.230861195354
ACH-000339,-0.195131205713
ACH-000341,-0.199679000357
ACH-000348,-0.185968672406
ACH-000350,-0.0526397947475
ACH-000352,-0.09522709162990001
ACH-000356,-0.39900406049000003
ACH-000361,-0.0246982169404
ACH-000362,-0.20721665763099997
ACH-000363,-0.0727723493883
ACH-000364,-0.12168055502599999
ACH-000365,-0.17538406198800002
ACH-000366,-0.129219793188
ACH-000368,-0.16573258568399998
ACH-000374,-0.343972387244
ACH-000375,-0.0674747270302
ACH-000376,-0.20602184755199998
ACH-000381,-0.30170705670000003
ACH-000383,-0.18674356865400002
ACH-000387,-0.11367627217
ACH-000389,-0.11142387989800001
ACH-000390,-0.254770558917
ACH-000393,-0.232576651379
ACH-000395,-0.0426653306365
ACH-000397,-0.0685282532426
ACH-000401,-0.323995728501
ACH-000402,-0.173559875594
ACH-000403,-0.403615152215
ACH-000404,-0.27312439693
ACH-000406,-0.218033295928
ACH-000407,-0.257210736027
ACH-000408,-0.263150964
