,GTF2IRD2 (84163)
ACH-000004,-0.14279755321499998
ACH-000007,-0.39707566594300003
ACH-000009,-0.164204898407
ACH-000011,-0.121188748435
ACH-000012,-0.323368154535
ACH-000013,-0.158499130127
ACH-000014,-0.36695333040399997
ACH-000015,-0.145526834498
ACH-000017,0.0894580709085
ACH-000018,-0.34353972145000006
ACH-000019,0.0642340604744
ACH-000021,-0.651348232328
ACH-000022,-0.27721412823
ACH-000025,-0.254872010554
ACH-000028,-0.0917529015292
ACH-000030,-0.145993364562
ACH-000035,-0.260318953483
ACH-000036,-0.464394561382
ACH-000037,-0.24332299686
ACH-000039,-0.464970011411
ACH-000040,-0.278244063185
ACH-000041,-0.30729006875
ACH-000042,-0.20320587048500002
ACH-000045,-0.20793802978
ACH-000047,-0.18243435884700002
ACH-000052,-0.43029472301000005
ACH-000053,-0.421165283474
ACH-000054,-0.30204000824
ACH-000055,-0.471300401017
ACH-000060,-0.166434255448
ACH-000067,-0.458508131693
ACH-000070,0.09241648745610001
ACH-000075,-0.413985674877
ACH-000078,-0.48869970966000004
ACH-000082,-0.166354163365
ACH-000085,-0.096300586457
ACH-000086,0.018237065081
ACH-000087,-0.028586307073
ACH-000092,-0.0332209349706
ACH-000095,-0.145331896604
ACH-000097,-0.368357068051
ACH-000098,-0.167870224831
ACH-000099,-0.19516675327100003
ACH-000108,-0.343252800251
ACH-000113,-0.160177088901
ACH-000115,0.06480104703890001
ACH-000116,-0.127416478163
ACH-000118,-0.19285627512000003
ACH-000120,-0.18360709878400003
ACH-000123,-0.28755284025
ACH-000127,-0.319235761084
ACH-000128,-0.275288948886
ACH-000132,-0.049865441342500004
ACH-000133,-0.05104306710030001
ACH-000137,-0.373335876796
ACH-000138,-0.211948962515
ACH-000142,-0.30120998735800003
ACH-000143,-0.0998128464528
ACH-000146,-0.406753741778
ACH-000148,-0.20809084907900002
ACH-000150,0.122323137162
ACH-000152,-0.38541249252
ACH-000153,-0.684404126291
ACH-000159,-0.277454583967
ACH-000160,-0.258104538079
ACH-000163,-0.357658431427
ACH-000167,-0.40581032764499997
ACH-000168,-0.352004133934
ACH-000169,-0.307166082396
ACH-000178,-0.149718744504
ACH-000182,-0.274400409331
ACH-000183,0.0206032018248
ACH-000188,-0.355301631342
ACH-000189,-0.574823245801
ACH-000190,-0.0304332793908
ACH-000198,-0.0363578296393
ACH-000204,-0.303210711998
ACH-000206,0.138344710431
ACH-000207,-0.174266582171
ACH-000211,-0.263005059969
ACH-000215,-0.13827612235700001
ACH-000221,-0.504495749225
ACH-000222,-0.398761842826
ACH-000223,-0.20061992177000001
ACH-000226,0.037982797726500005
ACH-000227,0.0193064869293
ACH-000228,-0.183429605112
ACH-000231,-0.37643100514100003
ACH-000232,-0.206994345476
ACH-000233,-0.129547716171
ACH-000234,-0.08787562784089999
ACH-000235,-0.234036652583
ACH-000237,-0.399057598948
ACH-000238,-0.243813778657
ACH-000243,-0.335392749253
ACH-000244,-0.286080993361
ACH-000246,-0.140549978972
ACH-000248,-0.252494056935
ACH-000250,-0.11846518095200001
ACH-000251,0.224384431701
ACH-000253,-0.39281645499300005
ACH-000255,-0.249651095284
ACH-000256,-0.14227885064200002
ACH-000257,0.0514750679093
ACH-000258,-0.274778084898
ACH-000259,-0.27263250999099997
ACH-000260,-0.147335816597
ACH-000261,-0.144386124541
ACH-000262,-0.569677823608
ACH-000263,-0.34178307255199997
ACH-000264,-0.321498951632
ACH-000265,-0.050581352329599996
ACH-000266,-0.235116850057
ACH-000272,-0.23408908939800002
ACH-000273,-0.264748980901
ACH-000274,-0.117207305234
ACH-000277,-0.11981299316400001
ACH-000278,-0.240243213876
ACH-000279,-0.369615838343
