,GDI2 (2665)
ACH-000004,-0.587453586455
ACH-000007,-0.424668117968
ACH-000009,-0.44878351586599996
ACH-000011,-0.282439446742
ACH-000012,-0.10988947214299999
ACH-000013,-0.477680301747
ACH-000014,-0.164074522599
ACH-000015,-0.377716293045
ACH-000017,-0.337886288513
ACH-000018,-0.165151835212
ACH-000019,0.00108841789403
ACH-000021,-0.335377705081
ACH-000022,-0.586010321378
ACH-000025,-0.44117214498499996
ACH-000028,-0.27321540129599997
ACH-000030,-0.39850758965800004
ACH-000035,-1.03515782596
ACH-000036,-0.553377999969
ACH-000037,-0.13629780178
ACH-000039,-0.0815039452207
ACH-000040,-0.584181198578
ACH-000041,-0.109226328772
ACH-000042,-0.24624732080400002
ACH-000045,-0.24114987188499998
ACH-000047,-0.24931290564
ACH-000052,-0.252593958073
ACH-000053,-0.258209662507
ACH-000054,-0.0603083177427
ACH-000055,0.0148504030558
ACH-000060,-0.410563710149
ACH-000067,-0.0320794523163
ACH-000070,-0.605602091633
ACH-000075,-0.020643196629700003
ACH-000078,-0.145208618556
ACH-000082,-0.10465637842900001
ACH-000085,-0.575175458264
ACH-000086,-0.105458805681
ACH-000087,-0.11364783589000002
ACH-000092,-0.435341685691
ACH-000095,-0.273211428832
ACH-000097,-0.0518366200258
ACH-000098,-0.249384238862
ACH-000099,-0.22484333145799998
ACH-000108,-0.799539597006
ACH-000113,-0.39021005749399995
ACH-000115,-0.206669103981
ACH-000116,-0.360326142883
ACH-000118,-0.08907205842520001
ACH-000120,-0.427124389241
ACH-000123,-0.322547832203
ACH-000127,-0.383066362891
ACH-000128,0.17782265178399997
ACH-000132,0.0262486426039
ACH-000133,-0.35285701824500004
ACH-000137,-0.0792435315728
ACH-000138,-0.287011400335
ACH-000142,-0.409155751051
ACH-000143,-0.216245669715
ACH-000146,-0.422623378469
ACH-000148,-0.539508066404
ACH-000150,-0.297208048321
ACH-000152,-0.140588716688
ACH-000153,-0.12786681808800002
ACH-000159,-0.104864317983
ACH-000160,-0.197467454905
ACH-000163,-0.37785581002499996
ACH-000167,-0.403982920712
ACH-000168,-0.449771813749
ACH-000169,-0.40925500958800004
ACH-000178,-0.215392672766
ACH-000182,0.0181702533664
ACH-000183,-0.10228233844000001
ACH-000188,-0.577775375526
ACH-000189,-0.267740022543
ACH-000190,-0.36639510679399995
ACH-000198,-0.23452167526099998
ACH-000204,-0.20618819832899998
ACH-000206,-0.36867648044699997
ACH-000207,-0.56667809248
ACH-000211,-0.330974444434
ACH-000215,-0.282529249969
ACH-000221,-0.18964277140900002
ACH-000222,-0.406245505895
ACH-000223,-0.434065859119
ACH-000226,-0.043473803631800007
ACH-000227,-0.34525379728699995
ACH-000228,-0.327368054076
ACH-000231,-0.0604787039525
ACH-000232,-0.24001844702199998
ACH-000233,-0.393118806571
ACH-000234,-0.322344457764
ACH-000235,-0.20790432651500002
ACH-000237,-0.6860582130030001
ACH-000238,-0.108697795539
ACH-000243,-0.253331242251
ACH-000244,0.0254282864371
ACH-000246,-0.142957101428
ACH-000248,-0.225014841118
ACH-000250,-0.227923473578
ACH-000251,-0.0652320766397
ACH-000253,-0.17538483054499998
ACH-000255,-0.12336177354599999
ACH-000256,-0.256004196607
ACH-000257,-0.26753739524
ACH-000258,0.0049883007764700005
ACH-000259,-0.309048988751
ACH-000260,-0.0670993227689
ACH-000261,-0.322406479824
ACH-000262,-0.241591421349
ACH-000263,-0.106712974982
ACH-000264,-0.275347547737
ACH-000265,-0.0657415622587
ACH-000266,-0.42177800457099995
ACH-000272,-0.25224678477400003
ACH-000273,-0.232498412714
ACH-000274,-0.040218581621400004
ACH-000277,-0.33189140645599996
ACH-000278,-0.295143781501
ACH-000279,-0.170287338328
ACH-000280,-0.420217394909
ACH-000281,-0.321666098302
ACH-000288,-0.240573766404
ACH-000291,0.0194630547157
ACH-000293,-0.09286922174119999
ACH-000294,-0.966146724302
ACH-000295,-0.8147236119050001
ACH-000296,-0.584839992997
ACH-000302,-0.42051641269199996
ACH-000304,0.0427496369062
ACH-000307,-0.249547370489
ACH-000308,-0.14267532542199998
ACH-000310,-0.186609623259
ACH-000311,-0.267276159836
ACH-000312,-0.20709419651500002
ACH-000315,-0.294581649089
ACH-000316,-0.11907663478599999
ACH-000317,-0.1502885733
ACH-000318,-0.450371563139
ACH-000319,-0.05189449712
ACH-000320,-0.401846011091
ACH-000322,-0.100248701206
ACH-000323,-0.13968639957
ACH-000324,-0.167771869873
ACH-000329,-0.11892079171700001
ACH-000330,-0.20995594089400002
ACH-000331,-0.454333081301
ACH-000332,-0.599393568445
ACH-000334,-0.43641722565499996
ACH-000335,-0.254070924004
ACH-000336,-0.014379256587
ACH-000337,-0.15596603236099998
ACH-000339,-0.10372723660800001
ACH-000341,0.143810924124
