,GSTT2B (653689)
ACH-000004,-0.6738002795370001
ACH-000007,-0.59205758544
ACH-000009,-0.646699916841
ACH-000011,-0.651342609369
ACH-000012,-0.709440055465
ACH-000013,-0.534082749163
ACH-000014,-0.6861991568089999
ACH-000015,-0.7312367213840001
ACH-000017,-0.805795659566
ACH-000018,-0.851632889197
ACH-000019,-0.645712315159
ACH-000021,-0.627494871428
ACH-000022,-0.583219272851
ACH-000025,-0.7847440467260001
ACH-000028,-0.704558284674
ACH-000030,-0.640839414974
ACH-000035,-0.57801535226
ACH-000036,-0.58906254685
ACH-000037,-0.579011005236
ACH-000039,-0.5529809494669999
ACH-000040,-0.6369710057329999
ACH-000041,-0.633196770395
ACH-000042,-0.878237825581
ACH-000045,-0.55029703693
ACH-000047,-0.665045180085
ACH-000052,-0.675023333753
ACH-000053,-0.479715916416
ACH-000054,-0.559732564071
ACH-000055,-1.0484220870299998
ACH-000060,-0.700763654237
ACH-000067,-0.7289909455210001
ACH-000070,-0.706820395274
ACH-000075,-0.646207792301
ACH-000078,-0.7950920150399999
ACH-000082,-0.462412403829
ACH-000085,-0.550171408047
ACH-000086,-0.520762966525
ACH-000087,-0.794644573461
ACH-000092,-0.7152189168950001
ACH-000095,-0.546454632362
ACH-000097,-0.571301116309
ACH-000098,-0.7377906213709999
ACH-000099,-0.512640003023
ACH-000108,-0.617351795037
ACH-000113,-0.602140133915
ACH-000115,-0.678740606735
ACH-000116,-0.534879200664
ACH-000118,-0.642705737472
ACH-000120,-0.7025414402619999
ACH-000123,-0.530656805483
ACH-000127,-0.515374075621
ACH-000128,-0.545923297767
ACH-000132,-0.573577495305
ACH-000133,-0.611625357084
ACH-000137,-0.751208926971
ACH-000138,-0.498132519776
ACH-000142,-0.495454610338
ACH-000143,-0.644117080182
ACH-000146,-0.7037751289990001
ACH-000148,-0.474047727802
ACH-000150,-0.8142423825149999
ACH-000152,-0.753362529095
ACH-000153,-0.6330904395629999
ACH-000159,-0.373097365317
ACH-000160,-0.569883136289
ACH-000163,-0.611343681752
ACH-000167,-0.669207301153
ACH-000168,-0.556607512364
ACH-000169,-0.604546387116
ACH-000178,-0.564927881372
ACH-000182,-0.512519247751
ACH-000183,-0.748017169429
ACH-000188,-0.617524864073
ACH-000189,-0.729188370968
ACH-000190,-0.634196158792
ACH-000198,-0.48961294110299997
ACH-000204,-0.7729812663050001
ACH-000206,-0.45326984575900003
ACH-000207,-0.593469536202
ACH-000211,-0.556467071972
ACH-000215,-0.60196676846
ACH-000221,-0.699884900178
ACH-000222,-0.861682416037
ACH-000223,-0.6963233282369999
ACH-000226,-0.691417808851
ACH-000227,-0.32160168125599997
ACH-000228,-0.631562956178
ACH-000231,-0.862094217371
ACH-000232,-0.61451398913
ACH-000233,-0.529890706539
ACH-000234,-0.342641960816
ACH-000235,-0.5415823671760001
ACH-000237,-0.8824874302590001
ACH-000238,-0.7020707673090001
ACH-000243,-0.557849992631
ACH-000244,-0.5614662065179999
ACH-000246,-0.520850234314
ACH-000248,-0.599534380246
ACH-000250,-0.585737291671
ACH-000251,-0.597881601188
ACH-000253,-0.36288591693800004
ACH-000255,-0.693920980229
ACH-000256,-0.6629084107159999
ACH-000257,-0.637655314511
ACH-000258,-0.458630834612
ACH-000259,-0.514102838746
ACH-000260,-0.688178674947
ACH-000261,-0.563491412488
ACH-000262,-0.566224950825
ACH-000263,-0.450566935027
ACH-000264,-0.664671399238
ACH-000265,-0.762569349393
ACH-000266,-0.559633954876
ACH-000272,-0.641916988175
ACH-000273,-0.705453897305
ACH-000274,-0.595132846855
ACH-000277,-0.443977352145
ACH-000278,-0.709926161065
ACH-000279,-0.649423909721
ACH-000280,-0.792382643708
ACH-000281,-0.405418414067
ACH-000288,-0.622241782316
ACH-000291,-0.642884415529
ACH-000293,-0.669796258209
ACH-000294,-0.488328134725
ACH-000295,-0.551208993273
ACH-000296,-0.910071239323
ACH-000302,-0.8188279326469999
ACH-000304,-0.786135198857
ACH-000307,-0.42855691870800006
ACH-000308,-0.656979346475
ACH-000310,-0.303506043098
ACH-000311,-0.6348109144740001
ACH-000312,-0.638561127612
ACH-000315,-0.740229050368
ACH-000316,-0.577738071955
ACH-000317,-0.42307900888899996
ACH-000318,-0.521141696001
ACH-000319,-0.881867543785
ACH-000320,-0.715520091901
ACH-000322,-0.6516566029640001
ACH-000323,-0.8808774732369999
ACH-000324,-0.542073470813
ACH-000329,-0.646046183137
ACH-000330,-0.6268924695929999
ACH-000331,-0.432713433537
ACH-000332,-0.5144005742100001
ACH-000334,-0.5961103341749999
ACH-000335,-0.906785746778
ACH-000336,-0.6189279641300001
ACH-000337,-0.7008846744380001
ACH-000339,-0.627465203545
ACH-000341,-0.849818420246
ACH-000348,-0.6244206244089999
ACH-000350,-0.694734884525
ACH-000352,-0.549061786485
ACH-000356,-0.46029789151199996
ACH-000361,-0.647525558928
ACH-000362,-0.429623819661
ACH-000363,-0.561949286966
ACH-000364,-0.475306450581
ACH-000365,-0.521050961314
ACH-000366,-0.590267224165
ACH-000368,-0.7335895628219999
ACH-000374,-0.498298015402
ACH-000375,-0.557951226097
ACH-000376,-0.6392090883780001
ACH-000381,-0.602208072553
ACH-000383,-0.469663605295
ACH-000387,-0.486904196726
ACH-000389,-0.54056403201
ACH-000390,-0.5504333443280001
ACH-000393,-0.6971176337970001
ACH-000395,-0.861066654776
ACH-000397,-0.697822171435
ACH-000401,-0.7811472173019999
ACH-000402,-0.516841314659
ACH-000403,-0.762889245926
ACH-000404,-0.761253510633
ACH-000406,-0.495094625189
ACH-000407,-0.502122497437
ACH-000408,-0.464910862552
ACH-000410,-0.512713363678
ACH-000411,-0.5467628939729999
ACH-000414,-0.446280716502
ACH-000415,-0.511433853645
ACH-000416,-0.515394789311
ACH-000420,-0.7169194831129999
ACH-000421,-0.686342436207
ACH-000424,-0.515089566875
ACH-000425,-0.611389990798
ACH-000426,-0.654804633166
ACH-000427,-0.391091655835
ACH-000433,-0.926390742705
ACH-000436,-0.645628079685
ACH-000444,-0.668224394387
ACH-000445,-0.456762970112
ACH-000448,-0.694225093261
ACH-000450,-0.535713264539
ACH-000452,-0.6548929650349999
ACH-000454,-0.725322676023
ACH-000458,-0.658528008051
ACH-000459,-0.575943525744
ACH-000460,-0.646193307277
ACH-000461,-0.6880826113799999
ACH-000463,-0.514283038222
ACH-000464,-0.470866058828
ACH-000466,-0.505145396324
ACH-000467,-0.542898030875
ACH-000468,-0.5985439863359999
ACH-000469,-0.600346008425
ACH-000470,-0.6485095016960001
ACH-000471,-0.649739094993
ACH-000472,-0.49498562824299996
ACH-000473,-0.650399595197
ACH-000475,-0.5978662214
ACH-000476,-0.560937446579
ACH-000477,-0.8652698768829999
ACH-000480,-0.662067301464
ACH-000481,-0.492051427601
ACH-000483,-0.633381057329
ACH-000484,-0.528641902149
ACH-000485,-0.572305724181
ACH-000486,-0.7042230814910001
ACH-000487,-0.49631967055799997
ACH-000488,-0.6606012895660001
ACH-000490,-0.626744408647
ACH-000491,-0.669088298408
ACH-000495,-0.461393011149
ACH-000496,-0.606132677118
ACH-000499,-0.766135230539
ACH-000500,-0.511159423625
ACH-000502,-0.653683314227
ACH-000503,-0.9140812786210001
ACH-000505,-0.603378388039
ACH-000507,-0.658185653897
ACH-000510,-0.739269726681
ACH-000511,-0.762010736397
ACH-000512,-0.7117129296510001
ACH-000516,-0.567819569885
ACH-000517,-0.6248538013430001
ACH-000518,-0.7057592478020001
ACH-000520,-0.578276697881
ACH-000521,-0.5684078849199999
ACH-000522,-0.47109152816699995
ACH-000524,-0.517468140753
ACH-000527,-0.6995197071879999
ACH-000528,-0.726168390256
ACH-000537,-0.465179372808
ACH-000541,-0.448373103176
ACH-000542,-0.421717459721
ACH-000544,-0.702661294031
ACH-000545,-0.6791788584720001
ACH-000547,-0.60175497713
ACH-000548,-0.563763122969
ACH-000549,-0.6913906569280001
ACH-000550,-0.550197050716
ACH-000552,-0.56841357257
ACH-000556,-0.498294147141
ACH-000557,-0.43860260602300005
