,CATSPERD (257062)
ACH-000004,-0.151973514254
ACH-000007,0.0637693126545
ACH-000009,-0.215644565008
ACH-000011,-0.405490691753
ACH-000012,-0.25998936312
ACH-000013,-0.27322885036
ACH-000014,-0.322273336546
ACH-000015,-0.378235323418
ACH-000017,-0.395218735175
ACH-000018,-0.23676405250399998
ACH-000019,-0.5870790497739999
ACH-000021,-0.388057450563
ACH-000022,-0.20745279307199999
ACH-000025,-0.172394812441
ACH-000028,-0.26349705514000005
ACH-000030,-0.310073968549
ACH-000035,-0.20136884160000001
ACH-000036,-0.334351052584
ACH-000037,-0.0287453021563
ACH-000039,-0.491268079067
ACH-000040,-0.311167480893
ACH-000041,-0.256924966747
ACH-000042,-0.119795499168
ACH-000045,-0.442348008749
ACH-000047,-0.333048227629
ACH-000052,-0.0216484592687
ACH-000053,-0.262967890931
ACH-000054,-0.34076266588799997
ACH-000055,-0.26298357863099997
ACH-000060,-0.037113378710000006
ACH-000067,-0.34260091221699995
ACH-000070,-0.0577021576968
ACH-000075,-0.256917534081
ACH-000078,-0.20023850295099999
ACH-000082,-0.276447272213
ACH-000085,-0.137554279469
ACH-000086,-0.156791886855
ACH-000087,-0.312500172278
ACH-000092,-0.37286226695600005
ACH-000095,-0.36724574115999997
ACH-000097,-0.275523199915
ACH-000098,-0.597213731291
ACH-000099,-0.359079462442
ACH-000108,-0.38094412366400004
ACH-000113,-0.220813820997
ACH-000115,-0.31884135804
ACH-000116,-0.278947856223
ACH-000118,-0.19659281952500002
ACH-000120,-0.335013381831
ACH-000123,-0.27008278858600004
ACH-000127,-0.41381422596600004
ACH-000128,-0.563581092352
ACH-000132,-0.382320716892
ACH-000133,-0.20229904464600001
ACH-000137,-0.267572425372
ACH-000138,-0.274824476037
ACH-000142,-0.46179523337399997
ACH-000143,-0.233708970869
ACH-000146,-0.29696670179400003
ACH-000148,-0.29510388279
ACH-000150,-0.58486569394
ACH-000152,-0.215092476153
ACH-000153,-0.26291158861499997
ACH-000159,-0.292035751932
ACH-000160,-0.246125046362
ACH-000163,-0.304697910474
ACH-000167,-0.25829886869
ACH-000168,-0.19770006096599999
ACH-000169,-0.170650874607
ACH-000178,-0.263861006721
ACH-000182,-0.30501488569
ACH-000183,-0.250111282767
ACH-000188,-0.271458931901
ACH-000189,-0.109842732719
ACH-000190,-0.23654903572500002
ACH-000198,-0.238514697482
ACH-000204,-0.517304335715
ACH-000206,-0.292900593873
ACH-000207,-0.336114794662
ACH-000211,-0.425417280902
ACH-000215,-0.279565059948
ACH-000221,-0.255078155832
ACH-000222,-0.473738628483
ACH-000223,-0.381385772859
ACH-000226,-0.148762466535
ACH-000227,-0.126780600071
ACH-000228,-0.21802296218000003
ACH-000231,-0.182804538372
ACH-000232,-0.117468233622
ACH-000233,-0.204415793801
ACH-000234,-0.44976539895499995
ACH-000235,-0.208899066551
ACH-000237,-0.29017526426600004
ACH-000238,-0.31111358597
ACH-000243,-0.37219767460600006
ACH-000244,-0.250310168472
ACH-000246,-0.394333926699
ACH-000248,-0.40316489051
ACH-000250,-0.20204744358100002
ACH-000251,-0.548850311531
ACH-000253,-0.175531293091
ACH-000255,-0.25894306169799997
ACH-000256,0.0264647251315
ACH-000257,-0.405754904185
ACH-000258,0.14054383656400002
ACH-000259,-0.221641738748
ACH-000260,-0.350698520291
ACH-000261,-0.26180115516999997
ACH-000262,-0.29448403645
ACH-000263,-0.12269134769500001
ACH-000264,-0.110717014429
ACH-000265,-0.342279897759
ACH-000266,-0.32343640142200003
ACH-000272,-0.295648279523
ACH-000273,-0.150246673228
ACH-000274,-0.344137696105
ACH-000277,-0.297343304796
ACH-000278,-0.26522560953200003
