,ECT2L (345930)
ACH-000004,-0.346639684846
ACH-000007,-0.280225052433
ACH-000009,-0.384721307799
ACH-000011,-0.45977853177
ACH-000012,-0.177698247502
ACH-000013,-0.354492639462
ACH-000014,-0.29465858729899996
ACH-000015,-0.14926233534000002
ACH-000017,-0.23452383774799998
ACH-000018,-0.519908571272
ACH-000019,-0.594954706756
ACH-000021,-0.626500473513
ACH-000022,-0.348054836485
ACH-000025,-0.437454071469
ACH-000028,-0.576920654616
ACH-000030,-0.331378062803
ACH-000035,-0.250723024479
ACH-000036,-0.41075282456
ACH-000037,-0.264994516794
ACH-000039,-0.48276774209600004
ACH-000040,-0.795982813421
ACH-000041,-0.438309559525
ACH-000042,-0.292875706913
ACH-000045,-0.423613668997
ACH-000047,-0.389883026686
ACH-000052,-0.0917149136806
ACH-000053,-0.31067639725
ACH-000054,-0.481599101872
ACH-000055,-0.6417565164069999
ACH-000060,-0.410468499719
ACH-000067,-0.5300904251199999
ACH-000070,-0.424832711159
ACH-000075,-0.526045895427
ACH-000078,-0.49334289174699997
ACH-000082,-0.45469769567
ACH-000085,-0.42702079825499994
ACH-000086,-0.2968362444
ACH-000087,-0.037979212390900005
ACH-000092,-0.537348377171
ACH-000095,-0.586180688667
ACH-000097,-0.404131893121
ACH-000098,-0.24154386929699997
ACH-000099,-0.361231356315
ACH-000108,-0.275868834831
ACH-000113,-0.45434721911700005
ACH-000115,-0.45250783777099995
ACH-000116,-0.41854662538500004
ACH-000118,-0.441595099436
ACH-000120,-0.337664722555
ACH-000123,-0.151343975898
ACH-000127,-0.497818618428
ACH-000128,-0.479738818037
ACH-000132,-0.49343674478
ACH-000133,-0.461168652654
ACH-000137,-0.42780818542099996
ACH-000138,-0.352359474277
ACH-000142,-0.240855597375
ACH-000143,-0.450169359641
ACH-000146,-0.32300130768
ACH-000148,-0.29146070178800004
ACH-000150,-0.468553747513
ACH-000152,-0.521144615697
ACH-000153,-0.332601081492
ACH-000159,-0.445674201124
ACH-000160,-0.38876046272299997
ACH-000163,-0.170244037444
ACH-000167,-0.49689847346
ACH-000168,-0.48454943995800004
ACH-000169,-0.299880769161
ACH-000178,-0.353035289461
ACH-000182,-0.40654874253600004
ACH-000183,-0.374167258169
ACH-000188,-0.215860504344
ACH-000189,-0.44461768452100003
ACH-000190,-0.287472007039
ACH-000198,-0.415303175143
ACH-000204,-0.61067117505
ACH-000206,-0.53794341282
ACH-000207,-0.585908762354
ACH-000211,-0.42134580270800004
ACH-000215,-0.527738338524
ACH-000221,-0.20075454768800002
ACH-000222,-0.132160696248
ACH-000223,-0.767261405136
ACH-000226,-0.524955437493
ACH-000227,-0.829624132334
ACH-000228,-0.487026248024
ACH-000231,-0.40935051116899995
ACH-000232,-0.527630346803
ACH-000233,-0.386862621862
ACH-000234,-0.450043176514
ACH-000235,-0.47526658135300004
ACH-000237,-0.520768773173
ACH-000238,-0.283074611568
ACH-000243,-0.381782322879
ACH-000244,0.0453550570155
ACH-000246,-0.42903331640500003
ACH-000248,-0.489425614547
ACH-000250,-0.448093404957
ACH-000251,-0.299230744539
ACH-000253,-0.502839711461
ACH-000255,-0.532856061602
ACH-000256,-0.311808046648
ACH-000257,-0.597530003307
ACH-000258,-0.302134272669
ACH-000259,-0.403974033697
ACH-000260,-0.313630318601
ACH-000261,-0.6346835594
ACH-000262,-0.580858517108
ACH-000263,-0.435138513992
ACH-000264,-0.39972450452
ACH-000265,-0.21675835277
ACH-000266,-0.42336863390100005
ACH-000272,-0.532723517926
ACH-000273,-0.37566025871299996
ACH-000274,-0.717730823125
ACH-000277,-0.509876778455
ACH-000278,-0.44110673537699996
ACH-000279,-0.438943693721
ACH-000280,-0.252247020581
ACH-000281,-0.32462733064300003
ACH-000288,-0.38567940134499995
ACH-000291,-0.29532196744899997
ACH-000293,-0.667775185258
ACH-000294,-0.319144932944
ACH-000295,-0.7151433303749999
ACH-000296,-0.32874145081399997
ACH-000302,-0.306900729508
ACH-000304,-0.622569939054
ACH-000307,-0.488520014959
ACH-000308,-0.703631279283
ACH-000310,-0.46981338071999995
ACH-000311,-0.18164794834800002
ACH-000312,-0.417310833854
ACH-000315,-0.403470573213
ACH-000316,-0.0623118864059
ACH-000317,-0.14959022533299998
ACH-000318,-0.34442568971500004
ACH-000319,-0.385376668722
ACH-000320,-0.42517105373
ACH-000322,-0.593484175323
ACH-000323,-0.450515693263
ACH-000324,-0.41724091822400006
ACH-000329,-0.420830418432
ACH-000330,-0.22098409944000003
ACH-000331,-0.474196522557
ACH-000332,-0.39799078322400006
ACH-000334,-0.725869967996
ACH-000335,-0.296988955958
ACH-000336,-0.16007579304199998
ACH-000337,-0.37938610460999994
ACH-000339,-0.527443864169
ACH-000341,-0.383276928364
ACH-000348,-0.40417396957699997
ACH-000350,-0.420577931229
ACH-000352,-0.450358800989
ACH-000356,-0.446807735655
ACH-000361,-0.48368367297700005
ACH-000362,-0.281004521523
ACH-000363,-0.38151529069799994
