,PCNX (22990)
ACH-000004,-0.153472719456
ACH-000007,-0.174820512556
ACH-000009,-0.108737826101
ACH-000011,0.111667563759
ACH-000012,0.0009151879409840001
ACH-000013,-0.19424953018
ACH-000014,-0.37788704576
ACH-000015,0.0303767680556
ACH-000017,-0.250193441651
ACH-000018,-0.311089381288
ACH-000019,-0.245185147275
ACH-000021,-0.115462371868
ACH-000022,0.0082285758275
ACH-000025,-0.040622225917500004
ACH-000028,-0.25950023935
ACH-000030,-0.0696963219064
ACH-000035,0.106890494191
ACH-000036,-0.00579780624374
ACH-000037,-0.240789160288
ACH-000039,-0.013790122755
ACH-000040,-0.117979848381
ACH-000041,-0.018457717783400003
ACH-000042,-0.171837512748
ACH-000045,0.104340761796
ACH-000047,-0.187091747337
ACH-000052,-0.07652289485000001
ACH-000053,-0.048764311861
ACH-000054,-0.275161454131
ACH-000055,0.055425382618699996
ACH-000060,-0.292736125292
ACH-000067,-0.15468905784499998
ACH-000070,-0.245261302696
ACH-000075,-0.171352341873
ACH-000078,-0.146428673553
ACH-000082,-0.0973274432163
ACH-000085,-0.114798764043
ACH-000086,0.0243508025905
ACH-000087,-0.324383994996
ACH-000092,-0.0893420090615
ACH-000095,-0.201911258188
ACH-000097,-0.13536964776
ACH-000098,-0.09896304847539998
ACH-000099,-0.107430104892
ACH-000108,-0.19805466626600002
ACH-000113,-0.0531348285542
ACH-000115,0.0477040852456
ACH-000116,-0.10288123095799999
ACH-000118,-0.215855296006
ACH-000120,0.0884217679074
ACH-000123,-0.145053069796
ACH-000127,-0.0491219572485
ACH-000128,-0.0329434900524
ACH-000132,0.0416330502082
ACH-000133,-0.0491972550951
ACH-000137,0.025526623232400004
ACH-000138,-0.220614612335
ACH-000142,-0.00466231150947
ACH-000143,-0.139018970569
ACH-000146,0.0959028495212
ACH-000148,-0.12862904565400002
ACH-000150,0.140700243716
ACH-000152,-0.294309109954
ACH-000153,0.234518654449
ACH-000159,-0.205212704962
ACH-000160,-0.106498477087
ACH-000163,0.0422866364282
ACH-000167,0.169156023355
ACH-000168,-0.181338338869
ACH-000169,0.104464699675
ACH-000178,-0.061795999720199994
ACH-000182,0.04390894837780001
ACH-000183,-0.0898352568761
ACH-000188,0.0786441758632
ACH-000189,-0.164356532107
ACH-000190,-0.44158255721699996
ACH-000198,-0.21554552971299998
ACH-000204,-0.457480783332
ACH-000206,0.0664882450703
ACH-000207,-0.0102083740192
ACH-000211,-0.258374895338
ACH-000215,-0.00401633523982
ACH-000221,-0.0867021839701
ACH-000222,-0.226227945381
ACH-000223,-0.017700592879400002
ACH-000226,0.08820911092900001
ACH-000227,-0.066177196601
ACH-000228,-0.0882324770768
ACH-000231,-0.143431281753
ACH-000232,-0.19396012344
ACH-000233,-0.16344072117
