,IER5L (389792)
ACH-000004,0.148075512421
ACH-000007,0.328223460225
ACH-000009,-0.0288173238363
ACH-000011,-0.0780426658267
ACH-000012,-0.047623410028999995
ACH-000013,-0.0701135542695
ACH-000014,0.0490734888623
ACH-000015,-0.0758544957832
ACH-000017,-0.213073292773
ACH-000018,-0.0717184105028
ACH-000019,-0.208615055125
ACH-000021,-0.0010285187813
ACH-000022,-0.0906039906438
ACH-000025,0.24231855814
ACH-000028,-0.10509376701999999
ACH-000030,0.029648826205000003
ACH-000035,0.035295021231499996
ACH-000036,0.044025069286900004
ACH-000037,0.11312188103599999
ACH-000039,-0.0239168304518
ACH-000040,-0.147065062399
ACH-000041,0.09077497739399999
ACH-000042,0.172909545002
ACH-000045,0.17629316736900003
ACH-000047,0.0637191094361
ACH-000052,-0.0571429338723
ACH-000053,-0.09560136035060002
ACH-000054,0.0667096845643
ACH-000055,-0.116678915474
ACH-000060,0.0706031386037
ACH-000067,-0.085470443717
ACH-000070,0.057039501998500004
ACH-000075,-0.0112625888745
ACH-000078,0.00363494168438
ACH-000082,-0.06746669937869999
ACH-000085,0.037431193044099996
ACH-000086,-0.0809296702641
ACH-000087,-0.0770194032741
ACH-000092,-0.036158476553
ACH-000095,0.08362940470789999
ACH-000097,-0.06806054249440001
ACH-000098,0.327945240681
ACH-000099,-0.034622817568
ACH-000108,-0.101083039513
ACH-000113,0.12272639925100001
ACH-000115,0.013806498674800001
ACH-000116,-0.008058193176410001
ACH-000118,-0.0968101174302
ACH-000120,0.0144135525113
ACH-000123,0.143540078148
ACH-000127,-0.0448318178013
ACH-000128,-0.0325397423538
ACH-000132,-0.0676436619871
ACH-000133,-0.083304263891
ACH-000137,0.0355940509141
ACH-000138,0.0764896219206
ACH-000142,0.20078939614
ACH-000143,0.055370669298599996
ACH-000146,-0.039147184092
ACH-000148,0.145734861965
ACH-000150,0.055350430448900007
ACH-000152,-0.0610676127017
ACH-000153,0.053876383075299995
ACH-000159,-0.027821581612400004
ACH-000160,-0.104204815284
ACH-000163,0.0485984192193
ACH-000167,0.153877543921
ACH-000168,0.0225858465991
ACH-000169,-0.037535970671699996
ACH-000178,0.09898212161810001
ACH-000182,-0.00036567694647300007
ACH-000183,0.0913500884155
ACH-000188,-0.140384749091
ACH-000189,-0.0886212795658
ACH-000190,-0.011784878873700002
ACH-000198,0.028388814696599998
ACH-000204,-0.172814790321
ACH-000206,0.0724048897071
ACH-000207,-0.018026679908599998
ACH-000211,-0.165311143119
ACH-000215,0.20407867357700002
ACH-000221,0.0293061423116
ACH-000222,-0.0808742782062
ACH-000223,-0.0932134232479
ACH-000226,-0.028772212576900002
ACH-000227,0.114970469615
ACH-000228,0.095404028986
ACH-000231,-0.137441726129
ACH-000232,-0.050724704864
ACH-000233,0.23312336074700002
ACH-000234,0.0557353340751
ACH-000235,0.172218404986
ACH-000237,-0.0322230652397
ACH-000238,0.140662038106
ACH-000243,-0.025669876096099997
ACH-000244,-0.139616659448
ACH-000246,0.069192020397
ACH-000248,-0.0217670566648
ACH-000250,-0.0331222827967
ACH-000251,0.188572091604
ACH-000253,-0.0126434886034
ACH-000255,-0.10099108002599999
