,CAMLG (819)
ACH-000004,-0.42064118422700003
ACH-000007,-0.569687919759
ACH-000009,-0.861443113083
ACH-000011,-0.809065104218
ACH-000012,-0.68612395429
ACH-000013,-0.347884305444
ACH-000014,-0.566364020383
ACH-000015,-0.6869752297849999
ACH-000017,-0.8298043893289999
ACH-000018,-0.573068195584
ACH-000019,-0.397050425516
ACH-000021,-0.725458735607
ACH-000022,-0.490611038015
ACH-000025,-0.24761963562
ACH-000028,-0.432399683291
ACH-000030,-0.596708710389
ACH-000035,-0.35251922189199997
ACH-000036,-0.710390585792
ACH-000037,-0.508939958131
ACH-000039,-0.212033944332
ACH-000040,-0.38310879275
ACH-000041,-0.444607855629
ACH-000042,-0.561706355701
ACH-000045,-0.410866182388
ACH-000047,-0.78087099019
ACH-000052,-0.85062673397
ACH-000053,-0.40620893395700003
ACH-000054,-0.36379063704000003
ACH-000055,-0.608781639037
ACH-000060,-0.5267357082680001
ACH-000067,-0.618646747667
ACH-000070,-0.61028377752
ACH-000075,-0.988919236994
ACH-000078,-0.42716372630099997
ACH-000082,-0.297844616467
ACH-000085,-0.3336093348
ACH-000086,-0.725244030142
ACH-000087,-0.41223219239299996
ACH-000092,-0.42776266493500004
ACH-000095,-0.404834230789
ACH-000097,-0.546679728303
ACH-000098,-0.46110203718599996
ACH-000099,-0.558901565092
ACH-000108,-0.9292993032200001
ACH-000113,-0.644653515367
ACH-000115,-0.716115951353
ACH-000116,-0.279724587298
ACH-000118,-0.533232686832
ACH-000120,-0.638167040583
ACH-000123,-0.6341806283020001
ACH-000127,-0.475549793038
ACH-000128,-0.515814450539
ACH-000132,-0.7243388793619999
ACH-000133,-0.526377500552
ACH-000137,-0.599829370326
ACH-000138,-0.46434963273
ACH-000142,-0.584323145133
ACH-000143,-0.648226165757
ACH-000146,-0.563537671852
ACH-000148,-0.44397770603799996
ACH-000150,-0.563925546037
ACH-000152,-0.642016093658
ACH-000153,-0.921023438386
ACH-000159,-0.668809940029
ACH-000160,-0.48787196307400005
ACH-000163,-0.7478644696529999
ACH-000167,-0.53093022316
ACH-000168,-0.7162590848389999
ACH-000169,-0.582425662722
ACH-000178,-0.620457329891
ACH-000182,-0.687852394414
ACH-000183,-0.600811542547
ACH-000188,-0.414205248967
ACH-000189,-0.73461664642
ACH-000190,-0.604267081981
ACH-000198,-0.607691979579
ACH-000204,-0.5720363885809999
ACH-000206,-0.57318378961
ACH-000207,-0.441619291624
ACH-000211,-0.422184653195
ACH-000215,-0.350435886003
ACH-000221,-0.24462135859900003
ACH-000222,-0.5273233164150001
ACH-000223,-0.614776314036
ACH-000226,-0.498135981694
ACH-000227,-0.256332465026
ACH-000228,-0.649206684644
ACH-000231,-0.523713976893
ACH-000232,-0.44585975661399996
ACH-000233,-0.69854809676
ACH-000234,-0.674077347139
ACH-000235,-0.721644642988
ACH-000237,-0.327426695629
ACH-000238,-0.570178965422
ACH-000243,-0.6775570738429999
ACH-000244,-0.530607243564
ACH-000246,-0.604315253855
ACH-000248,-0.891568142323
ACH-000250,-0.660507354661
ACH-000251,-0.637057986039
ACH-000253,-0.573005384834
ACH-000255,-0.347437471529
ACH-000256,-0.30956202894900003
ACH-000257,-0.596931320247
ACH-000258,-0.470993313495
ACH-000259,-0.52761394152
ACH-000260,-0.40171098197800004
ACH-000261,-0.490615204086
ACH-000262,-0.296494411849
ACH-000263,-0.45706765750399997
ACH-000264,-0.661661420631
ACH-000265,-0.38457045851599997
ACH-000266,-0.419953904742
ACH-000272,-0.5654383986429999
ACH-000273,-0.737140832575
ACH-000274,-0.311208313875
ACH-000277,-0.7576653853479999
ACH-000278,-0.732813881167
ACH-000279,-0.647285588738
ACH-000280,-0.46906648282799995
ACH-000281,-0.522174920131
ACH-000288,-0.455093903503
ACH-000291,-0.386048037399
ACH-000293,-0.427551022593
ACH-000294,-0.537547973521
ACH-000295,-0.844568131198
ACH-000296,-0.7063014073109999
ACH-000302,-0.392640184894
ACH-000304,-0.48373908782200004
ACH-000307,-0.673808454653
ACH-000308,-0.345280327915
ACH-000310,-0.360884279617
ACH-000311,-0.516358201955
ACH-000312,-0.396091316685
ACH-000315,-0.5278756793020001
ACH-000316,-0.45857476123400004
ACH-000317,-0.527514561928
ACH-000318,-0.564273476081
ACH-000319,-0.358818267488
ACH-000320,-0.744304202036
ACH-000322,-0.730587616223
ACH-000323,-0.45585360534100006
ACH-000324,-0.693694435628
ACH-000329,-0.488916886687
ACH-000330,-0.826282964321
ACH-000331,-0.791903183709
ACH-000332,-0.534441340825
ACH-000334,-0.467712636075
ACH-000335,-0.685837248109
ACH-000336,-0.600181113567
ACH-000337,-0.418506920521
ACH-000339,-0.45952592880599996
ACH-000341,-0.636990755668
ACH-000348,-0.41271862010399996
ACH-000350,-0.932298015441
ACH-000352,-0.500986569227
ACH-000356,-0.48552533211000004
ACH-000361,-0.703331046525
ACH-000362,-0.7168227627439999
ACH-000363,-0.392241456862
ACH-000364,-0.702096479492
ACH-000365,-0.676169157271
ACH-000366,-0.425095546581
ACH-000368,-1.01691771605
ACH-000374,-0.21232338846700002
ACH-000375,-0.523047777234
ACH-000376,-0.692716262394
ACH-000381,-0.845906007107
ACH-000383,-0.451500431968
ACH-000387,-0.705321813689
ACH-000389,-0.68024905253
ACH-000390,-0.6160324293280001
ACH-000393,-0.404761736405
ACH-000395,-0.549828699826
ACH-000397,-0.355417035054
ACH-000401,-1.0611315029600001
ACH-000402,-0.37865385155000003
ACH-000403,-0.710826629669
ACH-000404,-0.613860706909
ACH-000406,-0.748957537131
ACH-000407,-0.598039188324
ACH-000408,-0.713289198387
ACH-000410,-0.460877538631
ACH-000411,-0.751191805372
ACH-000414,-0.38244602157700003
ACH-000415,-0.5784899339399999
ACH-000416,-0.415286858429
ACH-000420,-0.33537447245700003
ACH-000421,-0.43206324787199996
ACH-000424,-0.9243135098980001
ACH-000425,-0.859863770858
ACH-000426,-0.450026314548
ACH-000427,-1.04039480958
ACH-000433,-0.679848102368
ACH-000436,-0.546419316984
ACH-000444,-0.6950954308920001
ACH-000445,-0.705580916766
ACH-000448,-0.487785472848
ACH-000450,-0.9195007271439999
ACH-000452,-0.40772731705700005
ACH-000454,-0.531291682201
ACH-000458,-0.27332707991300004
ACH-000459,-0.469662398507
ACH-000460,-0.444986285038
ACH-000461,-0.628805791914
ACH-000463,-0.571565782692
ACH-000464,-0.852900002922
ACH-000466,-0.57884003775
ACH-000467,-0.41978986509800004
ACH-000468,-0.42033867191
