,SMARCE1 (6605)
ACH-000004,-0.9313042965799999
ACH-000007,-1.14749367782
ACH-000009,-0.40359117477300005
ACH-000011,-0.791272046707
ACH-000012,-0.710620686406
ACH-000013,-1.24820993941
ACH-000014,-0.469069056171
ACH-000015,-0.204698299936
ACH-000017,-1.17153822536
ACH-000018,-0.6022149586559999
ACH-000019,-0.680947609189
ACH-000021,-0.536034772124
ACH-000022,-0.793563451214
ACH-000025,-0.643969365546
ACH-000028,-0.93715422396
ACH-000030,-0.754557047675
ACH-000035,-0.930330211562
ACH-000036,-0.8014021899410001
ACH-000037,-0.808277090293
ACH-000039,-0.8406103484399999
ACH-000040,-0.470969220488
ACH-000041,-0.298850142331
ACH-000042,-0.36508062672200003
ACH-000045,-0.831469440913
ACH-000047,-0.153520652628
ACH-000052,-0.508723269197
ACH-000053,-1.00708591938
ACH-000054,-0.7032078993299999
ACH-000055,-0.511638023478
ACH-000060,-0.627005794487
ACH-000067,-0.689542921619
ACH-000070,-0.823035140554
ACH-000075,-0.7040861723399999
ACH-000078,-0.877461417383
ACH-000082,-0.302212909442
ACH-000085,-0.990544769663
ACH-000086,-0.850239341144
ACH-000087,-1.0085606336
ACH-000092,-0.686925288128
ACH-000095,-0.6911100577920001
ACH-000097,-0.9972391761949999
ACH-000098,-0.648973822579
ACH-000099,-0.716223356464
ACH-000108,-1.0848214464700001
ACH-000113,-0.670468762008
ACH-000115,-1.21786790033
ACH-000116,-0.967252463204
ACH-000118,-0.502241972252
ACH-000120,-0.7326281437540001
ACH-000123,-0.256822981525
ACH-000127,-0.683036192772
ACH-000128,-0.32498186913000005
ACH-000132,-0.571406861963
ACH-000133,-0.8429473794419999
ACH-000137,-0.287983096902
ACH-000138,-0.6960239300900001
ACH-000142,-0.8199680157379999
ACH-000143,-0.911968374325
ACH-000146,-1.0942888239200002
ACH-000148,-0.21701394112300001
ACH-000150,-0.913995003018
ACH-000152,0.0178959008342
ACH-000153,-0.950448560156
ACH-000159,-0.9927584603
ACH-000160,-0.20451088795000003
ACH-000163,-0.648103718521
ACH-000167,-0.146100080841
ACH-000168,-0.806793406855
ACH-000169,-0.9681443783560001
ACH-000178,-0.797839217579
ACH-000182,-0.468799287054
ACH-000183,-1.10191758443
ACH-000188,-0.985043842102
ACH-000189,-0.833941830741
ACH-000190,0.143638836465
ACH-000198,-0.983181118878
ACH-000204,-0.899123516592
ACH-000206,-0.7832303991949999
ACH-000207,-1.13843578128
ACH-000211,-0.384711569375
ACH-000215,-0.24671887102099999
