,MAST2 (23139)
ACH-000004,-0.303261536518
ACH-000007,-0.160633297804
ACH-000009,-0.26185517318
ACH-000011,0.034617194135199994
ACH-000012,-0.404409105665
ACH-000013,-0.36035775703
ACH-000014,-0.137032350855
ACH-000015,-0.042713785032599996
ACH-000017,-0.37852173064000005
ACH-000018,-0.305241146286
ACH-000019,-0.123717950933
ACH-000021,-0.23759822144
ACH-000022,-0.23078389059
ACH-000025,-0.27417801007
ACH-000028,-0.254254894992
ACH-000030,-0.277032117331
ACH-000035,-0.358200222399
ACH-000036,-0.274079833136
ACH-000037,-0.134846732287
ACH-000039,-0.36238854399899995
ACH-000040,-0.207314383766
ACH-000041,-0.41067734681
ACH-000042,-0.146831540512
ACH-000045,-0.0551704633904
ACH-000047,-0.25404141264
ACH-000052,-0.298039226111
ACH-000053,-0.183199561697
ACH-000054,-0.17411421857700002
ACH-000055,-0.37128978896700005
ACH-000060,-0.177506380099
ACH-000067,-0.19964276681499998
ACH-000070,-0.36363042942199997
ACH-000075,-0.089889066582
ACH-000078,-0.310220706062
ACH-000082,-0.181614424571
ACH-000085,-0.0608191892528
ACH-000086,-0.311914694292
ACH-000087,-0.0851858391707
ACH-000092,-0.411376600176
ACH-000095,-0.18647114017000002
ACH-000097,-0.045707779480599994
ACH-000098,-0.39813871377300003
ACH-000099,-0.092079110284
ACH-000108,-0.25395326598
ACH-000113,-0.247428588068
ACH-000115,-0.17174314945
ACH-000116,-0.15923831466399999
ACH-000118,-0.171610166228
ACH-000120,-0.0639885476487
ACH-000123,-0.288670186628
ACH-000127,-0.192709390772
ACH-000128,-0.263851339773
ACH-000132,-0.178160865874
ACH-000133,-0.23978740447900002
ACH-000137,-0.157835992933
ACH-000138,-0.33439999243
ACH-000142,-0.18084296544700001
ACH-000143,-0.272197319596
ACH-000146,-0.27768901980099997
ACH-000148,-0.118258025583
ACH-000150,-0.673690623935
ACH-000152,-0.255176448469
ACH-000153,-0.0945907762973
ACH-000159,-0.178737706015
ACH-000160,-0.16370564312799998
ACH-000163,0.126324065168
ACH-000167,-0.401955681034
ACH-000168,-0.128707297967
ACH-000169,-0.169244119718
ACH-000178,-0.152791180653
ACH-000182,-0.09360376577889999
ACH-000183,-0.312619415526
ACH-000188,-0.355758340914
ACH-000189,-0.178836045512
ACH-000190,-0.3059446475
ACH-000198,-0.205941871073
ACH-000204,-0.204435191701
ACH-000206,-0.295094933342
ACH-000207,-0.500934933936
ACH-000211,0.0022864371021599997
ACH-000215,-0.235185339923
ACH-000221,-0.21136305900199998
ACH-000222,-0.28587370383
ACH-000223,-0.25794939935899996
ACH-000226,-0.14332104515900002
ACH-000227,-0.322403361312
ACH-000228,-0.224326794132
ACH-000231,-0.235783299787
ACH-000232,-0.132705409389
ACH-000233,-0.196335991259
ACH-000234,-0.364657531112
ACH-000235,-0.239128181134
ACH-000237,-0.445035806844
ACH-000238,-0.26877077897199997
ACH-000243,-0.258982354798
ACH-000244,-0.16867311809799998
ACH-000246,-0.219371107918
ACH-000248,-0.341724739895
ACH-000250,0.0678748567007
ACH-000251,-0.36673519355499995
ACH-000253,-0.144049452291
ACH-000255,-0.362314808823
ACH-000256,-0.29302281706
ACH-000257,-0.252760406699
ACH-000258,0.00568398826994
ACH-000259,-0.276627116719
ACH-000260,-0.22680042297699998
ACH-000261,-0.25467556513
ACH-000262,-0.19765937661400002
ACH-000263,-0.129737092723
ACH-000264,-0.167198127019
ACH-000265,-0.174825768445
ACH-000266,-0.23659418499899998
ACH-000272,-0.391265843997
ACH-000273,-0.13695896930600002
ACH-000274,-0.22173451760200003
ACH-000277,-0.159929817766
ACH-000278,-0.34273494411300004
ACH-000279,-0.4512893575
ACH-000280,-0.212547817037
ACH-000281,-0.0013907345112499998
ACH-000288,-0.48356021246799996
ACH-000291,-0.168201958175
ACH-000293,-0.21159097620900003
ACH-000294,-0.06580988320719999
ACH-000295,0.0963874838518
ACH-000296,-0.278797748214
ACH-000302,-0.20500559916799999
ACH-000304,-0.222755731976
ACH-000307,-0.26954170710700004
ACH-000308,-0.17554675678399997
ACH-000310,-0.45691415415700004
ACH-000311,-0.202238624718
ACH-000312,-0.298555720504
ACH-000315,-0.290267419938
ACH-000316,-0.188565720158
ACH-000317,-0.265727810927
ACH-000318,-0.366167134525
ACH-000319,-0.380928408099
ACH-000320,-0.535488994605
ACH-000322,-0.138899790908
ACH-000323,-0.277687208709
ACH-000324,-0.266998928306
ACH-000329,-0.209153305262
ACH-000330,-0.12342351543400001
ACH-000331,-0.20220038744000002
ACH-000332,-0.203350196952
ACH-000334,-0.19612104759399998
ACH-000335,0.184425680181
ACH-000336,-0.342621097148
ACH-000337,-0.355701894009
ACH-000339,-0.156624876414
ACH-000341,-0.31250539537
ACH-000348,-0.21442180848
ACH-000350,-0.21048013491300002
ACH-000352,-0.158997591913
ACH-000356,-0.19756610996500001
ACH-000361,-0.06947411300049999
ACH-000362,-0.322304413954
ACH-000363,-0.163554707442
ACH-000364,-0.211576488688
ACH-000365,-0.311289692365
ACH-000366,-0.23605163213599997
ACH-000368,-0.168278732155
ACH-000374,-0.323783534829
ACH-000375,-0.40481055053900006
ACH-000376,-0.304096986599
ACH-000381,-0.259896988698
ACH-000383,-0.174101426211
ACH-000387,-0.257863114987
ACH-000389,-0.0688987239735
ACH-000390,-0.232986759166
ACH-000393,-0.332618205092
ACH-000395,-0.135550431045
ACH-000397,-0.165451462573
ACH-000401,-0.19094530298300003
ACH-000402,-0.235400517391
ACH-000403,-0.20820057964299998
ACH-000404,-0.0164283330925
ACH-000406,-0.226577272158
ACH-000407,-0.477992003834
ACH-000408,-0.323280600125
ACH-000410,-0.101653379825
ACH-000411,-0.14080561702400002
ACH-000414,-0.22959558807500002
ACH-000415,-0.335892694467
ACH-000416,-0.19714078648699998
ACH-000420,-0.21570068498300002
ACH-000421,-0.167537151058
ACH-000424,-0.311946832597
ACH-000425,0.0804816138779
ACH-000426,-0.0832544627144
ACH-000427,-0.312125558764
ACH-000433,-0.49101944462999997
ACH-000436,-0.5215179217679999
ACH-000444,-0.200813011884
ACH-000445,-0.345841802093
ACH-000448,-0.160277356168
ACH-000450,0.046395756964
ACH-000452,-0.081077463938
ACH-000454,-0.380470919419
ACH-000458,-0.2265307548
ACH-000459,-0.0685810697884
ACH-000460,-0.22571464473000002
ACH-000461,-0.160218289585
ACH-000463,-0.111025656786
ACH-000464,-0.127391233219
ACH-000466,-0.323695062413
ACH-000467,-0.135729884936
ACH-000468,-0.20650387496
ACH-000469,-0.248334095331
ACH-000470,-0.0411612491411
ACH-000471,-0.357350594169
ACH-000472,-0.155774299881
ACH-000473,-0.0706312109127
ACH-000475,-0.19699005193900002
ACH-000476,-0.23650002443799997
ACH-000477,0.0296729825622
ACH-000480,-0.207171894427
ACH-000481,-0.276110100195
ACH-000483,-0.19395764178199998
ACH-000484,-0.0425051332003
ACH-000485,-0.208094016873
ACH-000486,-0.258038148834
ACH-000487,-0.0356396759289
ACH-000488,-0.365747044459
ACH-000490,-0.217010623123
ACH-000491,-0.261770207431
ACH-000495,-0.0955079051374
ACH-000496,-0.356584959514
ACH-000499,-0.139603974735
ACH-000500,-0.21069073394499999
ACH-000502,-0.17206369379500003
ACH-000503,-0.23706959520100002
ACH-000505,-0.27904573889
ACH-000507,-0.096085048445
ACH-000510,-0.214008999206
ACH-000511,-0.136616654496
ACH-000512,-0.127600361767
ACH-000516,-0.20895502645
ACH-000517,-0.14702292567199998
ACH-000518,-0.163759692362
ACH-000520,-0.251715306422
ACH-000521,-0.300860622594
ACH-000522,-0.333537115463
ACH-000524,-0.331342923258
ACH-000527,-0.20705802765
ACH-000528,-0.18022741058699998
ACH-000537,-0.17842539518300002
ACH-000541,-0.165022291825
ACH-000542,-0.24234203309
ACH-000544,-0.178733152163
ACH-000545,-0.35178353673600005
ACH-000547,-0.0597711932005
ACH-000548,-0.0902620104594
ACH-000549,-0.20905251146200002
ACH-000550,-0.14618512091299998
ACH-000552,-0.25831191036
ACH-000556,-0.227461018378
ACH-000557,-0.28447116202100003
ACH-000570,-0.13015758960999999
ACH-000571,-0.029987648207600002
ACH-000573,-0.264222575434
ACH-000576,-0.379659633934
ACH-000580,-0.026292258803699998
ACH-000584,-0.148134323934
ACH-000585,-0.312337386071
ACH-000588,-0.164047569916
ACH-000589,-0.185792860469
ACH-000591,-0.015746815264600002
ACH-000593,-0.32459615707
ACH-000600,-0.179564462531
ACH-000601,-0.27119735869600003
ACH-000604,-0.417801798882
ACH-000605,-0.200220581673
ACH-000606,-0.281655224035
ACH-000608,-0.24012875133499997
ACH-000614,0.03850861390969999
ACH-000616,-0.199997861635
ACH-000618,-0.327392213298
ACH-000619,-0.229707762102
ACH-000620,-0.213699634887
