,SAMD12 (401474)
ACH-000004,0.00304861306486
ACH-000007,0.11814175853299999
ACH-000009,-0.14980329824000002
ACH-000011,-0.08830238317900001
ACH-000012,-0.317127649547
ACH-000013,-0.112377593872
ACH-000014,-0.165672875973
ACH-000015,-0.231928142197
ACH-000017,-0.20954341182100003
ACH-000018,-0.218780529212
ACH-000019,-0.0350360353992
ACH-000021,-0.0809951567677
ACH-000022,-0.186412048798
ACH-000025,-0.173259425938
ACH-000028,-0.265021664185
ACH-000030,-0.12375125164999999
ACH-000035,-0.11921026437799999
ACH-000036,-0.235536334883
ACH-000037,-0.12180803365000001
ACH-000039,-0.180119283109
ACH-000040,-0.232814161131
ACH-000041,-0.020649034104900002
ACH-000042,-0.17656379980099998
ACH-000045,0.0935435306188
ACH-000047,-0.164893036643
ACH-000052,0.00933588924365
ACH-000053,-0.051678940129800004
ACH-000054,-0.290256120721
ACH-000055,0.0304656880064
ACH-000060,-0.168035350995
ACH-000067,-0.194764087435
ACH-000070,-0.28963530583700003
ACH-000075,-0.09385966738439999
ACH-000078,0.147684513366
ACH-000082,-0.124596294381
ACH-000085,-0.138629288182
ACH-000086,-0.244864267286
ACH-000087,-0.551632166462
ACH-000092,-0.16583456662499999
ACH-000095,0.0527865897495
ACH-000097,-0.255424599633
ACH-000098,-0.20733854112300001
ACH-000099,-0.136812725494
ACH-000108,-0.211094865716
ACH-000113,-0.10912131463500001
ACH-000115,0.047595294927300004
ACH-000116,-0.263650448383
ACH-000118,-0.36119074850999994
ACH-000120,-0.082357999165
ACH-000123,-0.0895155506163
ACH-000127,-0.22519177162700002
ACH-000128,0.0242713663872
ACH-000132,-0.252266972858
ACH-000133,-0.45019481267399997
ACH-000137,-0.342399138269
ACH-000138,-0.0573838980485
ACH-000142,-0.114483189287
ACH-000143,-0.0419065500329
ACH-000146,-0.234613993055
ACH-000148,-0.147574687236
ACH-000150,-0.6372994261420001
ACH-000152,-0.229843430845
ACH-000153,-0.07284132163099999
ACH-000159,-0.230188673406
ACH-000160,-0.113057952226
ACH-000163,-0.235094375253
ACH-000167,0.0673260316699
ACH-000168,-0.08799436188819999
ACH-000169,-0.158174984079
ACH-000178,-0.16497836628499998
ACH-000182,-0.283086982379
ACH-000183,-0.08284768935060001
ACH-000188,-0.102569298224
ACH-000189,0.2801849087
ACH-000190,-0.11154112191299999
ACH-000198,-0.0369622892349
ACH-000204,-0.488134931434
ACH-000206,-0.025076147743900004
ACH-000207,-0.184796755219
ACH-000211,-0.14681265258099999
ACH-000215,-0.226659470112
ACH-000221,-0.056330528019500004
