,MPHOSPH8 (54737)
ACH-000004,0.185034100456
ACH-000007,-0.520223357722
ACH-000009,-0.0974383873735
ACH-000011,-0.0722803838992
ACH-000012,0.0998163482045
ACH-000013,-0.186312148019
ACH-000014,0.118857156117
ACH-000015,-0.243365669774
ACH-000017,-0.011636341954299998
ACH-000018,-0.12166768873
ACH-000019,-0.06982324845269999
ACH-000021,-0.22055736016199998
ACH-000022,-0.25545726023000004
ACH-000025,-0.0596580000887
ACH-000028,-0.127945857581
ACH-000030,-0.12262504623500001
ACH-000035,0.08712137236379999
ACH-000036,-0.415661385943
ACH-000037,0.034645782158900004
ACH-000039,0.17605403755
ACH-000040,-0.0841575675568
ACH-000041,-0.376523963902
ACH-000042,-0.335873619626
ACH-000045,-0.029747819769900003
ACH-000047,-0.150725236387
ACH-000052,-0.0577984234674
ACH-000053,-0.0068479132256800005
ACH-000054,-0.329361188992
ACH-000055,-0.480090550603
ACH-000060,-0.219539844813
ACH-000067,0.034564048965599996
ACH-000070,-0.26089500384799996
ACH-000075,-0.147957142017
ACH-000078,-0.24946115677499997
ACH-000082,0.01029391244
ACH-000085,-0.37634106106200005
ACH-000086,0.038135178468699994
ACH-000087,-0.046975422586900004
ACH-000092,0.13140070522299999
ACH-000095,-0.18944592752300002
ACH-000097,-0.276800433608
ACH-000098,-0.07183674592
ACH-000099,-0.12519156740999998
ACH-000108,-0.49493824332599995
ACH-000113,-0.30567462563000003
ACH-000115,0.12432435582200001
ACH-000116,-0.103346795176
ACH-000118,-0.131250402381
ACH-000120,-0.178174213354
ACH-000123,-0.280325509626
ACH-000127,-0.15210464681299998
ACH-000128,-0.0705792657675
ACH-000132,0.00303538226186
ACH-000133,-0.141305962194
ACH-000137,-0.187726985292
ACH-000138,-0.193974674556
ACH-000142,-0.117201614699
ACH-000143,-0.181730046656
ACH-000146,-0.573963707793
ACH-000148,-0.10060550077
ACH-000150,-0.04388843066959999
ACH-000152,0.020256419327099998
ACH-000153,-0.22540902598499998
ACH-000159,-0.08730895637399999
ACH-000160,0.29607710789700004
ACH-000163,-0.030101959969599995
ACH-000167,0.316910845475
ACH-000168,-0.119191422924
ACH-000169,-0.302434752376
ACH-000178,-0.203858415819
ACH-000182,-0.090891052963
ACH-000183,-0.18019499595400001
ACH-000188,-0.0901506731261
