,XYLT2 (64132)
ACH-000004,-0.134923013191
ACH-000007,-0.42854181119400003
ACH-000009,-0.61614608203
ACH-000011,-0.560208506736
ACH-000012,-0.5830617541650001
ACH-000013,-0.325891725003
ACH-000014,-0.5309673081840001
ACH-000015,-0.873939896718
ACH-000017,-0.320221098553
ACH-000018,-0.279445977345
ACH-000019,-0.8492647253710001
ACH-000021,-0.563729232402
ACH-000022,-0.349679963799
ACH-000025,-0.282720923411
ACH-000028,-0.595443602724
ACH-000030,-0.358307474788
ACH-000035,-0.309171546063
ACH-000036,-0.658017830466
ACH-000037,0.0059412352603100006
ACH-000039,-0.943086548458
ACH-000040,-0.35798970698399996
ACH-000041,-0.38127674165799996
ACH-000042,-0.484215866963
ACH-000045,-0.269879318459
ACH-000047,-0.616228689449
ACH-000052,-0.289128263081
ACH-000053,-0.374982887359
ACH-000054,-0.445044175361
ACH-000055,-0.348097161763
ACH-000060,-0.231668046185
ACH-000067,-0.300734833567
ACH-000070,-0.34602454361900004
ACH-000075,-0.289027921867
ACH-000078,-0.579372369588
ACH-000082,-0.37107704696599997
ACH-000085,-0.6976661636239999
ACH-000086,-0.669226555249
ACH-000087,-0.332604563512
ACH-000092,-0.668622415248
ACH-000095,-0.5076971011020001
ACH-000097,-0.49976831684100004
ACH-000098,-0.509443828607
ACH-000099,-0.45251183635799996
ACH-000108,-0.5716202233250001
ACH-000113,-0.373258729327
ACH-000115,-0.197341773501
ACH-000116,-0.428089797045
ACH-000118,-0.236466218955
ACH-000120,-0.6954091148289999
ACH-000123,-0.345204887074
ACH-000127,-0.13108226348
ACH-000128,-0.449656679825
ACH-000132,-0.6668814765300001
ACH-000133,-0.265397547683
ACH-000137,-0.398521680155
ACH-000138,-0.727146321119
ACH-000142,-0.650829933442
ACH-000143,-0.501422694574
ACH-000146,-0.447718604503
ACH-000148,-0.719700281233
ACH-000150,-0.748831771787
ACH-000152,-0.444343904353
ACH-000153,-0.21654537326099998
ACH-000159,-0.562104925615
ACH-000160,-0.519034273201
ACH-000163,-0.707768198477
ACH-000167,-0.536774642562
ACH-000168,-0.250186749004
ACH-000169,-0.548096009692
ACH-000178,-0.28730671284000003
ACH-000182,-0.489472613446
ACH-000183,-0.37477942958899996
ACH-000188,-0.464528727692
ACH-000189,-0.7252944381759999
ACH-000190,-0.421097018946
ACH-000198,-0.36089115440200004
ACH-000204,-0.49619680016500006
ACH-000206,-0.46335297674599996
ACH-000207,-0.760470653891
ACH-000211,-0.505072596072
ACH-000215,-0.276680570114
ACH-000221,-0.354034080843
