,B3GAT2 (135152)
ACH-000004,0.136122304057
ACH-000007,-0.213633163446
ACH-000009,0.10101273564200001
ACH-000011,0.0314256878373
ACH-000012,-0.0585055446123
ACH-000013,-0.170051425482
ACH-000014,-0.165856344115
ACH-000015,-0.189890711009
ACH-000017,-0.10649783787999999
ACH-000018,-0.153309593405
ACH-000019,-0.265911354637
ACH-000021,-0.287640616566
ACH-000022,0.035789973911699996
ACH-000025,-0.180754010509
ACH-000028,-0.17332679170499998
ACH-000030,-0.291147901629
ACH-000035,0.0925723489198
ACH-000036,-0.253396461182
ACH-000037,-0.0809196760271
ACH-000039,0.0217191831125
ACH-000040,-0.232364814336
ACH-000041,-0.179425030516
ACH-000042,-0.10387609423800001
ACH-000045,-0.043524559007
ACH-000047,-0.154683128513
ACH-000052,-0.263981086646
ACH-000053,-0.110231704538
ACH-000054,-0.15369546244100002
ACH-000055,-0.289924173743
ACH-000060,-0.0704768827068
ACH-000067,-0.265429633192
ACH-000070,-0.0995114919722
ACH-000075,-0.09387405052419999
ACH-000078,-0.0535400027121
ACH-000082,-0.208271987368
ACH-000085,-0.257457811939
ACH-000086,-0.119602605487
ACH-000087,-0.08638586835
ACH-000092,-0.17638863549000003
ACH-000095,-0.0187498625305
ACH-000097,-0.21911948064300002
ACH-000098,-0.236277426013
ACH-000099,-0.125272059916
ACH-000108,-0.180194750295
ACH-000113,-0.0732140186143
ACH-000115,-0.0451509515185
ACH-000116,-0.252081663216
ACH-000118,-0.11792378004699999
ACH-000120,-0.281934665894
ACH-000123,-0.152649806991
ACH-000127,-0.29193807748000006
ACH-000128,-0.0924551775719
ACH-000132,-0.31826037338
ACH-000133,-0.382757660232
ACH-000137,-0.16628437403
ACH-000138,-0.266089122471
ACH-000142,-0.120217447741
ACH-000143,-0.43460898376
ACH-000146,-0.09608741866630001
ACH-000148,-0.18375220143100002
ACH-000150,-0.273010463141
ACH-000152,-0.199340550717
ACH-000153,-0.720326372141
ACH-000159,-0.178353186953
ACH-000160,-0.0770585158585
ACH-000163,0.0118591683934
ACH-000167,-0.323036812678
ACH-000168,-0.139958388818
ACH-000169,-0.0639980625356
ACH-000178,-0.17485538337499998
ACH-000182,-0.230848157505
ACH-000183,-0.22997138484700003
ACH-000188,-0.2786602903
ACH-000189,-0.310268000552
ACH-000190,-0.025326049980900003
ACH-000198,-0.37781711590000006
ACH-000204,0.106968566154
ACH-000206,-0.236782102668
ACH-000207,-0.182846633137
ACH-000211,-0.140948278975
ACH-000215,-0.154299480697
ACH-000221,-0.31566290798
ACH-000222,-0.0688494046124
ACH-000223,-0.36225798015
ACH-000226,-0.28697315402199997
ACH-000227,-0.116345514125
ACH-000228,-0.235331921035
ACH-000231,-0.126348432838
ACH-000232,-0.185781089597
ACH-000233,-0.25005797074700004
ACH-000234,-0.434581605274
ACH-000235,-0.17127105615600002
ACH-000237,-0.0798155606889
ACH-000238,0.000135793427994
ACH-000243,-0.11662854053300001
