,TOE1 (114034)
ACH-000004,-0.646511368785
ACH-000007,-0.571177619333
ACH-000009,-1.31791418322
ACH-000011,-1.12277758631
ACH-000012,-1.0986575215899999
ACH-000013,-1.22599667454
ACH-000014,-1.07114466205
ACH-000015,-0.861766313012
ACH-000017,-0.6325440304500001
ACH-000018,-0.794909955152
ACH-000019,-0.591956299331
ACH-000021,-0.819746850714
ACH-000022,-0.617727587017
ACH-000025,-1.09510198669
ACH-000028,-0.5108955979209999
ACH-000030,-0.9485820580679999
ACH-000035,-0.849995378794
ACH-000036,-0.874123977697
ACH-000037,-1.9075447292900003
ACH-000039,-0.879287691318
ACH-000040,-0.502309348845
ACH-000041,-0.609635440328
ACH-000042,-0.92436691498
ACH-000045,-0.719425234488
ACH-000047,-0.333990047171
ACH-000052,-0.5468876707399999
ACH-000053,-0.0690191509267
ACH-000054,-0.24857935502700002
ACH-000055,-0.802835907666
ACH-000060,-1.4389147777000002
ACH-000067,-0.998586880913
ACH-000070,-0.774954339712
ACH-000075,-0.601301911838
ACH-000078,-0.517079984867
ACH-000082,-0.521027044643
ACH-000085,-0.8289932832250001
ACH-000086,-0.9198952888249999
ACH-000087,-0.6797345499840001
ACH-000092,-1.07900667514
ACH-000095,-0.37752028207800004
ACH-000097,-0.706336573081
ACH-000098,-0.966272323309
ACH-000099,-0.646014353182
ACH-000108,-0.37913572594899997
ACH-000113,-1.0140797178299998
ACH-000115,-0.647848396731
ACH-000116,-0.672797966042
ACH-000118,-0.30017391091699996
ACH-000120,-1.2230531626999999
ACH-000123,-0.258457808894
ACH-000127,-0.828443532217
ACH-000128,-0.917318094043
ACH-000132,-1.19073971116
ACH-000133,-0.507258896033
ACH-000137,-0.20174622573399997
ACH-000138,-1.11728478215
ACH-000142,-0.9660019920749999
ACH-000143,-0.5799908910399999
ACH-000146,-0.329697815415
ACH-000148,-0.711597165103
ACH-000150,-0.404150369365
ACH-000152,-0.718143441143
ACH-000153,-0.890484609137
ACH-000159,-0.552186363505
ACH-000160,-0.901018737844
ACH-000163,-0.40555309777500004
ACH-000167,-1.1379479218100002
ACH-000168,-0.525778309541
ACH-000169,-0.233192242592
ACH-000178,-0.725190427472
ACH-000182,-0.6478356041059999
ACH-000183,-0.847077701795
ACH-000188,-0.5869633852830001
ACH-000189,-0.108927968247
ACH-000190,-0.937670182261
ACH-000198,-0.8687947193790001
ACH-000204,-0.411303496741
ACH-000206,-0.539147905109
ACH-000207,-0.9845035896700001
ACH-000211,-0.45130348282099997
ACH-000215,-0.6926283421070001
ACH-000221,-0.920017716348
ACH-000222,-0.505990737191
ACH-000223,-1.1644234466299999
ACH-000226,-1.11719689183
ACH-000227,-0.81776097374
ACH-000228,-0.86563789952
ACH-000231,-1.18445503189
ACH-000232,-1.2122365308499998
ACH-000233,-0.20231704681899998
ACH-000234,-0.464230499598
ACH-000235,-0.7944263789839999
ACH-000237,-1.1703493442200001
ACH-000238,-0.7751799452179999
ACH-000243,-0.9382892479200001
ACH-000244,-0.7053073558490001
ACH-000246,-0.928131342587
ACH-000248,-1.03016005107
ACH-000250,-0.92104373323
ACH-000251,-0.73023525848
ACH-000253,-0.112660117491
ACH-000255,-0.24512924175700002
ACH-000256,-0.29263421948699997
ACH-000257,-0.6209708339
ACH-000258,-0.621780703326
ACH-000259,-0.276025671453
ACH-000260,-0.669501429316
ACH-000261,-0.200554703728
ACH-000262,-1.00870555351
ACH-000263,-0.69771477412
ACH-000264,-0.266704804172
ACH-000265,-0.919649511488
ACH-000266,-1.1957208564
ACH-000272,-0.975717414252
ACH-000273,-0.586728311516
ACH-000274,-0.31000259552
ACH-000277,-0.40447551769400003
ACH-000278,-0.641747334244
ACH-000279,-0.599994742598
ACH-000280,-0.691100809508
ACH-000281,-0.968648629659
