,FAP (2191)
ACH-000004,0.024941516608700004
ACH-000007,0.133426023113
ACH-000009,-0.0281847039073
ACH-000011,0.079757542373
ACH-000012,-0.0169797580247
ACH-000013,0.200408213309
ACH-000014,-0.03460334460430001
ACH-000015,0.0499525691995
ACH-000017,0.09711467475999999
ACH-000018,0.08696960951339999
ACH-000019,-0.044147795130300004
ACH-000021,0.0554720177845
ACH-000022,0.17755442773400001
ACH-000025,0.0449001517098
ACH-000028,0.0156897032531
ACH-000030,0.0752870317148
ACH-000035,-0.0894764904848
ACH-000036,0.0954298221714
ACH-000037,0.37285930962499997
ACH-000039,-0.149882421837
ACH-000040,0.107846316328
ACH-000041,0.13380317681700002
ACH-000042,0.0901791394338
ACH-000045,-0.014997603304700001
ACH-000047,0.0316220561172
ACH-000052,0.36426450671899996
ACH-000053,-0.0187395618539
ACH-000054,0.201496041509
ACH-000055,0.315291108233
ACH-000060,0.09721873588010001
ACH-000067,0.021036135795900003
ACH-000070,0.062718866652
ACH-000075,-0.17789544630999998
ACH-000078,0.0492183138632
ACH-000082,0.0551819996184
ACH-000085,0.255029203374
ACH-000086,0.0999090447748
ACH-000087,0.0673266554708
ACH-000092,-0.163808927731
ACH-000095,0.00635266482282
ACH-000097,0.0154174302816
ACH-000098,0.0796492561362
ACH-000099,-0.0076929297091899995
ACH-000108,-0.128796363773
ACH-000113,-0.12857415043099998
ACH-000115,0.183062368289
ACH-000116,0.105798890121
ACH-000118,-0.110494423992
ACH-000120,0.0175701730615
ACH-000123,-0.0807941903285
ACH-000127,0.00246961311817
ACH-000128,0.0962631969758
ACH-000132,0.130354544715
ACH-000133,0.18056987408599998
ACH-000137,0.00023707841792400004
ACH-000138,0.0060176363388700005
ACH-000142,0.125658250673
ACH-000143,0.00450228702319
ACH-000146,0.228323096561
ACH-000148,0.132579076939
ACH-000150,0.24935269063299997
ACH-000152,0.0579552877339
ACH-000153,-0.179883165252
ACH-000159,0.05072113234159999
ACH-000160,-0.112877594904
