,CSF3R (1441)
ACH-000004,0.09011156321810002
ACH-000007,-0.247506319121
ACH-000009,-0.04822778834480001
ACH-000011,-0.31680584473900003
ACH-000012,-0.25899790733899997
ACH-000013,-0.40152228971799997
ACH-000014,0.011885547095099999
ACH-000015,-0.19208440630600002
ACH-000017,-0.00012692140047799996
ACH-000018,-0.0431353157137
ACH-000019,-0.271770275199
ACH-000021,-0.0355221968815
ACH-000022,-0.07764768947480001
ACH-000025,-0.20506051357400001
ACH-000028,-0.16892049439800003
ACH-000030,-0.192216681488
ACH-000035,-0.222538068673
ACH-000036,-0.167923938323
ACH-000037,-0.261513912869
ACH-000039,-0.169114349692
ACH-000040,-0.30940870095
ACH-000041,-0.304227232946
ACH-000042,-0.105108249615
ACH-000045,-0.0614685957247
ACH-000047,-0.252601518267
ACH-000052,-0.199600643429
ACH-000053,-0.04416075967130001
ACH-000054,-0.0902978189546
ACH-000055,-0.005678032603459999
ACH-000060,-0.302323412635
ACH-000067,-0.120980498952
ACH-000070,0.0644206111997
ACH-000075,-0.10892688082699999
ACH-000078,-0.164705529459
ACH-000082,-0.320462722522
ACH-000085,-0.25342874631400003
ACH-000086,-0.185493836488
ACH-000087,-0.396228995835
ACH-000092,-0.414317821895
ACH-000095,-0.23201078581999998
ACH-000097,-0.22461044606999997
ACH-000098,-0.19569718245999998
ACH-000099,-0.194167817863
ACH-000108,-0.247356902452
ACH-000113,-0.0649590219106
ACH-000115,-0.00917725658027
ACH-000116,-0.24347293149399998
ACH-000118,-0.179285955522
ACH-000120,-0.228565786904
ACH-000123,-0.330865848255
ACH-000127,-0.20700904657299998
ACH-000128,-0.156374051535
ACH-000132,-0.381022658504
ACH-000133,-0.22341881714499998
ACH-000137,-0.19186270571699998
ACH-000138,-0.249726833609
ACH-000142,-0.133691636644
ACH-000143,0.000639064673329
ACH-000146,-0.145594552416
ACH-000148,-0.178433149472
ACH-000150,-0.285091431442
ACH-000152,-0.12205984867000001
ACH-000153,-0.05167710997449999
ACH-000159,-0.127722404687
ACH-000160,-0.163111131027
ACH-000163,0.190554268297
ACH-000167,-0.274150343361
ACH-000168,0.159281846543
ACH-000169,-0.226264003997
ACH-000178,-0.0601441549505
ACH-000182,-0.145103754277
ACH-000183,-0.17272638705200002
ACH-000188,-0.0635716852158
ACH-000189,-0.204945821021
ACH-000190,-0.0326572810616
ACH-000198,-0.26470511095800003
ACH-000204,-0.53469228242
ACH-000206,-0.0279001821731
ACH-000207,0.06717299227199999
ACH-000211,-0.07975449821000001
ACH-000215,-0.209319044382
ACH-000221,-0.26811845522100003
ACH-000222,-0.008195974182159999
ACH-000223,-0.054090955988
ACH-000226,-0.20632804005
ACH-000227,-0.325216409724
ACH-000228,-0.11818525383400001
ACH-000231,-0.10923532072
ACH-000232,-0.12989673180199998
ACH-000233,0.034490670205599996
ACH-000234,-0.131919256889
ACH-000235,-0.149427239391
ACH-000237,-0.20565675982999998
ACH-000238,-0.0925192001937
ACH-000243,-0.13960873853800002
ACH-000244,-0.217700981889
ACH-000246,-0.20366440895799998
ACH-000248,-0.131183343512
ACH-000250,-0.14580574079800002
ACH-000251,-0.0836269960775
ACH-000253,-0.14563121805
ACH-000255,-0.155118600898
ACH-000256,-0.32931967545699997
ACH-000257,0.0271324714023
ACH-000258,-0.289902200228
ACH-000259,-0.15783222297399999
ACH-000260,-0.218055857015
ACH-000261,-0.230975251892
ACH-000262,0.101728449228
ACH-000263,-0.321718612456
ACH-000264,-0.0843055769784
ACH-000265,-0.250170414923
ACH-000266,-0.11471381159600001
ACH-000272,-0.43758042218000004
ACH-000273,-0.10360866649299999
ACH-000274,-0.27049765183
ACH-000277,-0.19564510324999998
ACH-000278,-0.254491365596
ACH-000279,-0.0879040041148
ACH-000280,-0.20084701398899998
ACH-000281,0.0446531207082
ACH-000288,-0.28191604138799997
ACH-000291,-0.22051160230500003
ACH-000293,-0.363525357707
ACH-000294,-0.07869407273710001
ACH-000295,-0.258378421456
ACH-000296,-0.22630904315499997
ACH-000302,-0.23127449741099998
ACH-000304,-0.232329375137
ACH-000307,-0.158357900523
ACH-000308,-0.07881045943960001
ACH-000310,-0.28142319959
ACH-000311,-0.16975935682
ACH-000312,-0.233301649701
ACH-000315,0.06582944114969999
ACH-000316,-0.339063711538
ACH-000317,-0.250800680313
ACH-000318,-0.260464483902
ACH-000319,-0.139829462099
ACH-000320,-0.27465812117
ACH-000322,-0.145700685523
ACH-000323,-0.375941310399
ACH-000324,-0.252008056153
ACH-000329,-0.187451768589
ACH-000330,-0.191893054401
ACH-000331,-0.155349927922
ACH-000332,-0.320447181546
ACH-000334,-0.13409316843900002
ACH-000335,-0.11099057553200001
ACH-000336,-0.0851359213692
ACH-000337,-0.172628113101
ACH-000339,-0.08236149503210001
ACH-000341,-0.31818358049400003
ACH-000348,-0.0033044041697399998
ACH-000350,0.0281723495932
ACH-000352,-0.20049783077599997
ACH-000356,-0.267970987888
ACH-000361,-0.336843642233
ACH-000362,-0.209991139752
ACH-000363,-0.249893639734
ACH-000364,-0.33944434125100004
ACH-000365,-0.202826429912
ACH-000366,-0.100221458258
ACH-000368,-0.116460482861
ACH-000374,-0.118438007424
ACH-000375,-0.216145367582
ACH-000376,-0.298500342629
ACH-000381,-0.19083950959600002
ACH-000383,-0.245941384708
