,POMP (51371)
ACH-000004,-0.23663248794599998
ACH-000007,-0.09095995759580001
ACH-000009,-0.11925514228800001
ACH-000011,-0.234054436843
ACH-000012,-0.266383265981
ACH-000013,-0.311958055653
ACH-000014,-0.202576623756
ACH-000015,-0.277610945334
ACH-000017,-0.308241017478
ACH-000018,-0.145496135256
ACH-000019,-0.441528448279
ACH-000021,-0.197707417463
ACH-000022,-0.09231807803610001
ACH-000025,-0.364519149502
ACH-000028,-0.0366719315028
ACH-000030,-0.236102765643
ACH-000035,-0.26852714080699996
ACH-000036,-0.18156140226
ACH-000037,-0.212773228162
ACH-000039,-0.0020326413175699998
ACH-000040,-0.449342907415
ACH-000041,-0.15032032168
ACH-000042,-0.369040092478
ACH-000045,-0.5607010111
ACH-000047,-0.38280691456200006
ACH-000052,-0.031896209707900004
ACH-000053,-0.324689146107
ACH-000054,-0.402741480661
ACH-000055,0.12526102457
ACH-000060,-0.557563881194
ACH-000067,-0.282928362835
ACH-000070,-0.10028220911800001
ACH-000075,-0.551661770918
ACH-000078,-0.10148123118699999
ACH-000082,-0.279393563088
ACH-000085,-0.442842676947
ACH-000086,-0.32298460784899996
ACH-000087,0.00228253754339
ACH-000092,-0.274584827121
ACH-000095,-0.36203804785
ACH-000097,-0.274538496126
ACH-000098,-0.08113248938289999
ACH-000099,-0.20268592958099999
ACH-000108,-0.11823001397199999
ACH-000113,-0.296321234335
ACH-000115,-0.200730845313
ACH-000116,-0.190505439276
ACH-000118,-0.19904730176
ACH-000120,-0.128048585924
ACH-000123,-0.37433014884300003
ACH-000127,-0.339877386176
ACH-000128,-0.036716241291099995
ACH-000132,-0.380119580906
ACH-000133,-0.0292754283154
ACH-000137,-0.119681288486
ACH-000138,-0.298962593546
ACH-000142,-0.412759186628
ACH-000143,-0.41716537645499996
ACH-000146,-0.293533691872
ACH-000148,-0.205866493531
ACH-000150,-0.37877457910400003
ACH-000152,-0.427034837997
ACH-000153,-0.198597916027
ACH-000159,-0.177956242808
ACH-000160,-0.141192027292
ACH-000163,-0.192376093891
ACH-000167,0.8068146421100001
ACH-000168,-0.07754861951169999
ACH-000169,-0.556276059432
ACH-000178,-0.08820219148389999
ACH-000182,-0.285965525585
ACH-000183,-0.14272147470899998
ACH-000188,-0.215651739694
ACH-000189,0.101998464045
ACH-000190,-0.17589328913600003
ACH-000198,-0.41899890507299997
ACH-000204,-0.24120811804900003
ACH-000206,-0.394537756409
ACH-000207,-0.459315074276
ACH-000211,-0.350334434982
ACH-000215,-0.183478158886
ACH-000221,-0.382493595421
ACH-000222,-0.315085103806
ACH-000223,-0.390433719395
ACH-000226,-0.131659056616
ACH-000227,-0.252434403736
ACH-000228,-0.0748362944258
ACH-000231,-0.421076499497
ACH-000232,-0.506593857788
ACH-000233,-0.151770282586
ACH-000234,-0.424548013379
ACH-000235,-0.178316342894
ACH-000237,-0.172754787454
ACH-000238,-0.213299855522
ACH-000243,-0.144772385505
ACH-000244,-0.771726786969
ACH-000246,-0.198308464883
ACH-000248,-0.194308333696
ACH-000250,-0.347730876959
ACH-000251,-0.44193903001699997
ACH-000253,-0.07980719114410001
ACH-000255,-0.445928490458
ACH-000256,-0.126730249128
ACH-000257,0.06506283440840001
ACH-000258,-0.42532573532799994
ACH-000259,-0.228010408603
ACH-000260,-0.34741928016900003
ACH-000261,-0.389976452513
ACH-000262,-0.0798716458005
ACH-000263,-0.360586773002
ACH-000264,-0.338437342312
ACH-000265,-0.209977886039
ACH-000266,-0.10821288744999999
ACH-000272,-0.287454894153
ACH-000273,-0.43346835755
ACH-000274,-0.276198551306
ACH-000277,-0.348714982097
ACH-000278,-0.306085660128
ACH-000279,-0.192581919584
ACH-000280,-0.276165551001
ACH-000281,-0.08745693037139998
ACH-000288,-0.264852167411
ACH-000291,-0.226847634024
ACH-000293,-0.317009020197
ACH-000294,0.0236824258979
ACH-000295,-0.288241193242
ACH-000296,-0.164672109474
ACH-000302,-0.059722492529600005
ACH-000304,-0.49199254535099995
ACH-000307,-0.427022769344
ACH-000308,-0.256560607325
ACH-000310,-0.310505448636
ACH-000311,-0.19400576507
ACH-000312,-0.223401516227
ACH-000315,-0.462420792812
ACH-000316,-0.169600237003
ACH-000317,-0.384817834674
ACH-000318,-0.252156582169
ACH-000319,-0.351891285914
ACH-000320,-0.274099999939
ACH-000322,-0.031341337462299994
ACH-000323,-0.427724317978
ACH-000324,-0.380836316254
ACH-000329,-0.141593805495
ACH-000330,-0.350130110789
ACH-000331,-0.458435858376
ACH-000332,-0.212965924757
ACH-000334,-0.357134075281
ACH-000335,-0.552123821608
ACH-000336,-0.17128278846099998
