,HMBOX1 (79618)
ACH-000004,0.226319797135
ACH-000007,0.23414077143000003
ACH-000009,0.23436405257399998
ACH-000011,0.326114700515
ACH-000012,0.152615459155
ACH-000013,0.355541545365
ACH-000014,0.300953303686
ACH-000015,0.33863815272799996
ACH-000017,0.10112663923599999
ACH-000018,0.463220909162
ACH-000019,0.297249450054
ACH-000021,0.31858724695999996
ACH-000022,0.272430773558
ACH-000025,0.251856028659
ACH-000028,0.20333411180799998
ACH-000030,0.35525421653399997
ACH-000035,0.242588481875
ACH-000036,0.401217078019
ACH-000037,0.277011186965
ACH-000039,0.35973423218500006
ACH-000040,0.206869584781
ACH-000041,0.346812812564
ACH-000042,0.243183041132
ACH-000045,0.458439147656
ACH-000047,0.261816165964
ACH-000052,0.322476568946
ACH-000053,0.309805254483
ACH-000054,0.338255310252
ACH-000055,0.388940301565
ACH-000060,0.20957862375300002
ACH-000067,0.36689023188299996
ACH-000070,0.296207557655
ACH-000075,0.291469462512
ACH-000078,-0.04460540724880001
ACH-000082,0.307981678378
ACH-000085,0.158958708606
ACH-000086,0.268910790703
ACH-000087,0.676721047198
ACH-000092,0.333059630298
ACH-000095,0.274197959542
ACH-000097,0.35470959741700003
ACH-000098,0.319831817313
ACH-000099,0.144482238825
ACH-000108,0.40082779434199994
ACH-000113,0.33650897635899996
ACH-000115,0.17607052742100002
ACH-000116,0.285614417982
ACH-000118,0.208468621054
ACH-000120,0.47879276549099997
ACH-000123,0.380369904425
ACH-000127,0.276270439037
ACH-000128,0.415831984895
ACH-000132,0.304110356776
ACH-000133,0.330068900219
ACH-000137,0.179212739668
ACH-000138,0.319969714057
ACH-000142,0.484974437135
ACH-000143,0.288573007116
ACH-000146,0.219327129782
ACH-000148,0.312129119949
ACH-000150,0.282853903968
ACH-000152,0.296921585203
ACH-000153,0.471419208734
ACH-000159,0.307290990694
ACH-000160,0.341249595403
ACH-000163,0.180661100686
ACH-000167,0.181494533064
ACH-000168,0.22906792058800002
ACH-000169,0.14784021610200002
ACH-000178,0.276124448623
ACH-000182,0.38083544270400005
ACH-000183,0.167322022758
ACH-000188,0.267442946225
ACH-000189,0.665354635574
ACH-000190,0.38024549299500005
ACH-000198,0.269496528687
ACH-000204,0.294536913985
ACH-000206,0.256339283275
ACH-000207,0.178836451095
ACH-000211,0.23153631767900001
ACH-000215,0.26531446353300003
ACH-000221,0.279438957461
ACH-000222,0.141101697511
ACH-000223,0.29889311151500003
ACH-000226,0.318304941285
ACH-000227,0.299080225472
ACH-000228,0.160104124287
ACH-000231,0.403682096122
ACH-000232,0.350920376464
ACH-000233,0.30348747623399996
ACH-000234,0.24980563454100002
