,HID1 (283987)
ACH-000004,-0.15137166791200002
ACH-000007,-0.106272064322
ACH-000009,-0.498594292804
ACH-000011,-0.227500623002
ACH-000012,-0.274951158405
ACH-000013,-0.047246749822300003
ACH-000014,-0.128513580238
ACH-000015,-0.0026798917651100003
ACH-000017,-0.18271465837200002
ACH-000018,-0.15984967863900001
ACH-000019,-0.365839412991
ACH-000021,-0.16816363417599997
ACH-000022,-0.22000472039299998
ACH-000025,-0.0120503829663
ACH-000028,-0.00381713172908
ACH-000030,-0.12503177600600002
ACH-000035,-0.272656778656
ACH-000036,-0.0425928046307
ACH-000037,-0.039311357587199995
ACH-000039,-0.590496525641
ACH-000040,-0.0730293529035
ACH-000041,-0.287788675878
ACH-000042,-0.27780057681299997
ACH-000045,-0.35271805962499997
ACH-000047,-0.0198913524838
ACH-000052,-0.037077468554500004
ACH-000053,-0.244031658179
ACH-000054,-0.14447967166300002
ACH-000055,-0.0933383403007
ACH-000060,-0.307332419538
ACH-000067,-0.25955604078600003
ACH-000070,-0.09805927105139998
ACH-000075,0.040643594060999995
ACH-000078,-0.47992428431999995
ACH-000082,-0.10441107147800001
ACH-000085,-0.207396852395
ACH-000086,-0.238942171739
ACH-000087,-0.207259830951
ACH-000092,-0.0847539868626
ACH-000095,-0.188361216828
ACH-000097,-0.0458408264141
ACH-000098,-0.179378590031
ACH-000099,-0.169993062938
ACH-000108,-0.148541261245
ACH-000113,-0.18365206919799998
ACH-000115,-0.127501366107
ACH-000116,-0.05615228261030001
ACH-000118,-0.101402148454
ACH-000120,-0.40219674700900004
ACH-000123,-0.038256978154000004
ACH-000127,-0.289753739809
ACH-000128,-0.212234437341
ACH-000132,-0.25022672221299996
ACH-000133,-0.172192187903
ACH-000137,-0.0572347182102
ACH-000138,-0.36792101718599995
ACH-000142,-0.275410582965
ACH-000143,0.08010707474710001
ACH-000146,-0.16733824638800002
ACH-000148,-0.241901969327
ACH-000150,-0.37751949721100003
ACH-000152,-0.23553049915999996
ACH-000153,-0.213113954095
ACH-000159,-0.234641006445
ACH-000160,-0.151241851299
ACH-000163,-0.24205879904
ACH-000167,0.078760587805
ACH-000168,-0.30145629887200004
ACH-000169,-0.33300597551399996
ACH-000178,-0.108949343075
ACH-000182,-0.0108730184098
ACH-000183,-0.15502801652999998
ACH-000188,-0.34817145704999997
ACH-000189,-0.18194802266399998
ACH-000190,-0.14029945198
ACH-000198,-0.305855493885
ACH-000204,-0.35327138027099997
ACH-000206,-0.200087151651
ACH-000207,-0.13601788230599998
ACH-000211,-0.26087169887899997
ACH-000215,-0.137999205116
ACH-000221,-0.237508450013
ACH-000222,-0.46419636229500005
ACH-000223,0.065763253462
ACH-000226,-0.05970459416619999
ACH-000227,0.032677714319599996
ACH-000228,0.00190189965596
ACH-000231,-0.123402084289
