,PAOX (196743)
ACH-000004,-0.024361081505400003
ACH-000007,0.012029320610200001
ACH-000009,-0.06968939884860001
ACH-000011,-0.34942900228100005
ACH-000012,-0.089823742428
ACH-000013,0.00508660912814
ACH-000014,-0.0381097627769
ACH-000015,-0.0405662273027
ACH-000017,-0.0674060219044
ACH-000018,-0.017062269994099998
ACH-000019,-0.42464594343400003
ACH-000021,-0.007665634590020001
ACH-000022,-0.0325704839681
ACH-000025,-0.07615203040889999
ACH-000028,-0.13781398607999998
ACH-000030,-0.19715125844099998
ACH-000035,-0.08189540541139999
ACH-000036,-0.0015652318577799999
ACH-000037,-0.331101821003
ACH-000039,-0.013925755545000001
ACH-000040,-0.193889821604
ACH-000041,-0.129151226682
ACH-000042,-0.19620313927400002
ACH-000045,-0.224895930559
ACH-000047,-0.17856910491300002
ACH-000052,-0.111006450689
ACH-000053,0.00851032867519
ACH-000054,-0.147431768027
ACH-000055,0.00765344170642
ACH-000060,-0.21990763315
ACH-000067,-0.215433437064
ACH-000070,-0.0680319916839
ACH-000075,0.062462593371099995
ACH-000078,-0.132361868168
ACH-000082,-0.16439884718
ACH-000085,-0.372146930415
ACH-000086,-0.00283814282297
ACH-000087,-0.09452007268899999
ACH-000092,-0.151643937993
ACH-000095,-0.08863240694769998
ACH-000097,-0.0837222860688
ACH-000098,-0.136029351645
ACH-000099,-0.22474637647300003
ACH-000108,-0.08522910640239999
ACH-000113,-0.157471106842
ACH-000115,0.057944587258900004
ACH-000116,0.021320838303799997
ACH-000118,-0.0455266440563
ACH-000120,-0.11250858034000003
ACH-000123,0.0352306952449
ACH-000127,-0.0774793522133
ACH-000128,-0.0989975290854
ACH-000132,-0.170305544329
ACH-000133,0.0119702507415
ACH-000137,-0.235384178996
ACH-000138,-0.05067211414469999
ACH-000142,0.0566744200663
ACH-000143,-0.19879463211399998
ACH-000146,-0.025685305675599998
ACH-000148,-0.16873623021099998
ACH-000150,-0.22852780774300002
ACH-000152,-0.211425722421
ACH-000153,0.059627487465599996
ACH-000159,-0.162908126865
ACH-000160,-0.158754459668
ACH-000163,-0.0592362583253
ACH-000167,-0.0143453910531
ACH-000168,-0.113771151247
ACH-000169,-0.278666829495
ACH-000178,-0.11115790749299999
ACH-000182,-0.051722254679600004
ACH-000183,-0.35358324134900004
ACH-000188,-0.112077272408
ACH-000189,-0.12114951172499999
ACH-000190,0.056670235889
ACH-000198,-0.137127853157
ACH-000204,-0.25340386051999997
ACH-000206,-0.44151960040700006
ACH-000207,-0.302282962069
ACH-000211,-0.0455857828547
ACH-000215,-0.130656041582
ACH-000221,-0.0934757617136
ACH-000222,-0.08149375418430001
ACH-000223,-0.20019693832899998
ACH-000226,-0.128387937137
ACH-000227,-0.131291882807
ACH-000228,-0.164677957711
ACH-000231,-0.275035050385
ACH-000232,-0.122101237492
ACH-000233,0.0273743576554
ACH-000234,-0.159839664135
ACH-000235,-0.0611237341748
ACH-000237,-0.115000385727
ACH-000238,-0.158667890448
ACH-000243,0.0238154093498
ACH-000244,-0.222386430509
ACH-000246,-0.041280767221499995
ACH-000248,-0.0672488921633
ACH-000250,-0.129861756494
ACH-000251,-0.209098975935
ACH-000253,-0.354221426687
ACH-000255,-0.08953419392650001
ACH-000256,0.0492546036967
ACH-000257,-0.0444622617662
ACH-000258,-0.338841678571
ACH-000259,-0.059073393460099995
ACH-000260,-0.230008024294
ACH-000261,-0.198991735226
ACH-000262,-0.38841694248499997
ACH-000263,-0.0764472078535
ACH-000264,-0.104432241111
ACH-000265,-0.196153800114
ACH-000266,-0.133021253083
ACH-000272,-0.12469386861300001
ACH-000273,-0.04317915906909999
ACH-000274,-0.148824308547
ACH-000277,-0.222882975121
ACH-000278,-0.161009958097
ACH-000279,-0.08198089423610001
ACH-000280,-0.00641079611242
ACH-000281,-0.36270180613799996
ACH-000288,-0.257011882526
ACH-000291,-0.116764606568
ACH-000293,-0.0511210040591
ACH-000294,-0.110891795714
ACH-000295,-0.0505671002133
ACH-000296,-0.062361529399
ACH-000302,-0.16629958615499998
ACH-000304,0.0752771050513
ACH-000307,-0.025657275435299998
ACH-000308,-0.0671354097749
ACH-000310,-0.20837807531
ACH-000311,-0.135476487886
ACH-000312,-0.006618250829029999
ACH-000315,0.058224130904699994
ACH-000316,-0.135714825904
ACH-000317,-0.258663754845
ACH-000318,-0.0827328002859
ACH-000319,0.0154279005546
ACH-000320,-0.367522499435
ACH-000322,-0.102021805151
ACH-000323,-0.07899604533210002
ACH-000324,-0.13677884055700001
ACH-000329,-0.134706636588
ACH-000330,0.0498095766362
ACH-000331,-0.13915200385600002
ACH-000332,-0.163185072909
ACH-000334,0.037198741337
ACH-000335,0.012056404193599999
ACH-000336,-0.174708432564
ACH-000337,-0.107076807889
ACH-000339,-0.143274857762
ACH-000341,-0.09617014684689999
ACH-000348,-0.124771113921
ACH-000350,-0.26918378938799997
ACH-000352,-0.173027336444
ACH-000356,0.0401079757424
ACH-000361,-0.232434593258
ACH-000362,-0.133837375219
ACH-000363,-0.0857390251071
ACH-000364,-0.0674257007255
ACH-000365,0.024126374600900002
ACH-000366,-0.20972646139400003
ACH-000368,-0.0430707773272
ACH-000374,-0.0373724049046
ACH-000375,-0.118406712702
ACH-000376,-0.274264493315
ACH-000381,-0.006240696256960001
ACH-000383,-0.19888563079
ACH-000387,-0.205427747159
ACH-000389,0.0244389588497
ACH-000390,-0.10116383229699999
ACH-000393,-0.18118234428399999
ACH-000395,0.06255702347080001
ACH-000397,-0.18330930973999998
ACH-000401,0.105452426022
ACH-000402,-0.250664952341
ACH-000403,-0.199007377163
ACH-000404,0.43446258452200004
ACH-000406,-0.15334250341800001
ACH-000407,-0.157336874506
ACH-000408,-0.10825827314000001
ACH-000410,-0.0711946744702
ACH-000411,-0.156229353028
ACH-000414,-0.152174299736
ACH-000415,-0.0165150863706
ACH-000416,-0.188431693766
ACH-000420,-0.265740181375
