,SUN5 (140732)
ACH-000004,-0.283535607395
ACH-000007,-0.19762526063299998
ACH-000009,-0.321207091685
ACH-000011,-0.101533010817
ACH-000012,-0.202470568759
ACH-000013,-0.14577921061899998
ACH-000014,-0.199844674026
ACH-000015,-0.10967964489399999
ACH-000017,-0.157349858005
ACH-000018,-0.0992552947064
ACH-000019,-0.168561101881
ACH-000021,-0.408042120502
ACH-000022,-0.239308444831
ACH-000025,-0.20753321822999998
ACH-000028,-0.21258358286600001
ACH-000030,-0.370143917839
ACH-000035,-0.370380354419
ACH-000036,-0.316310941503
ACH-000037,-0.283099557093
ACH-000039,0.143338970054
ACH-000040,-0.135188703282
ACH-000041,-0.191865114124
ACH-000042,-0.47957993130500004
ACH-000045,-0.37594569435
ACH-000047,-0.238893807209
ACH-000052,-0.219243441521
ACH-000053,-0.34563675391500004
ACH-000054,-0.19189255181200002
ACH-000055,0.04809657897419999
ACH-000060,-0.222850974926
ACH-000067,-0.271509547309
ACH-000070,-0.115824605632
ACH-000075,-0.42157598493799997
ACH-000078,-0.02461075056
ACH-000082,-0.32077326665
ACH-000085,-0.06894896137239999
ACH-000086,-0.154794664911
ACH-000087,-0.0287900707081
ACH-000092,-0.259517492743
ACH-000095,-0.294634412909
ACH-000097,-0.18112599016800002
ACH-000098,-0.155730573526
ACH-000099,-0.300056608169
ACH-000108,-0.318876891085
ACH-000113,-0.161941309186
ACH-000115,-0.30405298217599996
ACH-000116,-0.283843452403
ACH-000118,-0.292389215132
ACH-000120,-0.276004695788
ACH-000123,-0.186964515869
ACH-000127,-0.297609399953
ACH-000128,-0.388891113793
ACH-000132,-0.458922810534
ACH-000133,-0.338978586088
ACH-000137,-0.330867582238
ACH-000138,-0.188648647559
ACH-000142,-0.183815032043
ACH-000143,-0.400418029876
ACH-000146,-0.242936463256
ACH-000148,-0.12204183245
ACH-000150,-0.138751584915
ACH-000152,-0.11701140039699999
ACH-000153,-0.152727979151
ACH-000159,-0.228643531867
ACH-000160,-0.062592770067
ACH-000163,-0.24688851089699998
ACH-000167,0.07002502621710001
ACH-000168,-0.345675346973
ACH-000169,-0.289264521473
ACH-000178,-0.0393721210328
ACH-000182,-0.35093011405100005
ACH-000183,-0.174510430568
ACH-000188,-0.29970321535100003
ACH-000189,-0.40899243934199997
ACH-000190,-0.110918726254
ACH-000198,-0.322704284126
ACH-000204,-0.288279765893
ACH-000206,-0.305989080819
ACH-000207,-0.43782373989600004
ACH-000211,-0.257530183453
ACH-000215,-0.34410341104099995
ACH-000221,-0.137983266536
ACH-000222,-0.291220246829
ACH-000223,-0.36765268674699997
ACH-000226,-0.24855149109900002
ACH-000227,-0.49810663303900005
ACH-000228,-0.316033560066
ACH-000231,-0.24414283358000002
ACH-000232,-0.287126465335
ACH-000233,-0.30769273112
ACH-000234,-0.5541805251349999
ACH-000235,-0.258557943962
ACH-000237,-0.343097171973
ACH-000238,0.00344423668437
ACH-000243,-0.299724735229
ACH-000244,-0.0455633334698
ACH-000246,-0.3066746827
ACH-000248,-0.220438175312
ACH-000250,-0.31629393846000003
ACH-000251,-0.400776729918
ACH-000253,-0.272029522921
ACH-000255,-0.455987907428
ACH-000256,-0.14989354786800002
ACH-000257,-0.32765465048000003
ACH-000258,-0.061518343590799995
ACH-000259,-0.332901713586
ACH-000260,-0.394819551326
ACH-000261,-0.325231829433
ACH-000262,-0.211203122216
ACH-000263,-0.18072433516
ACH-000264,-0.359728376875
ACH-000265,-0.220307687944
ACH-000266,-0.26109854462
ACH-000272,-0.448537836277
ACH-000273,-0.23301140087799999
ACH-000274,-0.392531840485
ACH-000277,-0.527039624366
ACH-000278,-0.32826083944
ACH-000279,-0.0582595470806
ACH-000280,-0.245800936679
ACH-000281,-0.130340185891
ACH-000288,-0.31708458466600004
ACH-000291,-0.290129719074
ACH-000293,-0.296194818143
ACH-000294,-0.0183013923971
ACH-000295,-0.38639744694300004
ACH-000296,-0.35677614994400003
ACH-000302,-0.281740183952
ACH-000304,-0.146193437078
ACH-000307,-0.241269306109
ACH-000308,-0.227704909048
ACH-000310,-0.14782967625399998
ACH-000311,-0.245315002931
ACH-000312,-0.353882037181
ACH-000315,-0.317718540437
ACH-000316,-0.206622564025
ACH-000317,-0.408579823923
ACH-000318,-0.246695293491
ACH-000319,-0.217352300378
ACH-000320,-0.575656898103
ACH-000322,-0.179488486556
ACH-000323,-0.223465054212
ACH-000324,-0.175243267619
ACH-000329,-0.33681496713299997
ACH-000330,-0.34429466736000003
ACH-000331,-0.183994816205
ACH-000332,-0.291331334585
ACH-000334,-0.167400929158
ACH-000335,-0.117383754148
ACH-000336,-0.340894265504
ACH-000337,-0.10552580321900001
ACH-000339,0.0169028384033
ACH-000341,-0.217965589789
ACH-000348,-0.194049269941
ACH-000350,-0.34919886841
ACH-000352,-0.362598172485
ACH-000356,-0.337071616906
ACH-000361,-0.31812854533
