,MAK16 (84549)
ACH-000004,-1.5450829934799999
ACH-000007,-1.7672508863499998
ACH-000009,-1.77438098773
ACH-000011,-1.75109694332
ACH-000012,-1.80764378637
ACH-000013,-1.5749534447600002
ACH-000014,-1.92146671996
ACH-000015,-1.70025881036
ACH-000017,-1.35474898981
ACH-000018,-1.7147603655399999
ACH-000019,-1.68318425335
ACH-000021,-1.5287481502899998
ACH-000022,-1.81197582907
ACH-000025,-1.8272563188900002
ACH-000028,-1.77461182225
ACH-000030,-1.6505859347299998
ACH-000035,-1.6624596364
ACH-000036,-1.59791554482
ACH-000037,-2.18575310334
ACH-000039,-1.55947548239
ACH-000040,-1.5740373847799998
ACH-000041,-1.49513300695
ACH-000042,-1.8827465887900001
ACH-000045,-1.53831354857
ACH-000047,-1.47296779104
ACH-000052,-1.4347572340799999
ACH-000053,-1.64398226836
ACH-000054,-1.50414558873
ACH-000055,-1.77600043133
ACH-000060,-1.6818032517100001
ACH-000067,-1.60896737868
ACH-000070,-2.03222904627
ACH-000075,-1.5622205783
ACH-000078,-1.93737356465
ACH-000082,-1.7903000241999998
ACH-000085,-1.6154399055000002
ACH-000086,-1.5862291506900001
ACH-000087,-1.77676595597
ACH-000092,-1.4321511100100002
ACH-000095,-1.77888199458
ACH-000097,-1.3845242806400002
ACH-000098,-1.87509809507
ACH-000099,-1.6464425114399999
ACH-000108,-1.92131010455
ACH-000113,-1.5043252771899998
ACH-000115,-1.40926207567
ACH-000116,-1.4079980677700001
ACH-000118,-1.62982404958
ACH-000120,-1.83430572005
ACH-000123,-1.62841326509
ACH-000127,-1.7404800786400003
ACH-000128,-1.78216584057
ACH-000132,-1.7463721233
ACH-000133,-1.4216902367700002
ACH-000137,-1.7331072980900002
ACH-000138,-1.7315480661700002
ACH-000142,-1.54635327895
ACH-000143,-1.7594421426099998
ACH-000146,-1.4752096331600002
ACH-000148,-1.5685686257799998
ACH-000150,-1.54097816761
ACH-000152,-1.6199671339500001
