,HYI (81888)
ACH-000004,-0.321800442616
ACH-000007,-0.0303220105771
ACH-000009,-0.534014815213
ACH-000011,-0.269376009221
ACH-000012,-0.309979977739
ACH-000013,-0.261362053662
ACH-000014,-0.262809673282
ACH-000015,-0.150096729203
ACH-000017,-0.39332212138000006
ACH-000018,-0.09280544317770001
ACH-000019,-0.196499620908
ACH-000021,-0.200615295123
ACH-000022,-0.13986095175899999
ACH-000025,-0.106611322447
ACH-000028,-0.31370916993299997
ACH-000030,-0.246170603094
ACH-000035,-0.291792310507
ACH-000036,-0.23181178623000004
ACH-000037,-0.371195392241
ACH-000039,-0.35393527651900003
ACH-000040,-0.435506746692
ACH-000041,-0.28905331846099996
ACH-000042,-0.235888037278
ACH-000045,-0.177859183717
ACH-000047,-0.08942248530089998
ACH-000052,-0.446239915783
ACH-000053,-0.24716195102699998
ACH-000054,-0.219218941494
ACH-000055,-0.5668970955120001
ACH-000060,-0.299094325081
ACH-000067,-0.24146979241099997
ACH-000070,-0.118248056799
ACH-000075,-0.239425955832
ACH-000078,-0.41491261769500004
ACH-000082,-0.205277879
ACH-000085,-0.300855750381
ACH-000086,-0.471281905842
ACH-000087,-0.195965791963
ACH-000092,-0.43922580920599996
ACH-000095,-0.226523945343
ACH-000097,-0.20134990459000002
ACH-000098,-0.36755371417800003
ACH-000099,-0.191515198413
ACH-000108,-0.485450282573
ACH-000113,-0.333472350657
ACH-000115,-0.304538075467
ACH-000116,-0.156761776983
ACH-000118,-0.291470172925
ACH-000120,-0.29016446986
ACH-000123,-0.0180977830503
ACH-000127,-0.203981865938
ACH-000128,-0.312899110778
ACH-000132,-0.30483834032900003
ACH-000133,-0.314267368956
ACH-000137,-0.57174040264
ACH-000138,-0.350199771042
ACH-000142,-0.351038915067
ACH-000143,-0.253960125709
ACH-000146,-0.6797380157699999
ACH-000148,-0.324495048253
ACH-000150,-0.508590722069
ACH-000152,-0.284532707978
ACH-000153,-0.38044901600500003
ACH-000159,-0.38266186678400005
ACH-000160,-0.267892337289
ACH-000163,-0.0512422625861
ACH-000167,-0.379415960596
ACH-000168,-0.18334439571699998
ACH-000169,-0.34230044311700003
ACH-000178,-0.129852686033
ACH-000182,-0.401699705606
ACH-000183,-0.363381252173
ACH-000188,-0.161447344858
ACH-000189,-0.307255694361
ACH-000190,-0.25030933090999996
ACH-000198,-0.10248758788699999
ACH-000204,-0.383195882152
ACH-000206,-0.18155356591299998
ACH-000207,-0.480629091476
ACH-000211,-0.0351033175272
ACH-000215,-0.232276244291
ACH-000221,-0.42417604159199995
ACH-000222,-0.368997020907
ACH-000223,-0.117902612361
ACH-000226,-0.164215292847
ACH-000227,-0.235729339798
ACH-000228,-0.0464234814898
ACH-000231,-0.320682124691
ACH-000232,-0.29131349038000004
ACH-000233,-0.11632524341499999
ACH-000234,-0.398674099886
ACH-000235,-0.27233722867
ACH-000237,-0.257477039651
ACH-000238,-0.35661234376
ACH-000243,-0.247568176067
ACH-000244,-0.116155290908
ACH-000246,-0.254140034128
ACH-000248,-0.36245196381300004
ACH-000250,-0.262220941286
ACH-000251,-0.46333311485600004
ACH-000253,-0.195027153151
ACH-000255,-0.34968516876199995
ACH-000256,-0.257535094415
ACH-000257,-0.039265733941000004
ACH-000258,-0.222907375381
ACH-000259,-0.233510955059
ACH-000260,-0.259093028141
ACH-000261,-0.191299804343
ACH-000262,-0.332083123333
ACH-000263,-0.216967148046
ACH-000264,-0.25430960244899997
ACH-000265,-0.132761660952
ACH-000266,-0.26644932559
ACH-000272,-0.38578944938500004
ACH-000273,-0.273222785074
ACH-000274,-0.284974243115
ACH-000277,-0.155047153882
ACH-000278,-0.12372698356699999
ACH-000279,-0.20656556916700003
ACH-000280,-0.387441140296
ACH-000281,-0.15747835959599998
ACH-000288,-0.208651311182
ACH-000291,-0.181401747626
ACH-000293,-0.24875565420600002
ACH-000294,-0.18981129331
ACH-000295,-0.11262939573799999
ACH-000296,-0.414417961653
ACH-000302,-0.22076868197299998
ACH-000304,-0.048199687235599996
ACH-000307,-0.36110890020900005
ACH-000308,-0.162457544066
ACH-000310,-0.227822533286
ACH-000311,-0.351037937476
ACH-000312,-0.32282220425700003
ACH-000315,-0.308980760006
ACH-000316,-0.30741031733199997
ACH-000317,-0.365907533848
ACH-000318,-0.290773352015
ACH-000319,-0.114011223317
ACH-000320,-0.58816091199
ACH-000322,-0.0460227112794
ACH-000323,-0.34805212365599997
ACH-000324,-0.263724269326
ACH-000329,-0.396344500256
ACH-000330,-0.140092567248
ACH-000331,-0.24212188637499998
ACH-000332,-0.266337368995
ACH-000334,-0.523537461672
ACH-000335,-0.25464516715700003
ACH-000336,0.17720358642499998
ACH-000337,-0.0749056260202
ACH-000339,-0.223253914832
ACH-000341,-0.0991908486995
ACH-000348,-0.346717332349
ACH-000350,-0.13220123607200002
ACH-000352,-0.225178029204
ACH-000356,-0.49501833265100004
ACH-000361,-0.225016438443
ACH-000362,-0.273722455006
ACH-000363,-0.12382329008
ACH-000364,-0.203301720957
ACH-000365,-0.101761545592
ACH-000366,-0.210368558112
ACH-000368,-0.47347256276
ACH-000374,-0.32059181168699996
ACH-000375,0.0487485171419
ACH-000376,-0.269437526782
ACH-000381,-0.248613781976
ACH-000383,-0.17946791029800002
ACH-000387,-0.32795937508
ACH-000389,-0.397344822366
ACH-000390,-0.42708693990999996
ACH-000393,-0.26279486911999994
ACH-000395,-0.119116076957
ACH-000397,-0.19792360209000004
ACH-000401,-0.062244678618300006
ACH-000402,-0.8709386979989999
ACH-000403,-0.41059585270300003
ACH-000404,-0.555117088981
ACH-000406,-0.182744515436
ACH-000407,-0.567889926874
ACH-000408,-0.490311278961
ACH-000410,-0.0336178657402
ACH-000411,-0.15292467432
ACH-000414,-0.32638629294
ACH-000415,-0.282523988912
ACH-000416,-0.115914341055
ACH-000420,0.0252886937249
ACH-000421,-0.18353297551699999
ACH-000424,-0.388330649706
ACH-000425,-0.276005217428
ACH-000426,-0.00374271696284
ACH-000427,-0.27707208394
ACH-000433,-0.195922483295
ACH-000436,-0.39212646160899994
ACH-000444,-0.41361150764
ACH-000445,-0.06299400395549999
ACH-000448,-0.232260064586
ACH-000450,-0.361987559162
ACH-000452,-0.25171811105700004
ACH-000454,-0.37897748236699996
ACH-000458,-0.26919408458099997
