,RELB (5971)
ACH-000004,-0.04375971945090001
ACH-000007,0.0331550268433
ACH-000009,-0.10072030983300001
ACH-000011,0.023590155117299998
ACH-000012,-0.01648689709
ACH-000013,-0.044028192615599995
ACH-000014,-0.184286698215
ACH-000015,-0.07042290490969999
ACH-000017,-0.182384363356
ACH-000018,-0.105783966518
ACH-000019,-0.366055278314
ACH-000021,-0.0801234854555
ACH-000022,-0.0950876726128
ACH-000025,-0.288522204765
ACH-000028,-0.19539554369399997
ACH-000030,-0.263023144363
ACH-000035,-0.0902548131703
ACH-000036,-0.25689155855
ACH-000037,-0.439293559732
ACH-000039,-0.007237231191359999
ACH-000040,-0.082639156131
ACH-000041,-0.0873059259092
ACH-000042,-0.16998639346500002
ACH-000045,0.10189991877
ACH-000047,-0.10762332319399999
ACH-000052,0.0488718165561
ACH-000053,0.0413625690289
ACH-000054,-0.11382088725400001
ACH-000055,-0.0842898194799
ACH-000060,-0.07648702346149999
ACH-000067,-0.48388934831299996
ACH-000070,0.0422249223478
ACH-000075,-0.154088429845
ACH-000078,-0.2002767014
ACH-000082,-0.145209524925
ACH-000085,-0.49053227518
ACH-000086,-0.143764956916
ACH-000087,-0.19067370895100003
ACH-000092,-0.228940857714
ACH-000095,-0.18955021237599998
ACH-000097,-0.07061360917389999
ACH-000098,-0.27457538028
ACH-000099,0.00730401513017
ACH-000108,-0.22453619429299998
ACH-000113,0.0265933939634
ACH-000115,-0.399358616482
ACH-000116,-0.09622817478260001
ACH-000118,0.00616978870059
ACH-000120,-0.011770752837
ACH-000123,-0.05380332311509999
ACH-000127,-0.125908265093
ACH-000128,-0.395618291358
ACH-000132,-0.051305319608699995
ACH-000133,-0.057343157164400006
ACH-000137,-0.554897943034
ACH-000138,-0.24217118184500003
ACH-000142,-0.25123384505
ACH-000143,-0.313416253649
ACH-000146,-0.00760315649915
ACH-000148,-0.20603339834800002
ACH-000150,-0.289260467245
ACH-000152,-0.168539820553
ACH-000153,-0.444013902476
ACH-000159,-0.140707362984
ACH-000160,-0.06912316365860001
ACH-000163,-0.129759875614
ACH-000167,0.12656256660999998
ACH-000168,-0.0982071897556
ACH-000169,-0.0269173924723
ACH-000178,-0.082471329199
ACH-000182,-0.223977200344
ACH-000183,-1.0058836876000001
ACH-000188,-0.12625192782
ACH-000189,-0.206164914182
ACH-000190,-0.0762795386508
ACH-000198,-0.10864779408500001
ACH-000204,-0.642936030991
ACH-000206,-0.122721893786
ACH-000207,0.0096450230848
ACH-000211,-0.154474355372
ACH-000215,-0.166977190892
ACH-000221,-0.21609933257599998
ACH-000222,-0.10097866363199999
ACH-000223,-0.032057388118
ACH-000226,-0.320475271134
ACH-000227,-0.23855009679699998
ACH-000228,-0.0903894194139
ACH-000231,-0.109806971731
ACH-000232,-0.11141900489
ACH-000233,-0.218631218552
ACH-000234,-0.069624249887
ACH-000235,-0.07323289433260001
