,KRTDAP (388533)
ACH-000004,-0.43225030971999995
ACH-000007,-0.49284382449299996
ACH-000009,-0.42198334407899996
ACH-000011,-0.236924023766
ACH-000012,-0.42420502553000006
ACH-000013,-0.558938098532
ACH-000014,-0.49053900550499996
ACH-000015,-0.3475332585
ACH-000017,-0.194279825957
ACH-000018,-0.21432011531
ACH-000019,-0.240570046194
ACH-000021,-0.5068829859
ACH-000022,-0.542454491662
ACH-000025,-0.357959962612
ACH-000028,-0.31416247116900003
ACH-000030,-0.466081287663
ACH-000035,-0.324391060197
ACH-000036,-0.249920508865
ACH-000037,-0.489198768416
ACH-000039,-0.36341209915
ACH-000040,-0.40937249828100003
ACH-000041,-0.468639589107
ACH-000042,-0.331014309429
ACH-000045,-0.315776075993
ACH-000047,-0.399134354204
ACH-000052,-0.853089805574
ACH-000053,-0.465286100775
ACH-000054,-0.308977112933
ACH-000055,-0.552669909973
ACH-000060,-0.312752720854
ACH-000067,-0.40207659538199997
ACH-000070,-0.0474688189223
ACH-000075,-0.73283934162
ACH-000078,-0.587659645296
ACH-000082,-0.60540567014
ACH-000085,-0.344734132254
ACH-000086,-0.291500075724
ACH-000087,-0.5215055629850001
ACH-000092,-0.637938298006
ACH-000095,-0.41783923733499995
ACH-000097,-0.47385959876999995
ACH-000098,-0.463255483366
ACH-000099,-0.37216762244199997
ACH-000108,-0.286287861074
ACH-000113,-0.49836434452600004
ACH-000115,-0.321423852391
ACH-000116,-0.329328341337
ACH-000118,-0.243915491354
ACH-000120,-0.42999182684500004
ACH-000123,-0.349427141739
ACH-000127,-0.187934826996
ACH-000128,-0.217185275007
ACH-000132,-0.448848318473
ACH-000133,-0.402190623761
ACH-000137,-0.607200352402
ACH-000138,-0.38174567788099995
ACH-000142,-0.253600732777
ACH-000143,-0.401378411949
ACH-000146,-0.23834086795
ACH-000148,-0.21394242452999998
ACH-000150,-0.326694348442
ACH-000152,-0.382604600942
ACH-000153,-0.723056048691
ACH-000159,-0.160117081533
ACH-000160,-0.353529783272
ACH-000163,-0.2635373673
ACH-000167,-0.451086801803
ACH-000168,-0.240025279903
ACH-000169,-0.226257638605
ACH-000178,-0.204175061004
ACH-000182,-0.608753097897
ACH-000183,-0.38139904861
ACH-000188,-0.574455551358
ACH-000189,-0.0358628443704
ACH-000190,-0.47330122853699996
ACH-000198,-0.267783084116
ACH-000204,-0.17148057585299997
ACH-000206,-0.475783509261
ACH-000207,-0.363767952735
ACH-000211,-0.37462613058899996
ACH-000215,-0.29331451328
ACH-000221,-0.406597207795
ACH-000222,-0.188110815264
ACH-000223,-0.48755391259499997
ACH-000226,-0.494990669021
ACH-000227,-0.679869664339
ACH-000228,-0.22587888553100002
ACH-000231,-0.16385419400100001
ACH-000232,-0.330676225561
ACH-000233,-0.15095394924799999
ACH-000234,-0.297023422371
ACH-000235,-0.41069323399999996
ACH-000237,-0.35793130878
ACH-000238,-0.393040116198
ACH-000243,-0.30522382666
ACH-000244,-0.395710054385
ACH-000246,-0.341432229764
ACH-000248,-0.27089891865
ACH-000250,-0.333830320752
ACH-000251,-0.7318258922930001
ACH-000253,-0.382162477484
ACH-000255,-0.431285694884
ACH-000256,-0.496595896492
ACH-000257,-0.414751866941
ACH-000258,-0.272599706146
ACH-000259,-0.378807225312
ACH-000260,-0.27155807406599997
ACH-000261,-0.498396914305
ACH-000262,-0.270557397082
ACH-000263,-0.29277167179200003
ACH-000264,-0.312395060171
ACH-000265,-0.17184897985199998
ACH-000266,-0.40937216006899996
ACH-000272,-0.373516575083
ACH-000273,-0.25214364409400003
ACH-000274,-0.358524444937
ACH-000277,-0.27642688649
ACH-000278,-0.31228262720100003
ACH-000279,-0.263009893758
ACH-000280,-0.598923167721
ACH-000281,-0.414369347627
ACH-000288,-0.437666319604
ACH-000291,-0.49320401459700003
ACH-000293,-1.0559982887200001
ACH-000294,-0.500740736172
ACH-000295,-0.16186434801400001
ACH-000296,-0.319576710602
ACH-000302,-0.5212268376100001
ACH-000304,-0.491210662484
ACH-000307,-0.288830878106
ACH-000308,-0.562157578564
ACH-000310,-0.403885451479
ACH-000311,-0.34523331196199997
ACH-000312,-0.35122127738200004
ACH-000315,-0.475903024886
ACH-000316,-0.011895385515900001
ACH-000317,-0.197610225159
ACH-000318,-0.769108733335
ACH-000319,-0.206104419219
ACH-000320,-0.198646765438
ACH-000322,-0.37703364472900003
ACH-000323,-0.335811844099
ACH-000324,-0.484362497055
ACH-000329,-0.261293467382
ACH-000330,-0.500929373817
ACH-000331,-0.313676209499
ACH-000332,-0.280041561083
ACH-000334,-0.72050719789
ACH-000335,-0.38893401553199997
ACH-000336,-0.405110729735
ACH-000337,-0.45054506342
ACH-000339,-0.372199766875
ACH-000341,-0.583668358012
ACH-000348,-0.278700545221
ACH-000350,-0.255573191072
ACH-000352,-0.275879021573
ACH-000356,-0.33500902481
ACH-000361,-0.49848354825400004
ACH-000362,-0.48513563477899996
ACH-000363,-0.383460259051
ACH-000364,-0.46004310519599995
ACH-000365,-0.347154823165
ACH-000366,-0.391689576693
ACH-000368,-0.26180598867
ACH-000374,-0.277817039945
ACH-000375,-0.534606761318
ACH-000376,-0.42303185736500004
ACH-000381,-0.302903696272
ACH-000383,-0.49458152696099994
ACH-000387,-0.384311718464
ACH-000389,-0.311216899549
ACH-000390,-0.398217719595
ACH-000393,-0.38254151098800004
ACH-000395,-0.567245772858
ACH-000397,-0.50868706302
ACH-000401,-0.248149171277
ACH-000402,0.131473673917
ACH-000403,-0.512168951331
ACH-000404,-0.611736036154
ACH-000406,-0.301419957281
ACH-000407,-0.574216822384
ACH-000408,-0.028259244079800003
ACH-000410,-0.24562481545
ACH-000411,-0.357126103631
ACH-000414,-0.388400459012
ACH-000415,-0.397830924494
ACH-000416,-0.120535800497
ACH-000420,-0.35575235497900004
ACH-000421,-0.260296844851
ACH-000424,-0.129842146283
ACH-000425,-0.20668789899
ACH-000426,-0.5941499659030001
ACH-000427,-0.484272354534
ACH-000433,-0.224603945294
ACH-000436,-0.38644767115900003
ACH-000444,-0.267586332129
ACH-000445,-0.348179980723
ACH-000448,-0.46588661052
ACH-000450,-0.335334184101
ACH-000452,-0.239108806908
ACH-000454,-0.48276216164700003
ACH-000458,-0.560388787906
ACH-000459,-0.390841839684
ACH-000460,-0.44321002469899995
ACH-000461,-0.225744117394
ACH-000463,-0.101690210207
ACH-000464,-0.490651251505
ACH-000466,-0.283529990896
ACH-000467,-0.310716252326
ACH-000468,-0.3139052163
ACH-000469,-0.43496120115000003
ACH-000470,-0.547504858188
ACH-000471,-0.252979554144
ACH-000472,-0.369765456383
ACH-000473,-0.436127332841
ACH-000475,-0.519093213572
ACH-000476,-0.36757296604999995
ACH-000477,-0.09900781569049999
ACH-000480,-0.572755213167
ACH-000481,-0.40984249575099996
ACH-000483,-0.323224252502
ACH-000484,-0.330317865874
ACH-000485,-0.47166888598000006
ACH-000486,-0.5925494417270001
ACH-000487,-0.279141564905
ACH-000488,-0.31325737995
ACH-000490,-0.503009575708
