,SEZ6L (23544)
ACH-000004,0.171371248931
ACH-000007,0.024944719259200002
ACH-000009,0.240797391739
ACH-000011,0.43522161864500003
ACH-000012,0.269286054747
ACH-000013,0.249113548756
ACH-000014,0.136752617913
ACH-000015,0.176939357373
ACH-000017,0.207336294902
ACH-000018,0.26139893431600003
ACH-000019,0.190056160617
ACH-000021,0.129989429299
ACH-000022,0.210699815884
ACH-000025,0.11603525120300001
ACH-000028,-0.05305162689830001
ACH-000030,0.280322704415
ACH-000035,0.0456983204635
ACH-000036,0.189872438649
ACH-000037,0.17796635224399998
ACH-000039,0.187329172345
ACH-000040,0.27557150567099997
ACH-000041,0.16008808490999998
ACH-000042,-0.195113765893
ACH-000045,0.42467359086199996
ACH-000047,0.31874542089200003
ACH-000052,0.19373657385600002
ACH-000053,0.25308387612
ACH-000054,0.316805182948
ACH-000055,0.371883777165
ACH-000060,0.0516436664442
ACH-000067,0.16788971928500002
ACH-000070,-0.06639293317060001
ACH-000075,0.39110598322800005
ACH-000078,0.41615391837099996
ACH-000082,0.349255474109
ACH-000085,0.357797942152
ACH-000086,0.4840139704
ACH-000087,0.24593973810800002
ACH-000092,0.32492435009799997
ACH-000095,0.348804272353
ACH-000097,0.161234313013
ACH-000098,0.131537658358
ACH-000099,0.22700357761700002
ACH-000108,0.1693171873
ACH-000113,0.0717591731704
ACH-000115,0.402809364934
ACH-000116,0.41855893308799996
ACH-000118,0.24336079067400002
ACH-000120,0.2418239409
ACH-000123,0.24190226059300002
ACH-000127,0.307952718087
ACH-000128,0.140610847496
ACH-000132,0.112248987207
ACH-000133,0.25023304157
ACH-000137,0.269155687955
ACH-000138,0.272183218944
ACH-000142,0.175708307805
ACH-000143,0.344916103452
ACH-000146,0.192152380414
ACH-000148,0.353328200479
ACH-000150,0.333780253122
ACH-000152,0.284169755984
ACH-000153,0.195939649075
ACH-000159,0.323389048096
ACH-000160,0.314166595812
ACH-000163,0.437485009735
ACH-000167,0.250923045872
ACH-000168,0.481012564669
ACH-000169,0.257461189812
ACH-000178,0.269984938831
ACH-000182,0.381920262484
ACH-000183,0.0675931442729
ACH-000188,0.31662307918099997
ACH-000189,0.294110863901
ACH-000190,0.276211959923
ACH-000198,0.17891184227200002
ACH-000204,0.15197449734000001
ACH-000206,0.249653075889
ACH-000207,0.322610898735
ACH-000211,0.234019670809
ACH-000215,0.37457800853
ACH-000221,0.105652174173
ACH-000222,0.220246325537
ACH-000223,0.28213577453
ACH-000226,0.208198053266
ACH-000227,0.545094474026
ACH-000228,0.26855458528299997
ACH-000231,0.19643886023200002
ACH-000232,0.261169068229
ACH-000233,0.219727709183
ACH-000234,0.43371624579400003
ACH-000235,0.201570293358
ACH-000237,0.08608975817749999
