,NT5C3A (51251)
ACH-000004,-0.262137234364
ACH-000007,-0.378980980383
ACH-000009,-0.437232879263
ACH-000011,-0.137124569394
ACH-000012,-0.212099691748
ACH-000013,-0.160383445333
ACH-000014,-0.49107130870399995
ACH-000015,-0.17511911104400002
ACH-000017,-0.290472602369
ACH-000018,-0.0410169834707
ACH-000019,-0.217318212413
ACH-000021,-0.363726662922
ACH-000022,-0.38920486514200003
ACH-000025,-0.258112936904
ACH-000028,-0.265287130926
ACH-000030,-0.216100167579
ACH-000035,-0.445778395427
ACH-000036,-0.339943956185
ACH-000037,-0.321399166583
ACH-000039,-0.327976479876
ACH-000040,-0.21654218910599998
ACH-000041,-0.298871622716
ACH-000042,-0.502027266094
ACH-000045,-0.19872969683800001
ACH-000047,-0.266865997269
ACH-000052,-0.454951844071
ACH-000053,-0.24639802790100002
ACH-000054,-0.350161474461
ACH-000055,-0.355022979556
ACH-000060,-0.287569762756
ACH-000067,-0.161491695151
ACH-000070,-0.269464292081
ACH-000075,-0.355230956294
ACH-000078,-0.6051816167499999
ACH-000082,-0.342092211865
ACH-000085,-0.080917294332
ACH-000086,-0.11025700872000001
ACH-000087,-0.333768290701
ACH-000092,-0.16863927748799998
ACH-000095,-0.456614465229
ACH-000097,-0.386918844094
ACH-000098,-0.24027870560800002
ACH-000099,-0.381436408745
ACH-000108,-0.4046459119
ACH-000113,-0.305238550242
ACH-000115,-0.09181627900900001
ACH-000116,-0.37804951560999994
ACH-000118,-0.30674674017
ACH-000120,-0.237198665561
ACH-000123,-0.265286084102
ACH-000127,-0.238636850304
ACH-000128,-0.251905580031
ACH-000132,-0.24030448513900002
ACH-000133,-0.27712135791299997
ACH-000137,-0.272637766091
ACH-000138,-0.52397262398
ACH-000142,-0.166168698747
ACH-000143,-0.305972623461
ACH-000146,-0.239872439708
ACH-000148,-0.305788593329
ACH-000150,0.00524831179149
ACH-000152,-0.16809746837900003
ACH-000153,-0.21835226096500002
ACH-000159,-0.19465638268399998
ACH-000160,-0.166520300201
ACH-000163,-0.33014181348099997
ACH-000167,0.45257607350400003
ACH-000168,-0.010087069196200001
ACH-000169,-0.24799353326499998
ACH-000178,-0.19495142512400002
ACH-000182,-0.232049915211
ACH-000183,-0.168978361545
ACH-000188,-0.136762985324
ACH-000189,-0.20939293246500001
ACH-000190,-0.43820099786899996
ACH-000198,-0.297018463816
ACH-000204,-0.403704938568
ACH-000206,-0.154534458273
ACH-000207,-0.370023685393
ACH-000211,-0.255073000118
ACH-000215,-0.205972357042
ACH-000221,-0.404935504788
ACH-000222,-0.33185209873599997
ACH-000223,-0.33494426993099996
ACH-000226,-0.34229385937299994
ACH-000227,-0.155472430177
ACH-000228,-0.417982517805
ACH-000231,-0.320444935447
ACH-000232,-0.13229844079800002
ACH-000233,-0.327711934176
ACH-000234,-0.31476273725299997
ACH-000235,-0.282185034201
ACH-000237,-0.422776926074
ACH-000238,-0.16993177340100002
ACH-000243,-0.364759723943
ACH-000244,-0.349149018909
ACH-000246,-0.412515206662
ACH-000248,-0.16894475210499998
ACH-000250,-0.218849433018
ACH-000251,-0.287246824442
ACH-000253,-0.246204922297
ACH-000255,0.021099444084099996
ACH-000256,-0.303923952423
ACH-000257,-0.030730587780499998
ACH-000258,-0.427080461223
ACH-000259,-0.482386350365
ACH-000260,-0.23097957961100002
ACH-000261,-0.20837045963300002
ACH-000262,-0.459860855868
ACH-000263,-0.246516415504
ACH-000264,-0.26041928509
